id,conversation_id,public_metrics,text,context_annotations,author_id,possibly_sensitive,created_at,source,lang,reply_settings,entities,referenced_tweets,in_reply_to_user_id,geo,attachments
1521828204968919046,1521828204968919046,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6

🟩⬛🟩🟨⬛
🟩⬛🟩⬛⬛
⬛⬛🟩🟨🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",346272624,False,2022-05-04T12:24:52.000Z,Twitter for Android,en,everyone,,,,,
1521828200065773568,1521817942496882689,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}","@paulievanwinkle @denniskisyk @Bradley_Collins @BarryGarrett1 @dmarcdobson @RealUnclePink @jonathanmpalmer @frosht1 Wordle 319 2/6

🟨⬛🟩⬛🟨
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",178696377,False,2022-05-04T12:24:51.000Z,Twitter for iPhone,en,everyone,"{'mentions': [{'start': 0, 'end': 16, 'username': 'paulievanwinkle', 'id': '38536214'}, {'start': 17, 'end': 29, 'username': 'denniskisyk', 'id': '14571619'}, {'start': 30, 'end': 46, 'username': 'Bradley_Collins', 'id': '18650917'}, {'start': 47, 'end': 61, 'username': 'BarryGarrett1', 'id': '305369409'}, {'start': 62, 'end': 74, 'username': 'dmarcdobson', 'id': '114099715'}, {'start': 75, 'end': 89, 'username': 'RealUnclePink', 'id': '2984991647'}, {'start': 90, 'end': 106, 'username': 'jonathanmpalmer', 'id': '101795270'}, {'start': 107, 'end': 115, 'username': 'frosht1', 'id': '2171143994'}]}","[{'type': 'replied_to', 'id': '1521817942496882689'}]",38536214,,
1521828197108785153,1521828197108785153,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES)  #118 5/6

🟨🟨⬜⬜⬜
⬜⬜🟨⬜🟩
⬜⬜🟨⬜🟩
⬜🟩🟨🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/d8LllM1JxM","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",200253152,False,2022-05-04T12:24:51.000Z,Twitter Web App,en,everyone,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/d8LllM1JxM', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521828192109363205,1521828192109363205,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6

⬜⬜🟩⬜⬜
⬜⬜⬜🟨🟨
⬜🟩🟨⬜⬜
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",157335490,False,2022-05-04T12:24:49.000Z,Twitter for iPhone,en,everyone,,,,,
1521828190917992448,1521828190917992448,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}","Wordle 319 2/6

🟩⬛🟩⬛⬛
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",224517275,False,2022-05-04T12:24:49.000Z,Twitter for iPhone,en,everyone,,,,,
1521828188011311104,1521828188011311104,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","Wordle 319 2/6*

⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩

Gonna be a good day!","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",26041183,False,2022-05-04T12:24:48.000Z,Twitter for iPhone,en,everyone,,,,,
1521828186673270784,1496472549626109954,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6

🟨⬛🟨⬛⬛
⬛⬛🟩⬛⬛
🟨⬛🟨🟨🟨
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1283208227644112899,False,2022-05-04T12:24:48.000Z,Twitter for iPhone,en,everyone,,"[{'type': 'replied_to', 'id': '1521105922348756993'}]",1283208227644112899,,
1521828181430267904,1521828181430267904,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","ポケモンWordle 6/10
初めてやってみたけど結構難しいな、これ

⬛⬛⬛🟨⬛  🟩🟩🟩🟩🟩
⬛⬛🟨⬛🟨
⬛⬛⬛⬛⬛
⬛🟨⬛⬛⬛
🟨🟩🟨⬛⬜

https://t.co/HGpSK9IzDb
 #ポケモンWordle","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",2800182931,False,2022-05-04T12:24:47.000Z,Twitter for Android,ja,everyone,"{'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/HGpSK9IzDb', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp', 'images': [{'url': 'https://pbs.twimg.com/news_img/1520627181159784450/oEzApr9k?format=png&name=orig', 'width': 200, 'height': 200}, {'url': 'https://pbs.twimg.com/news_img/1520627181159784450/oEzApr9k?format=png&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'ポケモンWordle', 'description': 'ポケモンWordle (ポケモンワードル)は単語当てゲーム「Wordle」のポケモン版。１０回のチャレンジでポケモンの名前を当てよう！', 'unwound_url': 'https://wordle.mega-yadoran.jp/'}], 'hashtags': [{'start': 100, 'end': 111, 'tag': 'ポケモンWordle'}]}",,,,
1521828173452877824,1521828173452877824,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Weirdly simple today

Wordle 319 3/6
 
🟨⬜⬜🟩⬜
⬜🟨🟨🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",92653916,False,2022-05-04T12:24:45.000Z,Twitter for iPad,en,everyone,,,,,
1521828169132564480,1521828169132564480,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6

🟩⬛⬛⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩🪤","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",29418749,False,2022-05-04T12:24:44.000Z,Twitter for iPhone,en,everyone,,,,,
