id,name,url,protected,pinned_tweet_id,profile_image_url,username,public_metrics,description,entities,verified,location
3007601154,瀬名セナ,,False,1.4370658047348654e+18,https://pbs.twimg.com/profile_images/1518063143364489216/8-i_oo8-_normal.jpg,sena_nyamu,"{'followers_count': 254, 'following_count': 280, 'tweet_count': 73745, 'listed_count': 15}",セナさんのメルスト、テニプリ中心雑多垢！秘密結社猫の爪団所属アイドルグループ「SSR」の真ん中のS担当、マーブルルームのお姉様♡お笑いコンビ「同郷効果♡」のツッコミ担当！ since:2015.4.7 サブ垢⇒since:2016.3.29 #2月5日はニコ王子の日 ツイステ🐉、エリオス🎧🎸、剣が刻、プロセカ,"{'description': {'hashtags': [{'start': 121, 'end': 133, 'tag': '2月5日はニコ王子の日'}]}}",False,マーブルルームorククリルーム
1079459883508887552,crreed,https://t.co/ryueFsGg2h,False,1.2071213827833856e+18,https://pbs.twimg.com/profile_images/1231278575677927424/5ugCiNDr_normal.jpg,crreed49,"{'followers_count': 524, 'following_count': 1961, 'tweet_count': 16099, 'listed_count': 0}",GenX🤪Husband 🌊Dad👽Son🦕Brother🌴Plumber🌜 NoIM’s🛠NOLISTS🖖BlocksAssholes📐Science♻️Logic🌎Unity✌️Focus👁#MalesAgainstGilead #ElizabethWarren2020,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ryueFsGg2h', 'expanded_url': 'http://vote.gov', 'display_url': 'vote.gov'}]}, 'description': {'hashtags': [{'start': 97, 'end': 116, 'tag': 'MalesAgainstGilead'}, {'start': 117, 'end': 137, 'tag': 'ElizabethWarren2020'}]}}",False,"California, USA"
84580922,Daniel Waismann,,False,,https://pbs.twimg.com/profile_images/906363198474944512/tgTF1Qlc_normal.jpg,D_Waismann,"{'followers_count': 155, 'following_count': 617, 'tweet_count': 8491, 'listed_count': 4}",,,False,São Paulo/SP
92543433,👠😷Laura T👠😷,,False,,https://pbs.twimg.com/profile_images/1326718206770294784/K4ovSI7M_normal.jpg,torontolaura,"{'followers_count': 1510, 'following_count': 1755, 'tweet_count': 29992, 'listed_count': 20}",Big believer in community service and volunteering; authority on chocolate bars; serious with a side of sassy. #YouMatter,"{'description': {'hashtags': [{'start': 111, 'end': 121, 'tag': 'YouMatter'}]}}",False,Toronto CANADA
2915060890,Gopal,,False,,https://pbs.twimg.com/profile_images/1262125648052662272/M3lteuLg_normal.jpg,funkyg88,"{'followers_count': 33, 'following_count': 447, 'tweet_count': 1178, 'listed_count': 0}","father, son, brother, husband. Miami alumnus. guitarist.",,False,"Chicago, IL"
146642177,Young Robot Kitty,,False,1.508270000070615e+18,https://pbs.twimg.com/profile_images/1259252013256318979/PIYd8O6o_normal.jpg,shero4hire,"{'followers_count': 2387, 'following_count': 1774, 'tweet_count': 371977, 'listed_count': 372}","Personal trainer(ACSM), plantbased ultra/runner, sports enthusiast, cat & tat lady, tea drinker, reader #moveitmonday ambassador. I know what Bo don't know.","{'description': {'hashtags': [{'start': 104, 'end': 117, 'tag': 'moveitmonday'}]}}",False,Your thoughts
3075003425,MIRIO MY LOVE,,False,1.511725808414597e+18,https://pbs.twimg.com/profile_images/1477418882960928768/LBYfees3_normal.jpg,pixiemusings,"{'followers_count': 73, 'following_count': 1503, 'tweet_count': 6549, 'listed_count': 0}",The human equivalent of cotton candy - @Missy_dee811 she/her,"{'description': {'mentions': [{'start': 39, 'end': 52, 'username': 'Missy_dee811'}]}}",False,Coahuiltecan land
1403688774,Calypso,,False,,https://pbs.twimg.com/profile_images/1435438686787809280/o9ecrqg__normal.jpg,Noe_la_loca,"{'followers_count': 48, 'following_count': 39, 'tweet_count': 1298, 'listed_count': 1}",je ne sais pas qui je suis,,False,
15701487,Walt Basil,https://t.co/KehKXyqAA8,False,,https://pbs.twimg.com/profile_images/1351983916027142144/s8YbILQ0_normal.jpg,Walt_Basil,"{'followers_count': 45, 'following_count': 65, 'tweet_count': 7876, 'listed_count': 3}","RV life, Harley. Coffee. Whiskey. Cigars. Guitars. Apathetic Agnostic.","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/KehKXyqAA8', 'expanded_url': 'http://www.basilweb.net', 'display_url': 'basilweb.net'}]}}",False,"El Paso, TX, USA"
750671504313049088,section.80,,False,1.4538627507074621e+18,https://pbs.twimg.com/profile_images/1462838893397565448/Z1BGyGDI_normal.jpg,KING_CAIAH,"{'followers_count': 2140, 'following_count': 2353, 'tweet_count': 11032, 'listed_count': 1}",| Love | Loyalty | Respect | 👊 🇿🇲 🇨🇳 🇨🇦 Team-LH | Economics Graduate | Proudly Unemployed | Black Consciousness | HiiiPower,,False,Land Of The Free
