id,protected,verified,description,name,pinned_tweet_id,url,username,profile_image_url,public_metrics,entities,location
151444313,False,False,束・忍・魔道祖師(天官渣反履修中)・いろいろ 20↑ https://t.co/ZAyiuxGFDj no reposting or any use of my works permitted,牛丸,,,ushi_maru,https://pbs.twimg.com/profile_images/1209867319331024903/AxlLIxcC_normal.jpg,"{'followers_count': 387, 'following_count': 477, 'tweet_count': 141679, 'listed_count': 10}","{'description': {'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/ZAyiuxGFDj', 'expanded_url': 'https://poipiku.com/949336/', 'display_url': 'poipiku.com/949336/'}]}}",
1346807205706645504,False,False,"GaiaDC@Ridillで活動中のUzel Qestirです。
FF14専用アカウントになります。
漁師をメインに他の事も色々しています。釣り友募集中。
(C) SQUARE ENIX CO., LTD. All Rights Reserved.",ゆーぜる@Ridill,1.4847804066038743e+18,https://t.co/DWcJ5e9Ak5,Uzel_FF14,https://pbs.twimg.com/profile_images/1370854313526890496/IsXWpxGZ_normal.jpg,"{'followers_count': 63, 'following_count': 65, 'tweet_count': 3518, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DWcJ5e9Ak5', 'expanded_url': 'https://jp.finalfantasyxiv.com/lodestone/character/29265719/', 'display_url': 'jp.finalfantasyxiv.com/lodestone/char…'}]}}",エオルゼア
1503917778977366016,False,False,"Reply with your guess to my most recent tweet! Refer to pinned tweet for examples of valid guesses

Most liked tweet is the next guess. Updates every 30 minutes",Тwitter Plays Wordle,1.5077785440254444e+18,https://t.co/RZ8RnttMs3,WordleGame_Bot,https://pbs.twimg.com/profile_images/1503925008288133126/14hJBQ9k_normal.jpg,"{'followers_count': 16, 'following_count': 2, 'tweet_count': 2507, 'listed_count': 1}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/RZ8RnttMs3', 'expanded_url': 'https://github.com/afnzmn/twitter-plays-wordle', 'display_url': 'github.com/afnzmn/twitter…'}]}}",New result every 30 minutes
1122998397227741184,False,False,"Su inconforme de confianza. Opiniones y broncas personales. ""Hoy es siempre todavía"", decía Antonio Machado. Sapere aude. Instagram: @romasteon",Robert Max Steenkist,1.5067175566436188e+18,https://t.co/DxC5GO03KB,MaxSteenkist,https://pbs.twimg.com/profile_images/1488904025428963333/0gneff2E_normal.jpg,"{'followers_count': 363, 'following_count': 1199, 'tweet_count': 6003, 'listed_count': 2}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DxC5GO03KB', 'expanded_url': 'https://bit.ly/3n4yIsI.com', 'display_url': 'bit.ly/3n4yIsI.com'}]}, 'description': {'mentions': [{'start': 133, 'end': 143, 'username': 'romasteon'}]}}",Colombia
37337576,False,False,"Esposo de Marti, Padre de 5, sobreviviente de Cancer, Redskins fan, fan de sports, creyente de la libre empresa, ex Director General de Aduanas ahora con FQML",Jorge Carney,1.2082398939497595e+18,,JorgeCarney,https://pbs.twimg.com/profile_images/1074874586469199872/McM_leN3_normal.jpg,"{'followers_count': 1522, 'following_count': 1165, 'tweet_count': 11165, 'listed_count': 4}",,
737070675442040832,False,False,"• “In a gentle way, you can shake the world.” Gandhi • Queer • They/Them • Director-Marketing & Communications • @RBJDaily 40 Under 40, 2019 • Opinions = mine •",Scotty Ginett🏳️‍🌈,8.827805416988877e+17,https://t.co/hFudRK5g7r,ScottyGinett,https://pbs.twimg.com/profile_images/1430997200352563200/zIm68i6m_normal.jpg,"{'followers_count': 1176, 'following_count': 1756, 'tweet_count': 11290, 'listed_count': 15}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hFudRK5g7r', 'expanded_url': 'http://www.scottyginett.com', 'display_url': 'scottyginett.com'}]}, 'description': {'mentions': [{'start': 113, 'end': 122, 'username': 'RBJDaily'}]}}","Chicago, IL"
152642681,False,False,"Víctima ocasional del autocorrector, ñoña de profesión, abogada light, historiadora frustrada, ondulais, y cinéfila con complejo de Scooby-Doo.",Constanza Álvarez,9.149289354100613e+17,https://t.co/2eJ1fzzjZc,conysoledad,https://pbs.twimg.com/profile_images/1518711454005927936/sw3A4Egi_normal.jpg,"{'followers_count': 1079, 'following_count': 1165, 'tweet_count': 28991, 'listed_count': 3}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2eJ1fzzjZc', 'expanded_url': 'https://www.facebook.com/conysoledad', 'display_url': 'facebook.com/conysoledad'}]}}","Concepción, Chile"
112733987,False,False,"The older I get, the better I was.",Steve Couch,,,SCouch7881,https://pbs.twimg.com/profile_images/794301664916160512/yUyI7NBn_normal.jpg,"{'followers_count': 81, 'following_count': 218, 'tweet_count': 385, 'listed_count': 1}",,
951937870905991168,False,False,"#Resistance🌊🌊🌊
""Dissent without action is consent."" HDT",Polaris,1.2294343697706516e+18,,PEltzholtz,https://pbs.twimg.com/profile_images/1220495255176388608/406Uvknh_normal.jpg,"{'followers_count': 2877, 'following_count': 4998, 'tweet_count': 64843, 'listed_count': 1}","{'description': {'hashtags': [{'start': 0, 'end': 11, 'tag': 'Resistance'}]}}",Planet Earth
1182632138417627136,False,False,"'94 , she/her , https://t.co/cd0tuoG37J , https://t.co/mbYUQy7J3N , header art by penko,
gf @togafuka",Little Miss Pronouns,1.3110484662909256e+18,,polafuka,https://pbs.twimg.com/profile_images/1507698417539108869/Dx7bRGMq_normal.jpg,"{'followers_count': 108, 'following_count': 146, 'tweet_count': 14024, 'listed_count': 0}","{'description': {'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/cd0tuoG37J', 'expanded_url': 'http://curiouscat.me/zenonaa', 'display_url': 'curiouscat.me/zenonaa'}, {'start': 42, 'end': 65, 'url': 'https://t.co/mbYUQy7J3N', 'expanded_url': 'http://zenonaa.carrd.co', 'display_url': 'zenonaa.carrd.co'}], 'mentions': [{'start': 92, 'end': 101, 'username': 'togafuka'}]}}",
