id,public_metrics,username,description,url,verified,profile_image_url,name,location,protected,entities,pinned_tweet_id
1430923182299561984,"{'followers_count': 213, 'following_count': 807, 'tweet_count': 63, 'listed_count': 1}",CyndiL44,Currently working in FinTech Product Design | Learning Javascript | Here for #TechTwitter but easily distracted,https://t.co/ZchYVJsyNk,False,https://pbs.twimg.com/profile_images/1430931884662534150/jq90iHF9_normal.jpg,Cyndi,USA,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZchYVJsyNk', 'expanded_url': 'http://pronoun.is/she', 'display_url': 'pronoun.is/she'}]}, 'description': {'hashtags': [{'start': 77, 'end': 89, 'tag': 'TechTwitter'}]}}",
19214495,"{'followers_count': 24, 'following_count': 444, 'tweet_count': 677, 'listed_count': 0}",mytweetiebird,,,False,https://pbs.twimg.com/profile_images/1290810868914036736/uHTgb7jr_normal.jpg,Spin Gurl,,False,,
874928190413844480,"{'followers_count': 137, 'following_count': 230, 'tweet_count': 105022, 'listed_count': 0}",Namiyu_Boricha,"나미유. 
로봇과 안경, 그리고 차가운 보리차에 환장하는 사람",,False,https://pbs.twimg.com/profile_images/1472550495713923072/fBWfyL7N_normal.jpg,🦾🤖ꞤⱯⱮ𝐈𝐘𝐔☄,,False,,1.3640550561237197e+18
17973248,"{'followers_count': 789, 'following_count': 2956, 'tweet_count': 9012, 'listed_count': 6}",annsmiley,Thing doer for @trymetafy | Former ᗩuntie ᗰeme @cracked | Funny-adjacent | Ally 🧷 | Avatar by the Prequel app | https://t.co/YOZ7zcXR4X,,False,https://pbs.twimg.com/profile_images/1499159655620100099/nozEKyCg_normal.jpg,ᗩηη【ツ】,"Santa Cruz, California",False,"{'description': {'urls': [{'start': 112, 'end': 135, 'url': 'https://t.co/YOZ7zcXR4X', 'expanded_url': 'https://counter.social/@annsmiley', 'display_url': 'counter.social/@annsmiley'}], 'mentions': [{'start': 15, 'end': 25, 'username': 'trymetafy'}, {'start': 47, 'end': 55, 'username': 'cracked'}]}}",7.316899810941665e+17
1077104396,"{'followers_count': 843, 'following_count': 2430, 'tweet_count': 361902, 'listed_count': 0}",hrd3_,刻みつけたいの 消えることない記憶,https://t.co/8Qi8QO3ZbG,False,https://pbs.twimg.com/profile_images/1396069928407470082/G8FZYprQ_normal.jpg,キュアょぅι゛ょ,6弦24F  (B),False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8Qi8QO3ZbG', 'expanded_url': 'https://little-ojisan.hatenablog.com/', 'display_url': 'little-ojisan.hatenablog.com'}]}}",1.5193469509899633e+18
106430846,"{'followers_count': 199, 'following_count': 93, 'tweet_count': 54545, 'listed_count': 5}",ichi_0011,たまに実況　筋肉が好き,https://t.co/eanYsnCC4C,False,https://pbs.twimg.com/profile_images/1131287073644634112/SRexhvsY_normal.png,さがいさん,ゾンビランド,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eanYsnCC4C', 'expanded_url': 'https://www.pixiv.net/member.php?id=36510', 'display_url': 'pixiv.net/member.php?id=…'}]}}",
207547809,"{'followers_count': 1183, 'following_count': 349, 'tweet_count': 55886, 'listed_count': 0}",Niwanionegai,"バリー・マイルズ『フランク・ザッパ』、いよいよ発売！ https://t.co/M42jpfP4pu 
倉地久美夫主演・冨永昌敬監督『庭にお願い』、とりふね＋須川善行『ことの次第 30周年エディション』も絶賛発売中！",https://t.co/j8k0xsoigK,False,https://pbs.twimg.com/profile_images/1248469432906559489/kKVxcZ3N_normal.png,須川才蔵,裏庭,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/j8k0xsoigK', 'expanded_url': 'https://apricotgoods.theshop.jp/', 'display_url': 'apricotgoods.theshop.jp'}]}, 'description': {'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/M42jpfP4pu', 'expanded_url': 'https://bit.ly/3DijKHq', 'display_url': 'bit.ly/3DijKHq'}]}}",1.2544125227586314e+18
46913545,"{'followers_count': 152, 'following_count': 198, 'tweet_count': 14563, 'listed_count': 0}",adagiette,"even if you are over 50,  you know little about the world.  see?  I'm an Asian.",https://t.co/hgHbJ5or4H,False,https://pbs.twimg.com/profile_images/1270471771527868417/n6N30smI_normal.jpg,adagiette,me&her😛   live my own life,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hgHbJ5or4H', 'expanded_url': 'https://note.com/adagiette', 'display_url': 'note.com/adagiette'}]}}",8.578387228883517e+17
2338582633,"{'followers_count': 108, 'following_count': 96, 'tweet_count': 141305, 'listed_count': 15}",thkaphy,アイコンはフィリア氏(@Fi0a)からです！！！,https://t.co/kIzHFMXvJT,False,https://pbs.twimg.com/profile_images/1112221972048433152/BKkQIjix_normal.png,平野 百合子,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/kIzHFMXvJT', 'expanded_url': 'http://github.com/skaphy', 'display_url': 'github.com/skaphy'}]}, 'description': {'mentions': [{'start': 11, 'end': 16, 'username': 'Fi0a'}]}}",4.897282550127657e+17
2151234390,"{'followers_count': 186, 'following_count': 286, 'tweet_count': 68533, 'listed_count': 3}",ktru0,"獺祭の人　最近はレモンサワー  #FF14 #グラブル #valorant
エタバンしてないけど愛💍♥→@otawabell
アイコンはよかぜさん(@xxxDISxxx)",https://t.co/WsgWtjL9zo,False,https://pbs.twimg.com/profile_images/1368210139358978051/tDKakR75_normal.jpg,ツインターオ,Discord→tao#0185,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/WsgWtjL9zo', 'expanded_url': 'https://is.gd/fU5JpR', 'display_url': 'is.gd/fU5JpR'}]}, 'description': {'hashtags': [{'start': 16, 'end': 21, 'tag': 'FF14'}, {'start': 22, 'end': 27, 'tag': 'グラブル'}, {'start': 28, 'end': 37, 'tag': 'valorant'}], 'mentions': [{'start': 52, 'end': 62, 'username': 'otawabell'}, {'start': 74, 'end': 84, 'username': 'xxxDISxxx'}]}}",1.483582743313535e+18
