id,created_at,reply_settings,conversation_id,attachments,possibly_sensitive,text,entities,source,public_metrics,context_annotations,author_id,lang,referenced_tweets,in_reply_to_user_id,geo
1520296490467573762,2022-04-30T06:58:23.000Z,everyone,1520296490467573762,,False,"Tela marinera. Nom propi d'un científic ""de campana"" estadística #WordleCAT 120 6/6

⬜⬜🟨⬜🟨
🟨🟩⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜⬜🟨
⬜🟩🟩🟩⬜
🟩🟩🟩🟩🟩

https://t.co/k4dncwZpMD","{'hashtags': [{'start': 65, 'end': 75, 'tag': 'WordleCAT'}], 'urls': [{'start': 122, 'end': 145, 'url': 'https://t.co/k4dncwZpMD', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}]}",Twitter for Android,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}","[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '1517623051860414465', 'name': 'World Environment Day'}}]",231899448,ca,,,
1520296484650070016,2022-04-30T06:58:22.000Z,everyone,1520296484650070016,,False,"Wordle 315 5/6

⬜⬜🟨🟨⬜
⬜🟩⬜🟨⬜
🟨🟩⬜⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1099049774408482819,en,,,
1520296480514646016,2022-04-30T06:58:21.000Z,everyone,1520296480514646016,,False,"Tough one😮‍💨
Wordle 315 5/6

⬜⬜🟨🟨⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜⬜
🟨🟩🟩⬜🟩
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1313342711072608256,en,,,
1520296465859592193,2022-04-30T06:58:17.000Z,everyone,1520296465859592193,,False,"Wordle 315 5/6

⬛🟩⬛⬛⬛
⬛🟩⬛⬛⬛
⬛🟩⬛⬛⬛
⬛🟩⬛🟨⬛
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1073604027512958977,en,,,
1520296464370524160,2022-04-30T06:58:17.000Z,everyone,1520296464370524160,,False,"Demasiado sencillo 

Wordle (ES)  #114 4/6

⬜🟨⬜⬜🟨
⬜🟨🟨⬜⬜
🟩⬜🟩🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/7RBJymwXdQ","{'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/7RBJymwXdQ', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1227639645133033472,es,,,
1520296461786882048,2022-04-30T06:58:16.000Z,everyone,1520296461786882048,,False,"oh, hamsters!
Wordle 315 6/6

⬜🟩🟩⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜🟩
🟨🟩🟩⬜🟩
🟩🟩🟩🟩🟩",,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",21938533,en,,,
1520296455151702023,2022-04-30T06:58:15.000Z,everyone,1520296455151702023,,False,"Wordle 315 6/6

⬛⬛🟨⬛⬛
🟨⬛⬛⬛⬛
🟨🟩🟨⬛⬛
⬛🟩⬛🟨⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",133701497,en,,,
1520296449036201984,2022-04-30T06:58:13.000Z,everyone,1520296449036201984,,False,"Wordle Tildes #61 6/6

🟨⬜⬜⬜⬜⬜
⬜🟨⬜⬜🟩⬜
🟨⬜⬜⬜🟩⬜
⬜🟩🟨⬜⬜🟨
🟨🟩🟨⬜🟨🟨
🟩🟩🟩🟩🟩🟩
 https://t.co/GQIE6jc2Yv","{'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/GQIE6jc2Yv', 'expanded_url': 'https://wordle.danielfrg.com/tildes/index.html', 'display_url': 'wordle.danielfrg.com/tildes/index.h…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1521711690043170820/rO79OYE2?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1521711690043170820/rO79OYE2?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Un juego de palabras diario', 'description': 'Adivina la palabra oculta en 6 intentos. Un nuevo puzzle cada día.', 'unwound_url': 'https://wordle.danielfrg.com/tildes/index.html'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",187214798,en,,,
1520296445735284739,2022-04-30T06:58:13.000Z,everyone,1520296445735284739,,False,"Wordle (ES)  #114 4/6

⬜🟨⬜⬜⬜
⬜🟨🟨⬜🟨
⬜🟩⬜🟨⬜
🟩🟩🟩🟩🟩
 https://t.co/cV7vvXGXIJ","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/cV7vvXGXIJ', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",463878320,en,,,
1520296424348557312,2022-04-30T06:58:07.000Z,everyone,1520296424348557312,,False,"Wordle (ES) 315 4/6

⬜⬜⬜⬜⬜🟨
⬜⬜🟨🟨⬜🟨
⬜🟩🟨⬜⬜🟩
🟩🟩🟩🟩🟩🟩

⬇️ ⬇️ ⬇️ ⬇️ ⬇️
https://t.co/qReGBYeta8
⬆️ ⬆️ ⬆️ ⬆️ ⬆️

#Wordle #Wordle6 #WordleES #WordleEspañol #Wordle315","{'hashtags': [{'start': 105, 'end': 112, 'tag': 'Wordle'}, {'start': 113, 'end': 121, 'tag': 'Wordle6'}, {'start': 122, 'end': 131, 'tag': 'WordleES'}, {'start': 132, 'end': 146, 'tag': 'WordleEspañol'}, {'start': 147, 'end': 157, 'tag': 'Wordle315'}], 'urls': [{'start': 65, 'end': 88, 'url': 'https://t.co/qReGBYeta8', 'expanded_url': 'https://wordle.wekele.com', 'display_url': 'wordle.wekele.com'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",412550577,en,,,
1520296424029978625,2022-04-30T06:58:07.000Z,everyone,1520296424029978625,,False,"Wordle 315 6/6

⬜⬜⬜🟨⬜
⬜🟨⬜⬜⬜
⬜🟨🟨⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩
はーわからん",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",74226372,ja,,,
1520296419575353345,2022-04-30T06:58:06.000Z,everyone,1520296419575353345,,False,"Wordle 315 5/6

⬜🟩⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1539829645,en,,,
1520296415121006593,2022-04-30T06:58:05.000Z,everyone,1520296415121006593,,False,"Wordle 315 3/6

⬜🟨🟨⬜⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1446004849,en,,,
1520296412088578048,2022-04-30T06:58:05.000Z,everyone,1520296412088578048,,False,"Wordle (ES)  #114 6/6

⬜⬜⬜⬜🟩
⬜🟨⬜🟨⬜
⬜🟩⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜🟨🟩
🟩🟩🟩🟩🟩
 https://t.co/y7MhlmqOra","{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/y7MhlmqOra', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1272425504801521664,en,,,
1520296395735027712,2022-04-30T06:58:01.000Z,everyone,1520296395735027712,,False,"Wordle 315 6/6

⬛⬛⬛⬛⬛
⬛🟨🟨⬛⬛
🟨🟨⬛⬛⬛
⬛🟩⬛🟨⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1045516436,en,,,
