id,created_at,reply_settings,conversation_id,possibly_sensitive,text,source,public_metrics,context_annotations,author_id,lang,entities,referenced_tweets,in_reply_to_user_id,attachments,geo
1521725079524151296,2022-05-04T05:35:05.000Z,everyone,1521725079524151296,False,"Time to start a new streak!

Wordle 319 3/6

⬛⬛🟩⬛🟨
🟩⬛🟩🟨⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",237367891,en,,,,,
1521725078668468227,2022-05-04T05:35:05.000Z,everyone,1521725078668468227,False,"odio las palabras de infinitas posibilidBuenos días.
Wordle (ES)  #118 5/6

🟩🟨⬜⬜⬜
🟩🟩⬜🟨⬜
🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/lasyPbgatq",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1044602706,es,"{'urls': [{'start': 107, 'end': 130, 'url': 'https://t.co/lasyPbgatq', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521725077259182080,2022-05-04T05:35:05.000Z,everyone,1521725077259182080,False,"Wordle 319 3/6

🟩⬜⬜⬜⬜
🟩🟨🟨⬜⬜
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",3092919645,en,,,,,
1521725073673105408,2022-05-04T05:35:04.000Z,everyone,1521725073673105408,False,"Wordle 319 2/6

🟩⬛⬛🟨🟩
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",20454205,en,,,,,
1521725070405775361,2022-05-04T05:35:03.000Z,everyone,1521725070405775361,False,"Uf uf! #WordleCAT 124 6/6

⬜🟨⬜⬜🟩
🟨⬜⬜⬜🟩
⬜⬜🟩⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩

https://t.co/ZLWo3UDfJ7",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,160600484,tr,"{'hashtags': [{'start': 7, 'end': 17, 'tag': 'WordleCAT'}], 'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/ZLWo3UDfJ7', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}]}",,,,
1521725065221394432,2022-05-04T05:35:02.000Z,everyone,1521725065221394432,False,"Wordle 319 4/6

🟨⬛🟩⬛⬛
⬛⬛🟨🟨⬛
🟩🟩🟩🟨⬛
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",5853012,en,,,,,
1521725064487575552,2022-05-04T05:35:02.000Z,everyone,1521725064487575552,False,"Wordle (ES)  #118 3/6

🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/TKeBn5igeB",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2276559775,en,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/TKeBn5igeB', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521725051678208000,2022-05-04T05:34:59.000Z,everyone,1521725051678208000,False,"Wordle (ES)  #118 3/6

🟨⬜⬜🟨⬜
🟨🟨⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/hYovsh1npI
@alfred0jete",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2275643105,en,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/hYovsh1npI', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}], 'mentions': [{'start': 66, 'end': 78, 'username': 'alfred0jete', 'id': '1387412428691021824'}]}",,,,
1521725049149038592,2022-05-04T05:34:58.000Z,everyone,1521725049149038592,False,"Wordle (ES)  #118 4/6

⬜🟨⬜🟨⬜
⬜🟩⬜🟨🟨
🟩🟩🟩🟨⬜
🟩🟩🟩🟩🟩
 https://t.co/bjJawDxgLr",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",301673156,en,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/bjJawDxgLr', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521725043880906752,2022-05-04T05:34:57.000Z,everyone,1521725043880906752,False,"Wordle 319 6/6

⬛⬛🟩⬛⬛
⬛🟩🟩⬛⬛
⬛🟩⬛⬛⬛
⬛🟩🟨⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩

That was close",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1517990179830743040,en,,,,,
