id,description,url,verified,profile_image_url,location,username,name,protected,public_metrics,entities,pinned_tweet_id
257311358,"Co-host of @choppinitup_pod and @alldocdup, host of @murderveepod. Crafty Chick. Mod Podge Fanatic. Bears 🐻 and Bulls Fan. Wax Melt Maker. IG: vj_burton",https://t.co/l73955hNBW,False,https://pbs.twimg.com/profile_images/1521161407454228480/tq_sO82W_normal.jpg,"Midland, TX",vj_burton,Champagne Super Nova,False,"{'followers_count': 2908, 'following_count': 3491, 'tweet_count': 138896, 'listed_count': 28}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/l73955hNBW', 'expanded_url': 'https://www.etsy.com/shop/RadiantFlameandMore', 'display_url': 'etsy.com/shop/RadiantFl…'}]}, 'description': {'mentions': [{'start': 11, 'end': 27, 'username': 'choppinitup_pod'}, {'start': 32, 'end': 42, 'username': 'alldocdup'}, {'start': 52, 'end': 65, 'username': 'murderveepod'}]}}",1.5135101538527887e+18
4323432142,Son of a Sleemo (He/Him),,False,https://pbs.twimg.com/profile_images/1269157841618731008/EAwkNw7r_normal.jpg,,bencolinclouti1,Ben Cloutier ソニック・ザ・ヘッジホッグ,False,"{'followers_count': 149, 'following_count': 2025, 'tweet_count': 16078, 'listed_count': 1}",,
1332609726442565632,Yo,,False,https://pbs.twimg.com/profile_images/1347835425285693444/xrlNmizm_normal.jpg,,Arguitxu1,Arguitxu,False,"{'followers_count': 482, 'following_count': 1385, 'tweet_count': 27166, 'listed_count': 1}",,
595761649,What a cute little fruit shop.,,False,https://pbs.twimg.com/profile_images/1518092303222644736/_uQ6-94h_normal.jpg,,daze_gaze,Cookie Slonker,False,"{'followers_count': 1646, 'following_count': 784, 'tweet_count': 22344, 'listed_count': 28}",,
1371244341172256768,"she/her • 21 • Demisexual/Bi • Taken 💞 • pet groomer • artist |
aka: Luna 🐕 or Lavender 🐇",,False,https://pbs.twimg.com/profile_images/1515545405630685185/Hf3gBF6k_normal.jpg,p/b: @Glacier_Deer ,PianoDutchie,Piano 🎹,False,"{'followers_count': 56, 'following_count': 190, 'tweet_count': 278, 'listed_count': 1}",,
14540370,Anti-fascist - be it from the right or the left.,,False,https://pbs.twimg.com/profile_images/1521337658680750081/ZueAQO7h_normal.jpg,Everywhere,jaggy_mince,The Office of Jaggyy Mincekyy,False,"{'followers_count': 1259, 'following_count': 2406, 'tweet_count': 26517, 'listed_count': 31}",,
581265461,My # big brother Glenny went OTRB 15th July 19. I have big paws to fill🐾🐾 always in my heart 💓 And now i have a new sister Dottie #murphysmob🏴󠁧󠁢󠁳󠁣󠁴󠁿,,False,https://pbs.twimg.com/profile_images/1520994549987958784/fXVg4ZpR_normal.jpg,"Stirling, Scotland",glenrolo,Benge & Dots,False,"{'followers_count': 2853, 'following_count': 2727, 'tweet_count': 27003, 'listed_count': 13}","{'description': {'hashtags': [{'start': 130, 'end': 141, 'tag': 'murphysmob'}]}}",
1860611419,"🌒🌓🌔🌕🌖🌗🌘 Isaiah 6:8, Writer and Community Volunteer, Plant-powered living, He/Him/His",,False,https://pbs.twimg.com/profile_images/1397056180380393473/xxH9Hsic_normal.jpg,"New Hampshire, USA",MakeHappyTracks,Andy Howe,False,"{'followers_count': 66, 'following_count': 835, 'tweet_count': 1150, 'listed_count': 0}",,
1093601191903285248,ceo do whatsapp 2 (ele/dele) @krasnolol ♡,,False,https://pbs.twimg.com/profile_images/1513658457370603525/X8xkfZYJ_normal.jpg,🏳️‍⚧️,lowqualityghost,moto taxi dos crentes,False,"{'followers_count': 101, 'following_count': 417, 'tweet_count': 12298, 'listed_count': 2}","{'description': {'mentions': [{'start': 29, 'end': 39, 'username': 'krasnolol'}]}}",
1228398022356279296,"luis miguel fan account//

@lookandado",,False,https://pbs.twimg.com/profile_images/1501048543125114883/bg-HsqZV_normal.jpg,,lookitass,look ass,False,"{'followers_count': 128, 'following_count': 386, 'tweet_count': 5381, 'listed_count': 0}","{'description': {'mentions': [{'start': 27, 'end': 38, 'username': 'lookandado'}]}}",
