id,source,reply_settings,conversation_id,text,lang,public_metrics,possibly_sensitive,author_id,context_annotations,created_at,in_reply_to_user_id,referenced_tweets,entities,attachments,geo
1521698487246757889,Twitter for Android,everyone,1521698487246757889,"Wordle 319 3/6

⬛⬛🟩⬛⬛
⬛⬛🟩🟨⬛
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,133430476,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T03:49:25.000Z,,,,,
1521698480292777984,Twitter Web App,everyone,1521698480292777984,"Wordle 319 2/6

この成功は、
ラパパンパン聞いてたからです。

⬛🟨🟨🟨⬛
🟩🟩🟩🟩🟩",ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1476491798269022209,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T03:49:24.000Z,,,,,
1521698477167681537,Twitter for Android,everyone,1521698477167681537,"Wordle 319 2/6

🟨⬜⬜🟩⬜
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,472910750,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T03:49:23.000Z,,,,,
1521698457156694016,Twitter for Android,everyone,1521698457156694016,"Wordle 319 4/6

⬛🟨⬛⬛🟨
⬛🟨🟨🟩⬛
⬛🟩⬛⬛🟩
🟩🟩🟩🟩🟩

흠",ko,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1358761215040757760,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T03:49:18.000Z,,,,,
1521698456808693762,Twitter for iPhone,everyone,1484204765810769920,"Wordle 318 4/6

🟨⬜⬜⬜⬜
⬜🟩⬜🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,1201707116341420032,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T03:49:18.000Z,1201707116341420032,"[{'type': 'replied_to', 'id': '1521335691405406208'}]",,,
1521698449673969664,TweetDeck,everyone,1521698449673969664,"Wordle 318 4/6

⬜⬜⬜🟩🟩
⬜🟩⬜⬜⬜
⬜⬜⬜🟨⬜
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",False,265023700,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T03:49:16.000Z,,,,,
1521698449565044736,Twitter for iPhone,everyone,1521698449565044736,"Wordle 318 3/6

🟩🟩⬛⬛⬛
🟩🟩🟨⬛🟩
🟩🟩🟩🟩🟩

I lost all my stats aw ☹️",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,85994510,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T03:49:16.000Z,,,,,
1521698446138396673,Twitter for iPhone,everyone,1521698446138396673,"Wordle 318 3/6 💪🏼💪🏼 #wordle 

⬛🟩⬛⬛⬛
⬛🟩⬛⬛⬛
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,215834575,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T03:49:16.000Z,,,"{'hashtags': [{'start': 20, 'end': 27, 'tag': 'wordle'}]}",,
1521698445622341632,Twitter for iPhone,everyone,1521698445622341632,"Wordle 318 X/6

⬛⬛⬛⬛⬛
⬛⬛⬛⬛🟨
🟨⬛⬛🟩⬛
⬛🟩🟩🟩⬛
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩

Curses",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,210837394,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T03:49:15.000Z,,,,,
1521698444364058624,TweetDeck,everyone,1521698444364058624,"まあまあよし
Wordle 319 4/6

⬛⬛🟩🟨⬛
⬛⬛⬛⬛⬛
⬛🟨🟨🟨⬛
🟩🟩🟩🟩🟩",ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,14497096,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T03:49:15.000Z,,,,,
1521698434763280384,Twitter for Android,everyone,1492634729543188483,"Wordle 319 5/6

⬛⬛🟨⬛⬛
🟨⬛⬛🟨⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,14314347,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T03:49:13.000Z,14314347,"[{'type': 'replied_to', 'id': '1521156158056062976'}]",,,
1521698432146104321,Twitter for iPhone,everyone,1521698432146104321,"Wordle 318 3/6

🟩⬜⬜⬜⬜
🟩🟩🟨⬜⬜
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,613901052,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T03:49:12.000Z,,,,,
1521698406917230594,Twitter for Android,everyone,1506093231829749760,"워들 206 5/6
https://t.co/6ZlW3eOyp2

🟩⬜🟨⬜⬜
🟩⬜⬜🟩🟩
🟩⬜⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩",ko,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,948746031717523456,,2022-05-04T03:49:06.000Z,948746031717523456,"[{'type': 'replied_to', 'id': '1521145308188618755'}]","{'urls': [{'start': 11, 'end': 34, 'url': 'https://t.co/6ZlW3eOyp2', 'expanded_url': 'https://jhlov.github.io/wordle', 'display_url': 'jhlov.github.io/wordle'}]}",,
