id,protected,verified,description,name,url,username,profile_image_url,public_metrics,location,entities,pinned_tweet_id
267261606.0,False,False,"Sonrijado. MonkeyPainter. TheWhistleoftheSereno, futuro grillo, bisex. No necesariamente en ese orden. Opencommissions. Tshirts en https://t.co/yJkeOG2uwh",JaparteroEnCasa con su insolente cucharilla rosita,https://t.co/gychEdjsh8,japa6691,https://pbs.twimg.com/profile_images/1422489528720412676/uft4UDOG_normal.jpg,"{'followers_count': 2067, 'following_count': 1492, 'tweet_count': 153608, 'listed_count': 69}",Spain,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gychEdjsh8', 'expanded_url': 'http://japa2.deviantart.com/', 'display_url': 'japa2.deviantart.com'}]}, 'description': {'urls': [{'start': 131, 'end': 154, 'url': 'https://t.co/yJkeOG2uwh', 'expanded_url': 'http://latostadora.com/happyhamster/', 'display_url': 'latostadora.com/happyhamster/'}]}}",9.329145504495985e+17
21438857.0,False,False,professional tweeter,Rebecca Goldstein,,becgo,https://pbs.twimg.com/profile_images/1243389376068874240/1ya7G1G2_normal.jpg,"{'followers_count': 1688, 'following_count': 1262, 'tweet_count': 8594, 'listed_count': 22}",Los Angeles via New York,,1.513325626215723e+18
22413416.0,False,False,"Teacher, counsellor, writer, mother, saint, sinner, gannet (and vegetarian). 🌈",Paula Cooke,,Boudicea,https://pbs.twimg.com/profile_images/2987648467/315c064bae074e8c2120eb85d5c29bfc_normal.jpeg,"{'followers_count': 212, 'following_count': 978, 'tweet_count': 675, 'listed_count': 1}","Kenilworth, England",,
1.2674325157254062e+18,False,False,Level 3 🏋🏼 @CoundonWMCFC MUFC ⚽️,Lewis Wood,,LewisWood365,https://pbs.twimg.com/profile_images/1423386847791788035/jhAfcxSH_normal.jpg,"{'followers_count': 121, 'following_count': 285, 'tweet_count': 1506, 'listed_count': 0}",,"{'description': {'mentions': [{'start': 11, 'end': 24, 'username': 'CoundonWMCFC'}]}}",
2227260260.0,False,False,"peregrina, viajera, montañera, buceadora,",Gavarnie,http://t.co/oAXL0gioYz,NievesAguilera2,https://pbs.twimg.com/profile_images/1254697937793437698/0sHwFaG6_normal.jpg,"{'followers_count': 355, 'following_count': 554, 'tweet_count': 18704, 'listed_count': 15}",En un lugar del Camino...,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/oAXL0gioYz', 'expanded_url': 'http://laaventuradelesla.blospot.com', 'display_url': 'laaventuradelesla.blospot.com'}]}}",
1.2884217407088476e+18,False,False,,Aleksandra,,Aleksan83013695,https://pbs.twimg.com/profile_images/1482103106385104899/WH08qOPx_normal.jpg,"{'followers_count': 64, 'following_count': 83, 'tweet_count': 1819, 'listed_count': 0}",,,
381608822.0,False,False,Space enthusiast w/a Sharpie! X-journo. Pubd in @BIS_spaceflight among others. #NASATweetup /Social alum. @a_dotguild proud member.,Hart Sastrowardoyo,https://t.co/qg28cAxaEd,HBSastrowardoyo,https://pbs.twimg.com/profile_images/1399725499656589312/YxXGXGOt_normal.jpg,"{'followers_count': 612, 'following_count': 593, 'tweet_count': 17191, 'listed_count': 26}",New Jersey,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/qg28cAxaEd', 'expanded_url': 'http://spacehart.blogspot.com/', 'display_url': 'spacehart.blogspot.com'}]}, 'description': {'hashtags': [{'start': 79, 'end': 91, 'tag': 'NASATweetup'}], 'mentions': [{'start': 48, 'end': 64, 'username': 'BIS_spaceflight'}, {'start': 106, 'end': 117, 'username': 'a_dotguild'}]}}",1.223447503690961e+18
3361570644.0,False,False,"生きてるだけで立派な冒険だ。猫も、人間も。Just alive, it's a great adventure. Whether it's a cat or a human. #StopPutin #StopRussianAggression #StandWithUkraine",怒猫,,okorineko,https://pbs.twimg.com/profile_images/1468189962445066240/tGRfYmbF_normal.jpg,"{'followers_count': 297, 'following_count': 347, 'tweet_count': 77328, 'listed_count': 0}","Mad Tokyo, Hell Japan","{'description': {'hashtags': [{'start': 88, 'end': 98, 'tag': 'StopPutin'}, {'start': 99, 'end': 121, 'tag': 'StopRussianAggression'}, {'start': 122, 'end': 139, 'tag': 'StandWithUkraine'}]}}",1.5112006593870725e+18
324979893.0,False,False,Oftalmopediatría y estrabismo IOR. PhD. Somos el cosmos que sueña consigo mismo. Sodolipia escotilisgi fralicapersu.Todo pasa por una mitad. 🏳️‍🌈,Carlos,,CarlosNarvaez91,https://pbs.twimg.com/profile_images/1305258276548943872/_b-YyB8S_normal.jpg,"{'followers_count': 491, 'following_count': 830, 'tweet_count': 10624, 'listed_count': 6}",San Junípero,,1.4470764979452068e+18
1865768690.0,False,False,"Perfume P.T.A. ずとまよ
futsal/soccer たまにスプラとOW",け〜ちゃん⊿,,perfume_ka,https://pbs.twimg.com/profile_images/976332343534219266/ZVOEMcUi_normal.jpg,"{'followers_count': 678, 'following_count': 650, 'tweet_count': 2956, 'listed_count': 2}",栃木→神奈川→神戸→東京,,
18893862.0,False,False,Internet slacking since 1995,Nicholas Eckert,http://t.co/1lbCFyIgvN,vidstudent,https://pbs.twimg.com/profile_images/70770156/youradhere_normal.jpg,"{'followers_count': 130, 'following_count': 180, 'tweet_count': 24491, 'listed_count': 10}","Columbus, OH","{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/1lbCFyIgvN', 'expanded_url': 'http://vidstudent.livejournal.com', 'display_url': 'vidstudent.livejournal.com'}]}}",
1.5149542825581855e+18,False,False,pro EU anti Tory locked out of my account with almost 10k followers. Silly Dame Claire,TNT Claire FBPE #SlavaUkraini,,TNTAndrew1,https://pbs.twimg.com/profile_images/1514954797010636802/xTIUmvj4_normal.jpg,"{'followers_count': 515, 'following_count': 704, 'tweet_count': 1008, 'listed_count': 0}",Plague Island ,,
7.890465738460447e+17,False,False,i follow flows,ᴘᴇᴛʏʀ,,its_artmchl,https://pbs.twimg.com/profile_images/1518504549241131008/MVhf3YAT_normal.jpg,"{'followers_count': 940, 'following_count': 830, 'tweet_count': 24949, 'listed_count': 0}",✨MANIFESTING✨,,1.4436114088772526e+18
20566547.0,False,False,I'm the son of a Preacher Man. A former DJ on the radio. (That’s an ancient form of communication used before the internet kids). Loves pie!,Patch Landers,,DruidPrince,https://pbs.twimg.com/profile_images/77209133/PATCH6_normal.JPG,"{'followers_count': 214, 'following_count': 1014, 'tweet_count': 4271, 'listed_count': 1}","Gatlinburg, TN",,1.444520567965692e+18
451470784.0,False,False,l'omino del caffe',Roberto Ballotta,,robboballo67,https://pbs.twimg.com/profile_images/1107885248044584960/WUwJKJc4_normal.jpg,"{'followers_count': 26, 'following_count': 188, 'tweet_count': 1058, 'listed_count': 2}",,,
132949225.0,False,False,虚寄りの無,けめた,https://t.co/kxVVlXkMOL,gn8q9why,https://pbs.twimg.com/profile_images/1480219314032881664/3E7JVHaO_normal.png,"{'followers_count': 265, 'following_count': 415, 'tweet_count': 181869, 'listed_count': 24}",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/kxVVlXkMOL', 'expanded_url': 'http://twpro.jp/gn8q9why', 'display_url': 'twpro.jp/gn8q9why'}]}}",1.4932449770648084e+18
123722268.0,False,False,"Engineer
PHP/Laravel/HTML/JavaScript/MySQL/golang",te2u,http://t.co/HLHpePnHeh,te2u_jp,https://pbs.twimg.com/profile_images/665396955888140290/yUECexXy_normal.jpg,"{'followers_count': 19, 'following_count': 5, 'tweet_count': 6987, 'listed_count': 4}",関東圏内,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/HLHpePnHeh', 'expanded_url': 'http://te2u.hatenablog.jp/', 'display_url': 'te2u.hatenablog.jp'}]}}",
1.458850408332415e+18,False,False,"Teaching Assistant, Forest Schools Assistant and proud member of the Fibbersley Park Academy family. All views are my own.",Miss Silk,,MissSilk_fpa,https://pbs.twimg.com/profile_images/1458852959983484930/KXocYPRL_normal.jpg,"{'followers_count': 13, 'following_count': 56, 'tweet_count': 67, 'listed_count': 0}",,,
1.0155186031462318e+18,False,False,,パピコ,,Zj9r3fi3aJyEJrb,https://pbs.twimg.com/profile_images/1015519294971473920/JJvxKgul_normal.jpg,"{'followers_count': 0, 'following_count': 0, 'tweet_count': 169, 'listed_count': 0}",,,
249253726.0,False,False,"Trabajadora y cuidadora. Oviedista y madridista. De momento, feliz",Belalvar🏳️‍🌈🏳️‍🌈🏳️‍🌈,,Belalvar,https://pbs.twimg.com/profile_images/1296422786009903109/4m8oNtNv_normal.jpg,"{'followers_count': 127, 'following_count': 493, 'tweet_count': 4580, 'listed_count': 0}",,,
1.1647436238138982e+18,False,False,2019年4月に転職し、現在、中小企業にて社内SEとして働いています。主にPRA(PAD、Uipath)／Python／GCP／Tableau／英会話（DMM英会話）／オランダ語に興味あり。投稿は個人の意見です。,hiro@社内SE,,hiro_se123,https://pbs.twimg.com/profile_images/1164771510998822913/runkVgcB_normal.jpg,"{'followers_count': 551, 'following_count': 425, 'tweet_count': 1350, 'listed_count': 6}","Fukuoka-ken, Japan",,1.4528643722172457e+18
1.0539064372970947e+18,False,False,"anyway, clout is useless. 
any pronouns.
23.",wal,,el_gual,https://pbs.twimg.com/profile_images/1452625321266659336/lfeYJBLK_normal.jpg,"{'followers_count': 15, 'following_count': 906, 'tweet_count': 8396, 'listed_count': 0}",,,1.3570684206516142e+18
844343796.0,False,False,Husband of one. Dad of two. Son of Mayo. Sports fan. Cycling fan. Music. Politics. Pop culture. Speed trumps perfection. All views are my own!,Paul Morley,,Morleypm,https://pbs.twimg.com/profile_images/900064197794516992/IfvpCMSQ_normal.jpg,"{'followers_count': 84, 'following_count': 60, 'tweet_count': 3497, 'listed_count': 1}","Fingal, Ireland",,
1.4675963146366566e+18,False,False,Mayonnaisen Fan,gerburburger,,gerburburger,https://pbs.twimg.com/profile_images/1467596626852257803/p4YdIlZ8_normal.jpg,"{'followers_count': 4, 'following_count': 23, 'tweet_count': 30, 'listed_count': 0}",,,
14069147.0,False,False,Husband to @medelle71. Tulane and University of Texas grad. Epidemiologist working on clinical trials. Mac fan. Geaux Saints! (he/him/his),Kenneth R Milstead,,krmilstead,https://pbs.twimg.com/profile_images/1158448448695414785/1oXZ1q2c_normal.jpg,"{'followers_count': 475, 'following_count': 978, 'tweet_count': 7516, 'listed_count': 14}",New Orleans/Seattle,"{'description': {'mentions': [{'start': 11, 'end': 21, 'username': 'medelle71'}]}}",
103404488.0,False,False,I'm old. I play games. I am a nerd. Love Ham Radio and WiFi geek!  https://t.co/yd9TKfrDr9 occasionally.,g33z3r_hd,https://t.co/OUaqZwjMzc,g33z3r_hd,https://pbs.twimg.com/profile_images/1025570632925413376/6uqJy5bX_normal.jpg,"{'followers_count': 1395, 'following_count': 352, 'tweet_count': 21436, 'listed_count': 33}","Lexington, SC","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OUaqZwjMzc', 'expanded_url': 'http://bit.ly/2pAaTeG', 'display_url': 'bit.ly/2pAaTeG'}]}, 'description': {'urls': [{'start': 67, 'end': 90, 'url': 'https://t.co/yd9TKfrDr9', 'expanded_url': 'http://twitch.tv/g33z3r_hd', 'display_url': 'twitch.tv/g33z3r_hd'}]}}",1.425495083416236e+18
4483929683.0,False,False,She/Her,carol howker,,CalderdaleCarol,https://pbs.twimg.com/profile_images/1495303664940072966/GKq3jXYi_normal.jpg,"{'followers_count': 3, 'following_count': 145, 'tweet_count': 5698, 'listed_count': 10}",,,
1.1720939772580127e+18,False,False,,Andrew_K,,Andrew_K_79,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"{'followers_count': 2, 'following_count': 42, 'tweet_count': 1377, 'listed_count': 0}",,,
