id,created_at,reply_settings,conversation_id,possibly_sensitive,text,source,public_metrics,context_annotations,author_id,lang,attachments,entities,referenced_tweets,in_reply_to_user_id,geo
1521495984995549192,2022-05-03T14:24:45.000Z,everyone,1521495984995549192,False,"Wordle 318 5/6
@Jimmysum86
🟨🟩⬛⬛⬛
⬛🟩⬛⬛🟨
⬛🟩⬛🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1066022962153824256,en,,"{'mentions': [{'start': 15, 'end': 26, 'username': 'Jimmysum86', 'id': '941767854138916864'}]}",,,
1521495982369906690,2022-05-03T14:24:44.000Z,everyone,1521495982369906690,False,"Wordle 318 5/6

⬛🟨⬛⬛⬛
⬛⬛⬛🟩⬛
⬛⬛🟨🟩⬛
⬛🟨🟨🟩⬛
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",126390458,en,,,,,
1521495981971615749,2022-05-03T14:24:44.000Z,everyone,1521495981971615749,False,"Wordle 319 4/6

🟨🟩🟨⬜⬜
🟩⬜⬜⬜⬜
🟩🟩🟨🟨⬜
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1278688958545752064,en,,,,,
1521495978473369600,2022-05-03T14:24:43.000Z,everyone,1521495978473369600,False,"Wordle 318 4/6

⬜🟨🟨⬜⬜
🟨⬜🟩⬜⬜
⬜🟨🟩🟨⬜
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",18626944,en,,,,,
1521495972253417473,2022-05-03T14:24:42.000Z,everyone,1521495972253417473,False,"Le Mot #114 3/6

🟨⬛⬛🟨⬛
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩

https://t.co/xJj1lfQ9Hg",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,745780617925664768,fr,,"{'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/xJj1lfQ9Hg', 'expanded_url': 'https://wordle.louan.me', 'display_url': 'wordle.louan.me'}]}",,,
1521495967664644098,2022-05-03T14:24:41.000Z,everyone,1521495967664644098,False,"Wordle 318 4/6

⬛🟨⬛⬛⬛
⬛🟨🟩⬛⬛
⬛🟨🟨⬛🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2777180855,en,,,,,
1521495967551442944,2022-05-03T14:24:41.000Z,everyone,1521495967551442944,False,"Wordle 318 3/6

🟨⬜⬜⬜🟨
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1883816503,en,,,,,
1521495964393132032,2022-05-03T14:24:40.000Z,everyone,1479812641619120130,False,"Wordle 318 4/6

🟨⬛⬛⬛⬛
⬛🟩🟩⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1172154012386385920,en,,,"[{'type': 'replied_to', 'id': '1521108756616163330'}]",1172154012386385920,
1521495962711207939,2022-05-03T14:24:40.000Z,everyone,1521495880653750273,False,"Wordle 318 4/6

⬜⬜⬜🟨⬜
⬜🟩⬜⬜🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1070742294440148992,en,,,"[{'type': 'replied_to', 'id': '1521495880653750273'}]",1070742294440148992,
1521495961167609860,2022-05-03T14:24:39.000Z,everyone,1521323611553902594,False,"Wordle 318 3/6

⬜⬜🟨🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1247403545046872064,en,,,"[{'type': 'replied_to', 'id': '1521323611553902594'}]",1247403545046872064,
1521495959137628160,2022-05-03T14:24:39.000Z,everyone,1521495959137628160,False,"Wordle 318 5/6

⬜🟨🟩⬜⬜
⬜⬜🟩⬜🟨
🟨🟩🟩⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩

4手目、二択をはずしてがっくり。今日は運が悪い。",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",122674812,ja,,,,,
1521495959091712000,2022-05-03T14:24:39.000Z,everyone,1521495959091712000,False,":/

Wordle 319 6/6

⬛⬛⬛🟨🟩
⬛🟨🟨⬛🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",765102795749928960,en,,,,,
1521495958986625024,2022-05-03T14:24:39.000Z,everyone,1521495958986625024,False,"Wordle (ES)  #117 5/6

⬜🟩⬜⬜🟩
⬜🟩⬜⬜🟩
🟨🟩⬜⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/BXSkRwGrDc",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",706299534473895936,en,,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/BXSkRwGrDc', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1521495951583678467,2022-05-03T14:24:37.000Z,everyone,1521495951583678467,False,"Wordle (ES)  #117 3/6

⬜🟩⬜⬜⬜
⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/DfCe1yxHo2",Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1317260643385344005,en,,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/DfCe1yxHo2', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1521495943853625345,2022-05-03T14:24:35.000Z,everyone,1521495943853625345,False,"Wordle 318 4/6

⬛⬛⬛🟩⬛
⬛🟨🟨🟩⬛
🟩⬛🟨🟩⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",23903974,en,,,,,
1521495940766572547,2022-05-03T14:24:34.000Z,everyone,1521495940766572547,False,"Wordle 318 6/6
💀

⬛⬛🟨⬛⬛
🟨🟩⬛⬛🟩
⬛🟨⬛⬛⬛
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",787189789758001152,en,,,,,
1521495934772957195,2022-05-03T14:24:33.000Z,everyone,1521495934772957195,False,"Wordle 318 5/6

⬛⬛⬛🟨⬛
🟨⬛⬛⬛⬛
⬛🟨🟨🟨⬛
🟨🟩🟩⬛🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1433464400250277897,en,,,,,
