,verified,description,protected,url,public_metrics,entities,location,profile_image_url,pinned_tweet_id,name,id,username
84073098,False,An artist using only light and shade for @ImagineImages. All thoughts on here are my very own!,False,https://t.co/ua7Tu0HIrU,"{'followers_count': 375, 'following_count': 1149, 'tweet_count': 13119, 'listed_count': 12}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ua7Tu0HIrU', 'expanded_url': 'http://www.imaginecollections.com', 'display_url': 'imaginecollections.com'}]}, 'description': {'mentions': [{'start': 41, 'end': 55, 'username': 'ImagineImages'}]}}",Lanarkshire,https://pbs.twimg.com/profile_images/1475205801870602242/66pcIrkv_normal.jpg,,Ross Brownlee,,rossbrownlee1
128453657,False,"I'm a tiny Korean. / 성인 / 한국말, English, 日本語 すこし / PROUD FEMINIST / 영화&드라마 / 고양이 @Mal_Ori_cat / 팔찌 @MadeByTodago",False,https://t.co/vvULe0Qqan,"{'followers_count': 497, 'following_count': 2929, 'tweet_count': 322425, 'listed_count': 28}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/vvULe0Qqan', 'expanded_url': 'http://inception.davepedu.com/', 'display_url': 'inception.davepedu.com'}]}, 'description': {'mentions': [{'start': 80, 'end': 92, 'username': 'Mal_Ori_cat'}, {'start': 98, 'end': 111, 'username': 'MadeByTodago'}]}}",Limbo,https://pbs.twimg.com/profile_images/769657864256229376/Fss4Oz0R_normal.jpg,1324218090339512322,Todago/토다고🎗,,ToDaGo629
298564619,False,"LOL (SN:Snowhalation）FF14(用心棒鯖）Threat Lux 最近はどっぷりスマブラ（ケン）ほかにもやガンスト,EXVS,apex,アラド戦記やってます。  koiuya",False,,"{'followers_count': 1170, 'following_count': 2043, 'tweet_count': 203802, 'listed_count': 0}",,レーヴァテイン,https://pbs.twimg.com/profile_images/1504244944784920580/uPRCFtud_normal.jpg,1518951256953266177,ThreatLux@Yojimbo,,koiuya
57707396,False,Disgraced cyclist. This is the best day of my life.,False,https://t.co/TmovJfqC6H,"{'followers_count': 30311, 'following_count': 2547, 'tweet_count': 48061, 'listed_count': 436}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/TmovJfqC6H', 'expanded_url': 'http://conversationswithdeath.tumblr.com', 'display_url': 'conversationswithdeath.tumblr.com'}]}}",,https://pbs.twimg.com/profile_images/1216176099413184513/MoWYPAqr_normal.jpg,340523384276385792,Quinn Sutherland,,ReelQuinn
367927156,False,33- lover of all Pittsburgh everything.  the OG at getting the Lil Tot tattoo. (he/him/his),False,,"{'followers_count': 175, 'following_count': 527, 'tweet_count': 9188, 'listed_count': 1}",,"Pittsburgh, PA.  ",https://pbs.twimg.com/profile_images/1420491803183230977/qF5io3UC_normal.jpg,1405161542996447235,The Blakuu,,TheBlakuu
11239092,False,professional public commenter and civil engineer,False,https://t.co/M0whlq4yFg,"{'followers_count': 1813, 'following_count': 600, 'tweet_count': 58183, 'listed_count': 65}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/M0whlq4yFg', 'expanded_url': 'http://medium.com/@calwatch', 'display_url': 'medium.com/@calwatch'}]}}","Pomona, California",https://pbs.twimg.com/profile_images/793509831000797184/KUy7ITF__normal.jpg,,Henry Fung,,calwatch
386124314,False,Just yelling into the void. Don't mind me. ☕️,False,,"{'followers_count': 0, 'following_count': 20, 'tweet_count': 262, 'listed_count': 0}",,,https://pbs.twimg.com/profile_images/1480944462134194187/0pV8BZfr_normal.jpg,,Olivia Waine 🇺🇦🌻,,gathering_dust
708330391900270593,False,空まで届け！ぽかぽかキュン！1人じゃない、仲間と共に高く跳べ！/// 日向坂46⇒金村美玖/欅坂46⇒鈴本美愉/乃木坂46⇒北野日奈子/基本在宅/ラーメン部/カリフォルニアロール/EXIT/田中瞳アナ/,False,,"{'followers_count': 342, 'following_count': 610, 'tweet_count': 4119, 'listed_count': 3}",,,https://pbs.twimg.com/profile_images/1199777039877689344/Rsksec20_normal.jpg,,コンコン⊿,,kirakirakeyaki3
2800034442,False,Media Reviews and Interviews / Consulting / Logistics / Publishing: https://t.co/jzlKBHZljd YouTube Channel: https://t.co/6pzUcj4p8u,False,https://t.co/jzlKBHZljd,"{'followers_count': 3386, 'following_count': 1852, 'tweet_count': 49841, 'listed_count': 28}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jzlKBHZljd', 'expanded_url': 'http://www.CriticalBlast.com', 'display_url': 'CriticalBlast.com'}]}, 'description': {'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/jzlKBHZljd', 'expanded_url': 'http://www.CriticalBlast.com', 'display_url': 'CriticalBlast.com'}, {'start': 109, 'end': 132, 'url': 'https://t.co/6pzUcj4p8u', 'expanded_url': 'http://youtube.com/criticalblast', 'display_url': 'youtube.com/criticalblast'}]}}","Holiday Island, AR",https://pbs.twimg.com/profile_images/1395728390855053313/y337Nh3z_normal.jpg,,Critical Blast 💥,,CriticalBlast
2276179681,False,,False,,"{'followers_count': 11, 'following_count': 760, 'tweet_count': 142, 'listed_count': 0}",,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,Tripti Mehrotra,,mehrotratripti
212346643,False,"life is short, love others as yourself!",False,,"{'followers_count': 422, 'following_count': 1227, 'tweet_count': 21871, 'listed_count': 13}",,,https://pbs.twimg.com/profile_images/1824016446/image_normal.jpg,1431626177056153601,🌻Tori Gilmore 🇺🇦🌻,,torigilmore8
198382068,False,I am a solo super hero to two beautiful girls...,False,,"{'followers_count': 37, 'following_count': 263, 'tweet_count': 1830, 'listed_count': 1}",,,https://pbs.twimg.com/profile_images/1247293447829999616/jl357UvZ_normal.jpg,,Aztecfenyx,,Aztecfenyx_
114379898,False,What?!,False,,"{'followers_count': 213, 'following_count': 565, 'tweet_count': 13675, 'listed_count': 10}",,"Bengaluru, India",https://pbs.twimg.com/profile_images/863598031408680961/uVfGYAEN_normal.jpg,,Naveen,,navzak
901854197636878336,False,«Space is disease and danger wrapped in darkness and silence» «I’m not a psychopath. I'm a high-functioning sociopath» | multifandom,False,https://t.co/cboFpUDphr,"{'followers_count': 765, 'following_count': 491, 'tweet_count': 207514, 'listed_count': 7}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/cboFpUDphr', 'expanded_url': 'https://twitter.com/blazeofbones/status/1447316228276633601?s=21', 'display_url': 'twitter.com/blazeofbones/s…'}]}}",22 | She/her,https://pbs.twimg.com/profile_images/1520523392482435074/PuTtm7HW_normal.jpg,1287209502769545217,Paula,,BlazeofBones
23653677,False,I'm an family man and an artist.,False,,"{'followers_count': 28, 'following_count': 201, 'tweet_count': 303, 'listed_count': 0}",,"Minneapolis, MN",https://pbs.twimg.com/profile_images/3381085620/b13c3c4fe2166f95a8695283eb2b8e53_normal.jpeg,,Tim Daggy,,ubik3D
19517593,False,"Always looking for a fight. 

Buy me a Ko-fi - https://t.co/aaoDKQyKUR",False,https://t.co/yJbm9VzvRE,"{'followers_count': 333, 'following_count': 323, 'tweet_count': 21572, 'listed_count': 12}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/yJbm9VzvRE', 'expanded_url': 'http://www.savagelucy42.etsy.com', 'display_url': 'savagelucy42.etsy.com'}]}, 'description': {'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/aaoDKQyKUR', 'expanded_url': 'http://ko-fi.com/W7W05WEO', 'display_url': 'ko-fi.com/W7W05WEO'}]}}","Arkansas, USA",https://pbs.twimg.com/profile_images/1515149052035448833/nMyZqFJf_normal.png,1123283084177178625,🎈SavageLucy42🎈,,SavageLucy42
120563693,False,"Ubi societas, ibi ius. (社会あるところ法あり) / 60代B / 生涯一法学徒 / I moyle in law. / ネコは心の鎧 / ときどきゴルフ垢になる / 美しいものをなるべく多く見ていたい / フォロー返し→法務系、ネコ、ワーペア",False,,"{'followers_count': 214, 'following_count': 482, 'tweet_count': 19822, 'listed_count': 2}",,Tokyo,https://pbs.twimg.com/profile_images/1304798381118685191/y6mRxrbg_normal.jpg,,kl,,umi1985
