id,protected,name,verified,location,public_metrics,url,profile_image_url,username,description,pinned_tweet_id,entities
4536963271.0,False,io tangent(46°) ||| #オーラル_BITP,False,,"{'followers_count': 188, 'following_count': 474, 'tweet_count': 418699, 'listed_count': 6}",https://t.co/wTf97BsvXM,https://pbs.twimg.com/profile_images/1515906822242144264/iQKPoFdx_normal.jpg,txrch03_,"JohnYong Shipper | Carat | The oral cigarettes | JJK | Nezha | (she/her)

Ace 🏳️‍🌈

#สายผลิตไม่เอาNFT | Anti-NFT",1.4772712098887393e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/wTf97BsvXM', 'expanded_url': 'https://www.facebook.com/Tangent-46-100966318076800/', 'display_url': 'facebook.com/Tangent-46-100…'}]}, 'description': {'hashtags': [{'start': 84, 'end': 101, 'tag': 'สายผลิตไม่เอาNFT'}]}}"
561341184.0,False,El diario de los relatos,False,,"{'followers_count': 161, 'following_count': 234, 'tweet_count': 6553, 'listed_count': 2}",https://t.co/Xo87J0TFnT,https://pbs.twimg.com/profile_images/1519420680361627648/l5fJDY3-_normal.jpg,diariorelato,"“Los libros son puertas que te llevan a la calle. Con ellos aprendes, te educas, viajas, sueñas, imaginas, vives otras vidas y multiplicas la tuya por mil.”",1.519009136595329e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Xo87J0TFnT', 'expanded_url': 'https://youtube.com/channel/UCUle9LI0JbTKjKbmQtoKEyg', 'display_url': 'youtube.com/channel/UCUle9…'}]}}"
58845536.0,False,Gottis | Kanata Center PLZ,False,Sweden,"{'followers_count': 98, 'following_count': 797, 'tweet_count': 5805, 'listed_count': 3}",https://t.co/J0wdnDfJGx,https://pbs.twimg.com/profile_images/1497548002780758019/vPieasZj_normal.jpg,gottis_chan,Gottis | 40+ | She/Her | Roleplayer | AMV Maker ♥ | Enstars on the brain | 🇸🇪,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/J0wdnDfJGx', 'expanded_url': 'http://gottischan.tumblr.com/', 'display_url': 'gottischan.tumblr.com'}]}}"
227533188.0,False,eLana,False,"Sarawak, Malaysia","{'followers_count': 675, 'following_count': 2560, 'tweet_count': 16475, 'listed_count': 6}",,https://pbs.twimg.com/profile_images/1374614934160478210/7R8dwiaU_normal.jpg,ellylana_elb,,,
148815114.0,False,Rodolfo Zolá García,False,,"{'followers_count': 351, 'following_count': 724, 'tweet_count': 11366, 'listed_count': 7}",,https://pbs.twimg.com/profile_images/1987153089/foto_2012_normal.JPG,zola_garcia,Aficionado a rodar y a la tecnología. Mis Tweets son mi responsabilidad.,,
2780670366.0,False,久留 四味男,False,東京都,"{'followers_count': 35, 'following_count': 102, 'tweet_count': 22250, 'listed_count': 2}",https://t.co/dgG5wTCwqP,https://pbs.twimg.com/profile_images/1200628497108099072/dtUXC0ND_normal.jpg,kuru_shimio,アニメとゲームと,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/dgG5wTCwqP', 'expanded_url': 'http://twpf.jp/kuru_shimio', 'display_url': 'twpf.jp/kuru_shimio'}]}}"
220348639.0,False,Sergey Borodovsky,False,"Bandung, Indonesia","{'followers_count': 474, 'following_count': 376, 'tweet_count': 21494, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1508313275980980225/lyh_kVTB_normal.jpg,Ghozillaaa,𝐈𝐧 𝐕𝐢𝐧𝐨 𝐕𝐞𝐫𝐢𝐭𝐚𝐬,,
2890356559.0,False,レイラ,False,ほっかいどぅ さつほろ,"{'followers_count': 1059, 'following_count': 1999, 'tweet_count': 52551, 'listed_count': 17}",https://t.co/nvpFV9kEbD,https://pbs.twimg.com/profile_images/1514939822187565060/BjawAjAV_normal.jpg,leiladqx,"可愛いキャラとプクリポとケモロリ巨乳を好む変態ですw R18な事も呟いたりしますのでご注意(？)をw
アイコンとヘッダーは@kemoribbon_vrcさんに描いていただきました♪",1.1065966566805832e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nvpFV9kEbD', 'expanded_url': 'https://youtube.com/channel/UCXP4aI9UrpI_Cj9furSLHeA', 'display_url': 'youtube.com/channel/UCXP4a…'}]}, 'description': {'mentions': [{'start': 61, 'end': 76, 'username': 'kemoribbon_vrc'}]}}"
2251245007.0,False,pap 🦋💜 4/16,False,ninin's heart,"{'followers_count': 326, 'following_count': 374, 'tweet_count': 11974, 'listed_count': 1}",https://t.co/hJ5hqEm2yU,https://pbs.twimg.com/profile_images/1511030113940369410/uHAG1Tj8_normal.jpg,friendlyfrfl,"love, transience, wisdom #PhilaUnite",1.1254044579178045e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hJ5hqEm2yU', 'expanded_url': 'https://my.w.tt/Vtv9RfIeb4', 'display_url': 'my.w.tt/Vtv9RfIeb4'}]}, 'description': {'hashtags': [{'start': 25, 'end': 36, 'tag': 'PhilaUnite'}]}}"
222752995.0,False,うるにゃん,False,サクラ大戦┆夢キャス┆Readyyy!┆ARP,"{'followers_count': 387, 'following_count': 465, 'tweet_count': 154504, 'listed_count': 16}",https://t.co/f4MdUstM1G,https://pbs.twimg.com/profile_images/1458095188560199681/D69VT7QF_normal.jpg,uru_S3,いっぱいねるおしごと,1.5074473476634337e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/f4MdUstM1G', 'expanded_url': 'https://uru.carrd.co', 'display_url': 'uru.carrd.co'}]}}"
17086666.0,False,Brian,False,,"{'followers_count': 10, 'following_count': 214, 'tweet_count': 1508, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1515406818499039235/CcN7cVDT_normal.jpg,sealbhaigh,"✊🏻✊🏼✊🏽✊🏾✊🏿 ME✈️IRL(Cork/Belfast)✈️Bmore/DC✈️Manchester | Irish Historian (MA, QUB) turned Healthcare Tech Pro",,
1.2392197104886538e+18,False,Finn,False,España,"{'followers_count': 740, 'following_count': 890, 'tweet_count': 98524, 'listed_count': 11}",,https://pbs.twimg.com/profile_images/1513848670562697221/ujeDpfq2_normal.jpg,Finn_518,PEGI 19 ♂Videojugador 🎮👾 Nintendo Switch❤️ PS5💙 Mario 🍄 Zelda 🗡 Pokémon 🧢 FF VII ✨MK / F1 🏎 Barça ❤️💙,1.5152418183335854e+18,
37409449.0,False,ᛋᛖᛒ ᚠᛟᛒᚱᛖᚲᚱ,False,Terabithia,"{'followers_count': 182, 'following_count': 102, 'tweet_count': 42474, 'listed_count': 7}",https://t.co/gqtLGMMiYh,https://pbs.twimg.com/profile_images/1521108631147941888/p8YWox5K_normal.jpg,sebcalaguas,Geek | Gamer | Content Creator | Bassist | Lyricist | Baller | Cyclist | Marketing Guy | Dog-person,8.070985219921183e+17,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gqtLGMMiYh', 'expanded_url': 'https://www.youtube.com/channel/UCWZwl9mFomp3WMrHLU24iDg', 'display_url': 'youtube.com/channel/UCWZwl…'}]}}"
1363079876.0,False,ほにゃ(´～｀＊),False,,"{'followers_count': 148, 'following_count': 293, 'tweet_count': 7179, 'listed_count': 2}",https://t.co/ecfVwSm5UP,https://pbs.twimg.com/profile_images/1428686548048904203/GnljEJMi_normal.jpg,kanata_fourth,"ゲーム垢。
Splatoon2
ハイカス茜のガチマッチ
apexもやってる。
スマブラ触り始めた。

【マシュマロ】
https://t.co/65kRCFg7yj",1.4401169677891297e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ecfVwSm5UP', 'expanded_url': 'https://youtu.be/K_sQ2IaayCM', 'display_url': 'youtu.be/K_sQ2IaayCM'}]}, 'description': {'urls': [{'start': 59, 'end': 82, 'url': 'https://t.co/65kRCFg7yj', 'expanded_url': 'http://marshmallow-qa.com/kanata_fourth', 'display_url': 'marshmallow-qa.com/kanata_fourth'}]}}"
