id,possibly_sensitive,public_metrics,context_annotations,lang,created_at,text,source,conversation_id,reply_settings,author_id,entities,referenced_tweets,in_reply_to_user_id,attachments,geo
1521698449673969664,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T03:49:16.000Z,"Wordle 318 4/6

⬜⬜⬜🟩🟩
⬜🟩⬜⬜⬜
⬜⬜⬜🟨⬜
🟩🟩🟩🟩🟩",TweetDeck,1521698449673969664,everyone,265023700,,,,,
1521698449565044736,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T03:49:16.000Z,"Wordle 318 3/6

🟩🟩⬛⬛⬛
🟩🟩🟨⬛🟩
🟩🟩🟩🟩🟩

I lost all my stats aw ☹️",Twitter for iPhone,1521698449565044736,everyone,85994510,,,,,
1521698446138396673,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T03:49:16.000Z,"Wordle 318 3/6 💪🏼💪🏼 #wordle 

⬛🟩⬛⬛⬛
⬛🟩⬛⬛⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,1521698446138396673,everyone,215834575,"{'hashtags': [{'start': 20, 'end': 27, 'tag': 'wordle'}]}",,,,
1521698445622341632,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T03:49:15.000Z,"Wordle 318 X/6

⬛⬛⬛⬛⬛
⬛⬛⬛⬛🟨
🟨⬛⬛🟩⬛
⬛🟩🟩🟩⬛
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩

Curses",Twitter for iPhone,1521698445622341632,everyone,210837394,,,,,
1521698444364058624,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",ja,2022-05-04T03:49:15.000Z,"まあまあよし
Wordle 319 4/6

⬛⬛🟩🟨⬛
⬛⬛⬛⬛⬛
⬛🟨🟨🟨⬛
🟩🟩🟩🟩🟩",TweetDeck,1521698444364058624,everyone,14497096,,,,,
1521698434763280384,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T03:49:13.000Z,"Wordle 319 5/6

⬛⬛🟨⬛⬛
🟨⬛⬛🟨⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",Twitter for Android,1492634729543188483,everyone,14314347,,"[{'type': 'replied_to', 'id': '1521156158056062976'}]",14314347,,
1521698432146104321,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T03:49:12.000Z,"Wordle 318 3/6

🟩⬜⬜⬜⬜
🟩🟩🟨⬜⬜
🟩🟩🟩🟩🟩",Twitter for iPhone,1521698432146104321,everyone,613901052,,,,,
1521698406917230594,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,ko,2022-05-04T03:49:06.000Z,"워들 206 5/6
https://t.co/6ZlW3eOyp2

🟩⬜🟨⬜⬜
🟩⬜⬜🟩🟩
🟩⬜⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩",Twitter for Android,1506093231829749760,everyone,948746031717523456,"{'urls': [{'start': 11, 'end': 34, 'url': 'https://t.co/6ZlW3eOyp2', 'expanded_url': 'https://jhlov.github.io/wordle', 'display_url': 'jhlov.github.io/wordle'}]}","[{'type': 'replied_to', 'id': '1521145308188618755'}]",948746031717523456,,
1521698382779092992,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",ja,2022-05-04T03:49:00.000Z,"ポケモンWordle 2/10

🟨⬛⬛⬛🟨
🟩🟩🟩🟩🟩

https://t.co/zRb7GwjQJ3
 #ポケモンWordle",Twitter for iPhone,1521698382779092992,everyone,1538800934,"{'hashtags': [{'start': 55, 'end': 66, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 30, 'end': 53, 'url': 'https://t.co/zRb7GwjQJ3', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",,,,
1521698366991781888,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T03:48:57.000Z,"Wordle 318 5/6

⬛⬛🟨⬛⬛
⬛🟩⬛⬛⬛
⬛🟩🟨⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,1521698366991781888,everyone,1299055983143145473,,,,,
