,name,url,protected,profile_image_url,id,username,public_metrics,description,verified,location,entities,pinned_tweet_id
125578180,モノ,,False,https://pbs.twimg.com/profile_images/680452322015588354/DhI_A4Wd_normal.png,,monolith68,"{'followers_count': 145, 'following_count': 593, 'tweet_count': 76096, 'listed_count': 6}",サッカーとポケモンが趣味のエデニストです。 鹿島アントラーズのサポーター…今年はスタジアム行けるようにしていきたい！相手チームと審判をリスペクトしながら楽しいサッカー観戦を。 最近の日課は艦これ。ひえ〜,False,,,
1144162968227024896,豊芦弘,,False,https://pbs.twimg.com/profile_images/1144164142812561408/vVnTRGyh_normal.jpg,,YZ9ZVsuRjIUriBV,"{'followers_count': 471, 'following_count': 622, 'tweet_count': 2558, 'listed_count': 9}",囲碁クエスト3級(9路)。弁護士（大阪弁護士会所属，旧６２期）。四條畷市のたった一人の弁護士です。,False,大阪府四條畷市岡山東1-10-5忍ヶ丘センタービル7階,,
707543408621936640,sssssssssssssssssssssi,,False,https://pbs.twimg.com/profile_images/1344699346806210560/3yD3_8cX_normal.jpg,,ssisuc,"{'followers_count': 63, 'following_count': 92, 'tweet_count': 4574, 'listed_count': 0}",何でもないです,False,おうち,,
1588575126,鞠,,False,https://pbs.twimg.com/profile_images/1073240643973959680/h5Vd-U3Y_normal.jpg,,3Y0F,"{'followers_count': 6, 'following_count': 14, 'tweet_count': 4713, 'listed_count': 0}",テレビ、映画、本、ラジオの感想は大体ここで呟きます あとワードル関連も飽きるまでここで呟く,False,,,
771681143196381184,れー,https://t.co/T3sC92MrJt,False,https://pbs.twimg.com/profile_images/1509902928186056710/wd1sNe4t_normal.jpg,,suzu_8hours,"{'followers_count': 317, 'following_count': 309, 'tweet_count': 226051, 'listed_count': 25}",蠱毒のグルメ かっちょいいアイコン→ @kyomrai 緊急連絡先→ @Dailynflasus,False,沼の底の墓,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/T3sC92MrJt', 'expanded_url': 'https://www.amazon.jp/hz/wishlist/ls/3GGSW5ETRC2D0?ref_=wl_share', 'display_url': 'amazon.jp/hz/wishlist/ls…'}]}, 'description': {'mentions': [{'start': 19, 'end': 27, 'username': 'kyomrai'}, {'start': 35, 'end': 48, 'username': 'Dailynflasus'}]}}",1421409567095726086
715445914098229248,타타 @多々,,False,https://pbs.twimg.com/profile_images/1239117192731353089/NOOQAjD7_normal.jpg,,__tata2_,"{'followers_count': 53, 'following_count': 400, 'tweet_count': 55337, 'listed_count': 6}","小傘♡/건-전/한국어, ENG, 日本語 OK",False,환상향,,1519540995830214656
376036473,こまい,https://t.co/f3VTDDuX7E,False,https://pbs.twimg.com/profile_images/953780939376640000/oItDP7Ll_normal.jpg,,kayuicomai,"{'followers_count': 5236, 'following_count': 1112, 'tweet_count': 110481, 'listed_count': 112}","ボーイズラブを好む（活きのいい昭和） 驍泰 / 正リチャ / オタユリ / 虎兎, 砂折 / ラハゲ右 / 絵のないR18用垢はこちら→ @comaikayui 拍手: https://t.co/S5obljDPuo",False,ﾊｲｲﾛﾆｿﾏﾙﾏﾁﾉｶﾀｽﾐﾃﾞ,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/f3VTDDuX7E', 'expanded_url': 'http://kayuicomai.tumblr.com/', 'display_url': 'kayuicomai.tumblr.com'}]}, 'description': {'urls': [{'start': 85, 'end': 108, 'url': 'https://t.co/S5obljDPuo', 'expanded_url': 'http://bit.ly/kayuiwebclap', 'display_url': 'bit.ly/kayuiwebclap'}], 'mentions': [{'start': 69, 'end': 80, 'username': 'comaikayui'}]}}",
835100214495064064,虚無,https://t.co/OfXZZSkwGw,False,https://pbs.twimg.com/profile_images/1475136646148669440/AGJyzKkw_normal.jpg,,kyo_mukan,"{'followers_count': 230, 'following_count': 263, 'tweet_count': 29178, 'listed_count': 0}",久遠寺邸に住んでいません。,False,久遠寺邸,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/OfXZZSkwGw', 'expanded_url': 'https://bookmeter.com/users/1144429', 'display_url': 'bookmeter.com/users/1144429'}]}}",1474660458401792002
973980717859291136,Kreis,,False,https://pbs.twimg.com/profile_images/1052210583141928960/BO9dJ75E_normal.jpg,,Kreis35582200,"{'followers_count': 145, 'following_count': 180, 'tweet_count': 4715, 'listed_count': 3}",,False,,,1046182419274117120
1645390567,アルキデス平田@海外採集行きたい,https://t.co/G4z9KAu6zu,False,https://pbs.twimg.com/profile_images/1507751468924739585/nE40ttnM_normal.jpg,,t_shirtfire,"{'followers_count': 434, 'following_count': 728, 'tweet_count': 43970, 'listed_count': 1}",尾崎豊/秋田ひろむ(amazarashi)/西城秀樹/氷室京介(BOOWY)/BARBEE BOYS/西川貴教/堺正章/岡村靖幸/坂井泉水/鈴華ゆう子(和楽器バンド)/渚ゆう子/天地真理/岩崎宏美/松田聖子/バーチャファイター/久留米高専52期材料,False,福岡県太宰府市,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/G4z9KAu6zu', 'expanded_url': 'http://haruchiha155.hatenadiary.jp/', 'display_url': 'haruchiha155.hatenadiary.jp'}]}}",1201515299163398145
586746252,増村十七,https://t.co/I2V17oe0Sl,False,https://pbs.twimg.com/profile_images/1517566068600221696/Cw2BdQ1y_normal.jpg,,masumura17,"{'followers_count': 8690, 'following_count': 2735, 'tweet_count': 25001, 'listed_count': 101}",「花四段といっしょ」毎日更新中！https://t.co/hGKCXRuLTY  『バクちゃん』全2巻発売中 https://t.co/L9nqpLwODG 自費出版本等 https://t.co/5bPWDkzvzA グッズ https://t.co/7ZhgtVMpW4,False,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/I2V17oe0Sl', 'expanded_url': 'http://masumura17.com', 'display_url': 'masumura17.com'}]}, 'description': {'urls': [{'start': 16, 'end': 39, 'url': 'https://t.co/hGKCXRuLTY', 'expanded_url': 'https://twitter.com/hanayodan', 'display_url': 'twitter.com/hanayodan'}, {'start': 55, 'end': 78, 'url': 'https://t.co/L9nqpLwODG', 'expanded_url': 'http://amazon.co.jp/dp/4047360813', 'display_url': 'amazon.co.jp/dp/4047360813'}, {'start': 86, 'end': 109, 'url': 'https://t.co/5bPWDkzvzA', 'expanded_url': 'http://masumura17.booth.pm', 'display_url': 'masumura17.booth.pm'}, {'start': 114, 'end': 137, 'url': 'https://t.co/7ZhgtVMpW4', 'expanded_url': 'http://suzuri.jp/masumura17', 'display_url': 'suzuri.jp/masumura17'}]}}",1521082792972800000
1505408886609788928,(risse)decorate ψ #redinstead,,False,https://pbs.twimg.com/profile_images/1506350950830813185/lIRQy-JQ_normal.jpg,,clarradio,"{'followers_count': 24, 'following_count': 78, 'tweet_count': 192, 'listed_count': 0}","i mean that amount of glory does sound reasonably glorious ~~ tøp, h•a, skz, day6 / takeover tour 10/23 // @ashkemuri",False,19 • she/her,"{'description': {'mentions': [{'start': 107, 'end': 117, 'username': 'ashkemuri'}]}}",
