id,conversation_id,lang,possibly_sensitive,text,author_id,public_metrics,source,reply_settings,context_annotations,created_at,entities,referenced_tweets,in_reply_to_user_id,attachments,geo
1521659833853919232,1521659833853919232,en,False,"Wordle 319 4/6

⬜⬜⬜🟩⬜
⬜🟨🟨⬜⬜
⬜⬜🟩🟩🟨
🟩🟩🟩🟩🟩

Solid 4",850243804917514240,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 8, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T01:15:50.000Z,,,,,
1521659826815700993,1521659826815700993,en,False,"Ok then Wordle 319 2/6*

⬜⬜🟩⬜🟨
🟩🟩🟩🟩🟩",29485254,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T01:15:48.000Z,,,,,
1521659780674330624,1521646444800794624,fr,False,"@Lee4Pete @OuakamA @SoundsKugle @ButtigiegDem @WordleFR Le Mot (@WordleFR) #115 5/6

⬛⬛⬛⬛⬛
⬛🟩🟨⬛🟩
🟩🟩⬛⬛🟩
🟩🟩⬛⬛🟩
🟩🟩🟩🟩🟩

https://t.co/Hs5TWwbQaG",910327021733122049,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T01:15:37.000Z,"{'urls': [{'start': 116, 'end': 139, 'url': 'https://t.co/Hs5TWwbQaG', 'expanded_url': 'https://wordle.louan.me', 'display_url': 'wordle.louan.me'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'Lee4Pete', 'id': '419194764'}, {'start': 10, 'end': 18, 'username': 'OuakamA', 'id': '1233541983999791105'}, {'start': 19, 'end': 31, 'username': 'SoundsKugle', 'id': '1045696911544594432'}, {'start': 32, 'end': 45, 'username': 'ButtigiegDem', 'id': '1492652426058506244'}, {'start': 46, 'end': 55, 'username': 'WordleFR', 'id': '1480029602105995267'}, {'start': 64, 'end': 73, 'username': 'WordleFR', 'id': '1480029602105995267'}]}","[{'type': 'replied_to', 'id': '1521646444800794624'}]",419194764,,
1521659771430260736,1521659771430260736,ja,False,"ポケモンWordle 1/10

🟩🟩🟩🟩🟩

https://t.co/5Xp2LnHkwf
 #ポケモンWordle",1107902990,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",2022-05-04T01:15:35.000Z,"{'hashtags': [{'start': 49, 'end': 60, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 24, 'end': 47, 'url': 'https://t.co/5Xp2LnHkwf', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}], 'annotations': [{'start': 0, 'end': 9, 'probability': 0.31, 'type': 'Other', 'normalized_text': 'ポケモンWordle'}]}",,,,
1521659770759172097,1521659770759172097,en,False,"Wordle 319 4/6

⬜⬜⬜🟩⬜
⬜🟨🟩🟨⬜
🟩🟩🟨⬜⬜
🟩🟩🟩🟩🟩",790879963834490880,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T01:15:35.000Z,,,,,
1521659755068067841,1521659755068067841,en,False,"Wordle 319 3/6

⬛🟩⬛🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",47432786,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T01:15:31.000Z,,,,,
1521659742589906944,1521659742589906944,ja,False,"ポケモンWordle 5/10

⬛⬛⬛⬛⬛
⬛⬛⬛⬛🟨
⬛🟨⬛⬛⬛
⬛🟨⬛🟩⬜
🟩🟩🟩🟩🟩

https://t.co/dcn6eJBKyC
 #ポケモンWordle",1088064927988731904,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,everyone,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",2022-05-04T01:15:28.000Z,"{'hashtags': [{'start': 73, 'end': 84, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/dcn6eJBKyC', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",,,,
1521659733123477504,1521659733123477504,en,False,"Wordle (ES)  #117 5/6

🟨⬜⬜⬜🟩
⬜⬜⬜⬜🟩
⬜⬜🟨⬜🟩
⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/aT1TJRy15o",27829355,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter Web App,everyone,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1303457040233160707', 'name': 'Luis Herrera'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '94', 'name': 'Journalist', 'description': ""A journalist like 'Anderson Cooper'""}, 'entity': {'id': '1303457040233160707', 'name': 'Luis Herrera'}}]",2022-05-04T01:15:26.000Z,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/aT1TJRy15o', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521659725590396929,1521659725590396929,en,False,"Wordle 319 5/6

⬛⬛🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
⬛🟩🟨🟨⬛
🟩🟩🟩🟩🟩",1435992719545880579,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-04T01:15:24.000Z,,,,,
1521659710830948354,1521659710830948354,ja,False,"ポケモンWordle 3/10

⬛🟩⬛⬛⬛
⬛🟩🟨⬛⬛
🟩🟩🟩🟩🟩

https://t.co/QUQfkbxZet
 #ポケモンWordle",513272800,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,everyone,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",2022-05-04T01:15:20.000Z,"{'hashtags': [{'start': 61, 'end': 72, 'tag': 'ポケモンWordle'}], 'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/QUQfkbxZet', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}]}",,,,
