,public_metrics,url,profile_image_url,protected,entities,verified,name,id,pinned_tweet_id,username,description,location
15816264,"{'followers_count': 80970, 'following_count': 88372, 'tweet_count': 10601, 'listed_count': 755}",https://t.co/xwgfWHDwIA,https://pbs.twimg.com/profile_images/1150427854397681665/pHqUGUdX_normal.png,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/xwgfWHDwIA', 'expanded_url': 'http://davedube.com', 'display_url': 'davedube.com'}]}}",False,Dave Dube,,1064232041712099329,DaveDube,The ultimate Mercedes enthusiast. Give me a reason to visit :-) and always ready for a concert!!,Beautiful Vermont
1487080973317685253,"{'followers_count': 8, 'following_count': 419, 'tweet_count': 1088, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1502249198003052549/QQqzigUe_normal.jpg,False,,False,Risto Kalakullinen,,,lanttuperse567,fun with it,
468744144,"{'followers_count': 501, 'following_count': 371, 'tweet_count': 4777, 'listed_count': 2}",https://t.co/3cHrbYA4aJ,https://pbs.twimg.com/profile_images/1522174144460296193/kM_hkkH5_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/3cHrbYA4aJ', 'expanded_url': 'http://Instagram.com/saanny97', 'display_url': 'Instagram.com/saanny97'}]}}",False,S A N N Y ,,1082715659023327232,jmsannicolas,"Me pregunto si las estrellas están encendidas, si arriba en el cielo saben reír para que cuando rían me acuerde de ti ♥️","Pilar de la Horadada, España"
75729065,"{'followers_count': 453, 'following_count': 1129, 'tweet_count': 15923, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/849289683922108416/rOZ_h62p_normal.jpg,False,,False,Megumu Y.,,,megu_ya,"三姉妹の父（14歳、12歳、8歳）。お仕事は看護師。手術室から外来（二次救急、内視鏡室）に異動。自転車・自作PC・デジタル一眼・ポケモンgoどれも絶賛放置中。時々山登り。
大学病院から市中病院に転職して３年が経ちました。本気出せば文字数",東京都町田市
15836698,"{'followers_count': 332, 'following_count': 658, 'tweet_count': 13417, 'listed_count': 18}",https://t.co/SxFUtaFrtc,https://pbs.twimg.com/profile_images/1460767290316709891/OJcOETEo_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/SxFUtaFrtc', 'expanded_url': 'http://katelovescode.com', 'display_url': 'katelovescode.com'}]}}",False,abortionfunds.org Kate 🇺🇦 ❤️ 🏳️‍⚧️ (she/her),,,katelovescode,"Peepy, squeaky, little rude bug.","Chicago, IL"
712230113484537856,"{'followers_count': 274, 'following_count': 751, 'tweet_count': 6528, 'listed_count': 3}",,https://pbs.twimg.com/profile_images/1518956540707090432/DWeif83w_normal.jpg,False,,False,Koyo,,,koyo_rinriko,元岐阜高専D科/高専ロボコンOB(2015~2017)/岐阜大学(M1) ロボコンサークルOB(ﾖﾜﾖﾜハード班)/ラブライブ!サンシャイン!! 梨子推し/Fate 凛イリヤ推し/FGO,愛知 一宮市
2746613567,"{'followers_count': 288, 'following_count': 852, 'tweet_count': 17061, 'listed_count': 3}",,https://pbs.twimg.com/profile_images/1500329337509322752/1PRlPMjQ_normal.jpg,False,,False,laura not lauren,,1446571503957549057,mslauramac,watches too much tv, she/her
15273552,"{'followers_count': 1833, 'following_count': 2536, 'tweet_count': 86293, 'listed_count': 36}",https://t.co/h2eSXV5O1u,https://pbs.twimg.com/profile_images/1521890480547577857/dXr1z2p8_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/h2eSXV5O1u', 'expanded_url': 'http://taurenagenda.blogspot.com', 'display_url': 'taurenagenda.blogspot.com'}]}, 'description': {'mentions': [{'start': 141, 'end': 154, 'username': 'darbordragon'}]}}",False,RJ the Wolf is FWA-Bound,,1443434619890700288,rjtremor,"Wolf, 41, INFP, he/him, left-leaning. Fast cars w/a manual, gaming, furry, music that resonates, some political RTs, intolerant of stupid. 💙 @darbordragon","Holt, MI"
507217645,"{'followers_count': 184, 'following_count': 500, 'tweet_count': 1291, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1423270985634041861/dCz9AvPR_normal.jpg,False,,False,M.A,,,manuland98,🌌🌋🎬🎙,
185217977,"{'followers_count': 299, 'following_count': 483, 'tweet_count': 9374, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1252752397513953281/o_ngDWku_normal.jpg,False,,False,Adri Montejano,,,moonte28,27. Ingeniero Químico.,
449515803,"{'followers_count': 319, 'following_count': 279, 'tweet_count': 59181, 'listed_count': 7}",,https://pbs.twimg.com/profile_images/1365161379896848384/HVSJva19_normal.jpg,False,,False,MA,,1347122606994911232,makinority104,何故かマツダ車を贔屓する男,n日市
23953260,"{'followers_count': 1402, 'following_count': 103, 'tweet_count': 10204, 'listed_count': 23}",https://t.co/YM1vduuIC3,https://pbs.twimg.com/profile_images/1442635715087683587/1ESbmvfi_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/YM1vduuIC3', 'expanded_url': 'http://www.archiseek.com', 'display_url': 'archiseek.com'}]}, 'description': {'hashtags': [{'start': 155, 'end': 160, 'tag': 'ynwa'}], 'mentions': [{'start': 66, 'end': 76, 'username': 'archiseek'}, {'start': 112, 'end': 127, 'username': 'stoneangelbeer'}, {'start': 141, 'end': 154, 'username': 'LiverpoolWpg'}]}}",False,Irish Paul of Winnipeg for Mayor!,,,IrishofManitoba,A Monaghan Clerkin. Designer. Tired. Writes on Irish architecture @archiseek Part owner of Stone Angel Brewing  @stoneangelbeer  Diehard Red @LiverpoolWpg #ynwa,Winnipeg
1154838253,"{'followers_count': 152, 'following_count': 670, 'tweet_count': 840, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1513910310264086532/p28zrkXc_normal.jpg,False,,False,Lacey Jennen • she/her,,,JennenLacey,University of Arkansas Alumni • Fayetteville Urban Forestry Advisory Board Member • Mom of 3 • Dog/Cat Mom • Plant Mom • 🏳️‍⚧️🤍,"Fayetteville, Arkansas"
19713403,"{'followers_count': 105, 'following_count': 723, 'tweet_count': 3279, 'listed_count': 5}",https://t.co/46pS93sSkw,https://pbs.twimg.com/profile_images/1068954340193386501/ETpGc4F3_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/46pS93sSkw', 'expanded_url': 'http://barbaricyawp.blogspot.com', 'display_url': 'barbaricyawp.blogspot.com'}]}}",False,Jon Williams,,,jonwwil,Pilkunnussija. (he/him),"Worthington, OH"
437118030,"{'followers_count': 612, 'following_count': 1506, 'tweet_count': 17536, 'listed_count': 5}",,https://pbs.twimg.com/profile_images/1519062159019454468/1LvFhqdf_normal.jpg,False,,False,Claire j 🇨🇦,,,CJartisan,"Neither left nor right and sometimes wrong. Fairness, an open mind and humour light my way through this Twitterverse. Enjoying my freedom while wearing a 😷","Canada, Ottawa"
4696454095,"{'followers_count': 236, 'following_count': 478, 'tweet_count': 35376, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1517073882410545154/a_e9PWfe_normal.jpg,False,,False,ポリ2,,1055848116551733249,PoryFly_gon2,,
362262888,"{'followers_count': 98, 'following_count': 1307, 'tweet_count': 14396, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/463008451497439232/-FiXxZdK_normal.jpeg,False,,False,SisterGrimm,,1458588339024666626,L_appel_du_vide,"Surprisingly knowledgeable merchant of cabbage.

she/her/they/them",???
152678463,"{'followers_count': 50, 'following_count': 198, 'tweet_count': 842, 'listed_count': 7}",,https://pbs.twimg.com/profile_images/1130382813/014_normal.jpeg,False,,False,しんじょ,,,shinjo1959,オタクです。身近のとりとめのないことをつぶやきます。 内容は個人的なものです。2018年7月末で会社を退職しました。骨休め状態。,横浜市
211110589,"{'followers_count': 138, 'following_count': 595, 'tweet_count': 15234, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1370739403237195776/_1EPId7J_normal.jpg,False,,False,sun🌻,,1464821715737796616,sunsanyx,🔸️Fan Account x Personal Account 🍀 || mostly fangirling || 90's babies ||🔸️◡̈,caratland.
363788711,"{'followers_count': 352, 'following_count': 164, 'tweet_count': 7212, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1498059385360293894/zbh9lAnZ_normal.jpg,False,,False,𝓡𝓾𝓶𝓪𝓷'𝓼 𝓦𝓲𝓯𝓮,,1512021475670302724,__rxahm,Proud Mancunian & Manchester United fan 🐝♥,North Wales | Manchester 
3408101421,"{'followers_count': 1, 'following_count': 22, 'tweet_count': 357, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/629863141921439744/dbCKRdQ__normal.jpg,False,,False,Stephen Williams,,,RealishSteve,"I've fashioned my future
on films in space",
755490,"{'followers_count': 25, 'following_count': 135, 'tweet_count': 1853, 'listed_count': 1}",https://t.co/dfbbXJpsee,https://pbs.twimg.com/profile_images/1261805349926916099/VJxyPUds_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/dfbbXJpsee', 'expanded_url': 'http://www.mildlypleased.com', 'display_url': 'mildlypleased.com'}]}}",False,Sean Lemme,,1173724191956205569,seanlemme,"UX designer, podcaster, blogger. He/they","Seattle, WA"
1048930012827725824,"{'followers_count': 744, 'following_count': 709, 'tweet_count': 29542, 'listed_count': 7}",,https://pbs.twimg.com/profile_images/1414255164953858050/COm30lBv_normal.jpg,False,,False,claudia,,1498802595862822920,guausoyclau,,
2269107642,"{'followers_count': 4860, 'following_count': 3759, 'tweet_count': 8399, 'listed_count': 100}",https://t.co/SktMOpxWdv,https://pbs.twimg.com/profile_images/1067928241724260352/uz7xzk-N_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/SktMOpxWdv', 'expanded_url': 'http://linktr.ee/cultivatedsense', 'display_url': 'linktr.ee/cultivatedsense'}]}, 'description': {'mentions': [{'start': 141, 'end': 147, 'username': 'TNWID'}]}}",False,Stephanie Ghoston Paul,,1334180921847767045,CultivatedSense,"I help Black women embody being free, whole, and enough -- through coaching, community workshops, and org anti-racism consulting.
founder of @TNWID
she/her","Dallas, TX"
1177037022877356038,"{'followers_count': 0, 'following_count': 97, 'tweet_count': 1994, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1177038276093513728/nBdt8Ara_normal.jpg,False,,False,Miss Ann Thrope,,,shunkeats,"I like reading. Don’t be alarmed. I like following, not being followed. I want to enjoy Twitter without all the intrusions. I follow people I think are smart.",
157181235,"{'followers_count': 455, 'following_count': 309, 'tweet_count': 9193, 'listed_count': 6}",https://t.co/S74PEK1MT1,https://pbs.twimg.com/profile_images/1490717619070156807/ND5swfTZ_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/S74PEK1MT1', 'expanded_url': 'https://www.last.fm/es/user/canabalon', 'display_url': 'last.fm/es/user/canaba…'}]}}",False,Carlos Anabalon,,,canabalong,Citizen Of CL. Made In KNA. Distributed In SCL And VIL.,Chile
51594407,"{'followers_count': 14433, 'following_count': 11979, 'tweet_count': 153887, 'listed_count': 114}",,https://pbs.twimg.com/profile_images/1517910322002251776/y6s40ARV_normal.jpg,False,"{'description': {'urls': [{'start': 91, 'end': 114, 'url': 'https://t.co/CTUnLK81Is', 'expanded_url': 'https://twitter.com/search?q=from:ms__pauline%20-filter:replies', 'display_url': 'twitter.com/search?q=from:…'}]}}",False,pauline 🇨🇦,,1517521544259543041,ms__pauline,"Seriously?  -me .. every, single, day 🥴   dog person, protect wildlife, our planet   🚫DMs 
https://t.co/CTUnLK81Is","Ontario, Canada"
228703627,"{'followers_count': 4905, 'following_count': 4865, 'tweet_count': 16118, 'listed_count': 21}",,https://pbs.twimg.com/profile_images/1497926182989348864/kx8WUgmN_normal.jpg,False,,False,Dan MacDonald,,,danmac800,Music. Horror Movies. Books. Mental Health. Nature. LGBT+. Cannabis. Get vaxxed! Opinions=mine. Don’t like? keep scrolling! Trouble makers get blocked.,Windsor - Detroit
15175122,"{'followers_count': 303, 'following_count': 592, 'tweet_count': 26830, 'listed_count': 32}",,https://pbs.twimg.com/profile_images/870866664211873792/mLOKbJZa_normal.jpg,False,,False,CK,,,izmo100,"Beer, Arsenal, Radio, Movie, Music & Electronics","Yokohama, JAPAN"
172755596,"{'followers_count': 302, 'following_count': 522, 'tweet_count': 13290, 'listed_count': 4}",,https://pbs.twimg.com/profile_images/1343607051176599557/D2u8BnGs_normal.jpg,False,,False,Running (Quadruple-Vaxxed) Joke 📻,,,RunningJoke,,
15250526,"{'followers_count': 220, 'following_count': 239, 'tweet_count': 9677, 'listed_count': 12}",https://t.co/UJK9bytkXL,https://pbs.twimg.com/profile_images/1026137969713922048/QQDhpQwC_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UJK9bytkXL', 'expanded_url': 'http://bumpsandcurves.com', 'display_url': 'bumpsandcurves.com'}]}, 'description': {'hashtags': [{'start': 88, 'end': 100, 'tag': 'Georgiablue'}]}}",False,standing in the need of prayer,,1469759302269341699,fancyfreedom,Living life on my own terms. Blogger|Travel Agent| former news junkie. DM for inquiries #Georgiablue,"Georgia, USA"
15312255,"{'followers_count': 354, 'following_count': 1119, 'tweet_count': 7073, 'listed_count': 22}",https://t.co/qTvOdrKutf,https://pbs.twimg.com/profile_images/378800000205142987/47aafa854b98771e19e159bc3a90c32b_normal.jpeg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/qTvOdrKutf', 'expanded_url': 'http://www.bagofnothing.com', 'display_url': 'bagofnothing.com'}]}}",False,BagOfNothing,,,bagofnothing,Chubby Half-Asian Blogger,Dallas / Fort-Worth
1094554931053375489,"{'followers_count': 2147, 'following_count': 4977, 'tweet_count': 58845, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1175475255730692097/oI89ckEY_normal.jpg,False,,False,Arthur 🌍🇺🇦🏴󠁧󠁢󠁷󠁬󠁳󠁿🇨🇵🇪🇺,,,8rthur2019,"Un Gallois 🏴󠁧󠁢󠁷󠁬󠁳󠁿 en France 🇨🇵❤️🇪🇺
🔬Never stop learning 🔭
❤️🚴🏃🎨📚🐕💻🧬🎸🍷
RT=interesting & idea provoking but not an endorsement 🤔",
309691965,"{'followers_count': 1162, 'following_count': 1085, 'tweet_count': 63809, 'listed_count': 0}",https://t.co/yeAUifWbxV,https://pbs.twimg.com/profile_images/1475914123573698571/gbOhLb8s_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/yeAUifWbxV', 'expanded_url': 'http://simonjcarne.com', 'display_url': 'simonjcarne.com'}]}}",False,Simon Carne,,,simon_carne,,London
429574702,"{'followers_count': 579, 'following_count': 1186, 'tweet_count': 45226, 'listed_count': 4}",,https://pbs.twimg.com/profile_images/1347311052334260227/MX4xkasK_normal.jpg,False,,False,Alejo San Martín,,1520132076653236227,Alejo_SMF,RT no implica (necesariamente) adhesión.,"Rancagua, Chile."
839171337709027332,"{'followers_count': 7516, 'following_count': 8106, 'tweet_count': 100385, 'listed_count': 3}",,https://pbs.twimg.com/profile_images/1497389386891243523/oDxFkQBE_normal.jpg,False,"{'description': {'hashtags': [{'start': 32, 'end': 39, 'tag': 'resist'}, {'start': 40, 'end': 54, 'tag': 'GetVaccinated'}]}}",False,Randall Lace,,899076405383835648,rklace,St. Louis Cardinals BidenHarris #resist #GetVaccinated 💉💉💉💉💈 🌻🇺🇦🇺🇸,"Arkansas, USA"
919581084353888257,"{'followers_count': 19, 'following_count': 318, 'tweet_count': 1231, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1145001306152529920/Zs-UE4SH_normal.jpg,False,,False,AltDPRK.News_Service,,1145366272286191621,AltDPRKNews_Svc,Parody of a parody,United States Minor Outlying I
460402706,"{'followers_count': 244, 'following_count': 409, 'tweet_count': 1437, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1441605753639358466/kEvdr1NR_normal.jpg,False,,False,Most Valuable Princess,,1514329468315262976,hayleyalbro,say “Yikes” and move on.,"Kansas City, MO"
4139789172,"{'followers_count': 156, 'following_count': 677, 'tweet_count': 364, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1488288034554400768/dNFeCwFO_normal.jpg,False,,False,Eric Brubaker,,,Bru4242,"Husband, father, educator, Stadium/Pepperdine/UW-Tacoma alum, Pepperdine Baseball (93-97), Chatham A’s (1995), New Level College Prep coach","University Place, WA"
47009001,"{'followers_count': 886, 'following_count': 802, 'tweet_count': 65595, 'listed_count': 0}",https://t.co/nRQpUDp73Y,https://pbs.twimg.com/profile_images/1445889375070425091/W_eaniK3_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nRQpUDp73Y', 'expanded_url': 'https://linktr.ee/centanni', 'display_url': 'linktr.ee/centanni'}]}, 'description': {'urls': [{'start': 19, 'end': 42, 'url': 'https://t.co/x5JO7lXHtX', 'expanded_url': 'http://amzn.to/2YLcXCV', 'display_url': 'amzn.to/2YLcXCV'}], 'hashtags': [{'start': 142, 'end': 154, 'tag': 'TeamVampire'}], 'mentions': [{'start': 59, 'end': 73, 'username': 'RewatchXfiles'}, {'start': 84, 'end': 99, 'username': 'VampiresRuined'}]}}",False,"""Spooky"" Centanni",,,toricentanni,Nerd Girl. Author: https://t.co/x5JO7lXHtX. Co-host of the @RewatchXfiles podcast & @VampiresRuined podcast. I love cats and cheese. She/Her. #TeamVampire,Pacific Northwest
110092979,"{'followers_count': 159, 'following_count': 2565, 'tweet_count': 14325, 'listed_count': 1}",https://t.co/mLbCYNfh5f,https://pbs.twimg.com/profile_images/1519624033221890048/JNtKPq4Y_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/mLbCYNfh5f', 'expanded_url': 'https://twitter.com/CakeBossBuddy', 'display_url': 'twitter.com/CakeBossBuddy'}]}}",False,𝗙𝗿𝗮𝗻𝗸𝗶𝗲 🥪 𝗙𝗹𝗼,,,SpaghettiFlo,I sometimes post otters. CashApp; AyyoFlo. Venmo: Frankie-Flo.,In-A-Gadda-Da-Vida
909116411590598656,"{'followers_count': 3, 'following_count': 62, 'tweet_count': 146, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1308630938897743875/-BbOOxj3_normal.jpg,False,,False,Jillian Bellah,,,thebellahlife,Educator and lifelong learner,"Dallas, TX"
1080278041077649408,"{'followers_count': 1106, 'following_count': 838, 'tweet_count': 45093, 'listed_count': 2}",https://t.co/dwAl2Rnl6C,https://pbs.twimg.com/profile_images/1511165876401287173/XyQSuCvd_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/dwAl2Rnl6C', 'expanded_url': 'https://curiouscat.live/CamilaNineTails', 'display_url': 'curiouscat.live/CamilaNineTails'}]}, 'description': {'mentions': [{'start': 93, 'end': 103, 'username': 'Arctobish'}, {'start': 107, 'end': 120, 'username': 'AceroPodcast'}]}}",False,Camila🦊🔥,,1262601538511437824,CamilaNineTails,"Solo Taylor Swift y Hiromu Arakawa pueden juzgarme. Fundamentalista de las orcas.
Divago con @Arctobish en @AceroPodcast",Buenos Aires
41060403,"{'followers_count': 3831, 'following_count': 2166, 'tweet_count': 115514, 'listed_count': 22}",,https://pbs.twimg.com/profile_images/1441504556987396103/Cnl7aRvU_normal.jpg,False,,False,🇨🇻,,1265439580553183232,_Nadineee3,her.,RI
950556787555684352,"{'followers_count': 312, 'following_count': 393, 'tweet_count': 9322, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1517708406110498816/ORKbKnlz_normal.jpg,False,,False,mia (last week of undergrad),,1485031514131902465,miagengr,you are what you love. • writer of plays • ut theatre '22 • she/her • 🇲🇽🇵🇷🏳️‍🌈,"austin, tx"
439864301,"{'followers_count': 267, 'following_count': 918, 'tweet_count': 5181, 'listed_count': 4}",,https://pbs.twimg.com/profile_images/1515705781785698304/BSQZFmTF_normal.jpg,False,,False,🌙𝐝𝐢𝐚𝐧𝐚.,,1206074377038684162,mizzmana,"Mad about metadata.📚 Learning how to raise strong independent houseplants. films, foods, moods.",TO // VN 🇻🇳
1053794220451028993,"{'followers_count': 1, 'following_count': 14, 'tweet_count': 65, 'listed_count': 0}",,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,,False,Doug Simpson,,,DouggSim,,
