id,context_annotations,source,entities,author_id,lang,possibly_sensitive,text,conversation_id,created_at,public_metrics,reply_settings,attachments,referenced_tweets,in_reply_to_user_id,geo
1520741352560078848,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,,713138811887357954,en,False,"Wordle 316 4/6

⬛⬛⬛🟨⬛
⬛⬛⬛🟨⬛
🟨🟩⬛🟩⬛
🟩🟩🟩🟩🟩",1520741352560078848,2022-05-01T12:26:07.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520741344129474560,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,"{'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/qR4hmf8J9q', 'expanded_url': 'https://twitter.com/fifehateme/status/1520741344129474560/photo/1', 'display_url': 'pic.twitter.com/qR4hmf8J9q', 'media_key': '16_1520741332700090368'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'HasturTime', 'id': '7064252'}, {'start': 12, 'end': 24, 'username': 'PrimarchKaz', 'id': '915601269376548869'}]}",2831994414,en,False,"@HasturTime @PrimarchKaz Wordle 316 5/6

⬜⬜🟩⬜⬜
⬜⬜🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩 https://t.co/qR4hmf8J9q",1491312900560269315,2022-05-01T12:26:05.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",everyone,{'media_keys': ['16_1520741332700090368']},"[{'type': 'replied_to', 'id': '1520527029594165250'}]",7064252,
1520741342518915074,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Tweetbot for iΟS,,34026258,en,False,"Wordle 316 6/6*

⬛🟩⬛🟨🟨
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛🟨
🟩🟩🟩🟩🟩",1520741342518915074,2022-05-01T12:26:04.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520741336252653569,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,,131652784,en,False,"Wordle 316 3/6

⬛⬛⬛⬛🟩
⬛⬛🟩⬛🟩
🟩🟩🟩🟩🟩",1520741336252653569,2022-05-01T12:26:03.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520741334319042562,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,,173921035,en,False,"Wordle 316 6/6

⬜🟩⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩

Close one",1520741334319042562,2022-05-01T12:26:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520741332616200192,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,,580811463,en,False,"Wordle 316 5/6

🟨⬜🟨⬜⬜
⬜🟩🟨⬜⬜
🟨🟩⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",1520741332616200192,2022-05-01T12:26:02.000Z,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 4, 'quote_count': 0}",everyone,,,,
1520741330590343168,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,"{'mentions': [{'start': 0, 'end': 13, 'username': 'JHolmesLives', 'id': '1457389079834906625'}]}",1478525695265587205,en,False,"@JHolmesLives Tell me about it. Wordle 316 6/6

⬜🟨⬜⬜⬜
🟨⬜⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩🟨⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩",1520694835090542593,2022-05-01T12:26:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,"[{'type': 'replied_to', 'id': '1520694835090542593'}]",1457389079834906625,
1520741330380636167,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,,791336698038788096,en,False,"Wordle 316 6/6

⬜⬜⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",1520741330380636167,2022-05-01T12:26:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520741318967926784,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/TOns86RyJF', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",93166099,en,False,"Wordle (ES)  #115 5/6

⬜⬜⬜⬜🟨
🟨⬜⬜⬜🟩
⬜🟩⬜🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/TOns86RyJF",1520741318967926784,2022-05-01T12:25:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520741311749439488,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,"{'hashtags': [{'start': 0, 'end': 10, 'tag': 'Wordle316'}, {'start': 11, 'end': 18, 'tag': 'Wordle'}]}",814940137062858752,en,False,"#Wordle316 #Wordle 

Wordle 316 4/6

⬛⬛⬛⬛⬛
🟨🟩⬛⬛⬛
⬛🟩⬛🟨🟨
🟩🟩🟩🟩🟩",1520741311749439488,2022-05-01T12:25:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,,,,
1520741303369228288,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,,235330379,en,False,"Wordle 316 3/6

🟨⬛⬛🟩⬛
🟩🟨🟨🟩⬛
🟩🟩🟩🟩🟩",1520741303369228288,2022-05-01T12:25:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,,,,{'place_id': '8d742fb555fbff21'}
1520741295605657601,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,,1318503845446578178,en,False,"Wordle 316 4/6

⬜🟩⬜⬜⬜
⬜🟩🟩🟨⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩 ....",1520741295605657601,2022-05-01T12:25:53.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
1520741292153655298,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,,19211695,en,False,"Damn! Wordle 316 X/6

⬛⬛⬛🟨⬛
⬛⬛🟨🟨⬛
⬛🟨🟨⬛⬛
⬛🟩⬛🟨⬛
🟨🟩⬛⬛⬛
🟩🟩⬛🟩⬛",1520741292153655298,2022-05-01T12:25:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,,,,
1520741287598690304,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,,1481677935698448386,en,False,"Wordle 316 4/6

⬛⬛⬛⬛🟩
⬛⬛⬛⬛🟨
⬛⬛⬛⬛🟩
🟩🟩🟩🟩🟩",1520741287598690304,2022-05-01T12:25:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,,,,
1520741286948614145,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,"{'mentions': [{'start': 3, 'end': 19, 'username': 'StephenAtRandom', 'id': '1470852371555266572'}, {'start': 46, 'end': 55, 'username': 'albolt76', 'id': '1160130818678972416'}], 'hashtags': [{'start': 21, 'end': 28, 'tag': 'Wordle'}]}",1160130818678972416,nl,False,"RT @StephenAtRandom: #Wordle 316 5/6

Pfft! 🤨 @albolt76

⬜⬜⬜⬜⬜
⬜🟨🟨🟨⬜
🟨🟩⬜🟨⬜
⬜🟩⬜🟨⬜
🟩🟩🟩🟩🟩",1520741286948614145,2022-05-01T12:25:51.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,"[{'type': 'retweeted', 'id': '1520741054022041601'}]",,
1520741281743335424,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,,524550033,en,False,"Wordle 316 4/6

⬛⬛⬛⬛⬛
⬛🟩⬛⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩🟩🟩",1520741281743335424,2022-05-01T12:25:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,
