id,name,public_metrics,url,description,profile_image_url,location,protected,username,verified,entities,pinned_tweet_id
3729228675.0,Shrikaanth K Murthy,"{'followers_count': 2254, 'following_count': 429, 'tweet_count': 40906, 'listed_count': 21}",,"Into karNATaka music, other music, poetry, literature, linguistics, mental health. Write, compose in several langs- sankēti, kannaDa, tamiZ, English, samskrta…",https://pbs.twimg.com/profile_images/1515772887931789329/9ZIMz6Ia_normal.jpg,,False,ShrikaanthK,False,,1.504955297361711e+18
1.3806180862907638e+18,🇺🇦WarriorAnja🇺🇦,"{'followers_count': 66, 'following_count': 242, 'tweet_count': 870, 'listed_count': 2}",,"🍄

second accounts: @warriorpriv @warriorfanart",https://pbs.twimg.com/profile_images/1483544103988174848/QeqaTzF5_normal.jpg,she/her,False,WarriorAnja,False,"{'description': {'mentions': [{'start': 20, 'end': 32, 'username': 'warriorpriv'}, {'start': 33, 'end': 47, 'username': 'warriorfanart'}]}}",
75498103.0,Aniket Shah,"{'followers_count': 3948, 'following_count': 710, 'tweet_count': 102287, 'listed_count': 0}",,Interest in Politics ||Support #BJP II #NaMo fan || #FitnessFreak || RT's are not endorsements || Insta - 77aniks,https://pbs.twimg.com/profile_images/1517166677360005120/TWf2Xm6U_normal.jpg,Mumbai,False,_Aniket,False,"{'description': {'hashtags': [{'start': 31, 'end': 35, 'tag': 'BJP'}, {'start': 39, 'end': 44, 'tag': 'NaMo'}, {'start': 52, 'end': 65, 'tag': 'FitnessFreak'}]}}",
1.0131893077108941e+18,Kerry Tuena 💧,"{'followers_count': 238, 'following_count': 396, 'tweet_count': 6259, 'listed_count': 0}",,Retired teacher / educator and grandmother of 8. Want a healthy environment and future for all our grandchildren without this corrupt LNP government.,https://pbs.twimg.com/profile_images/1304200181592870913/99xPkMOF_normal.jpg,"Kialla West, Victoria",False,KTuena,False,,
7.194943454773617e+17,acolyte of the flesh (cronenberg edition),"{'followers_count': 153, 'following_count': 765, 'tweet_count': 16374, 'listed_count': 1}",https://t.co/owNNoehlyw,shawn // 29 // queer // fanfic author // dvd collector // moth dad // king of possums // QueerHorrorDad on Letterboxd // 💝: @Hemradge,https://pbs.twimg.com/profile_images/901586710433329152/03zk-e7S_normal.jpg,He/They 🏳️‍⚧️,False,tinydadman,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/owNNoehlyw', 'expanded_url': 'http://thequeerestdad.tumblr.com', 'display_url': 'thequeerestdad.tumblr.com'}]}, 'description': {'mentions': [{'start': 124, 'end': 133, 'username': 'Hemradge'}]}}",1.4581046606828052e+18
9.200977436740321e+17,wakanda4ever xclsr 🐳 (Kaleidoscope sanity engine),"{'followers_count': 90, 'following_count': 1392, 'tweet_count': 12758, 'listed_count': 1}",https://t.co/ZveVyVflJt,ever upward and onward to greater glory,https://pbs.twimg.com/profile_images/1322833589667581953/-mxvlhTG_normal.jpg,177A Bleecker St,False,fromaforest,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZveVyVflJt', 'expanded_url': 'https://youtu.be/7-Cl-o4NCK0', 'display_url': 'youtu.be/7-Cl-o4NCK0'}]}}",1.2807840873142026e+18
246499166.0,Stuart Garry,"{'followers_count': 1087, 'following_count': 2171, 'tweet_count': 10991, 'listed_count': 11}",,"40s, left leaning canary. Hates this government. Brexit is bad. Loves his Garry clan. Enjoys stuff",https://pbs.twimg.com/profile_images/1495331387863351297/B5bNmaso_normal.jpg,Norwich,False,GFunkYellow,False,,
1.0840083480376279e+18,Caravanions,"{'followers_count': 1085, 'following_count': 466, 'tweet_count': 4060, 'listed_count': 10}",,"Spending time on smaller caravan sites such as CL's or CS's, ex military and supporter of our Veterans

Follow our journey

Fred",https://pbs.twimg.com/profile_images/1098225580393316353/-dUw0S_p_normal.jpg,Hampshire,False,caravanions,False,,
30487358.0,Gerald Ruschka,"{'followers_count': 95, 'following_count': 166, 'tweet_count': 4183, 'listed_count': 0}",,"Achtung! NICHT NETT, GAR NICHT NETT!",https://pbs.twimg.com/profile_images/1518237395405180928/WcPNDIw2_normal.jpg,,False,gruschka,False,,
411369849.0,新,"{'followers_count': 230, 'following_count': 237, 'tweet_count': 121304, 'listed_count': 26}",https://t.co/XoalW0Udiy,ゲームと小説、たまにMMDと絵 // 20↑なので日本酒とビールとコーヒーが燃料 // FGOグラブル刀剣CoCインセイン // Skeb、TRPG関連の活動は@songofBKbirdで,https://pbs.twimg.com/profile_images/1507323263181279232/9mPYL_eM_normal.jpg,伊達藩,False,ara_neige,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/XoalW0Udiy', 'expanded_url': 'https://blackbird319.wixsite.com/opera', 'display_url': 'blackbird319.wixsite.com/opera'}]}, 'description': {'mentions': [{'start': 80, 'end': 93, 'username': 'songofBKbird'}]}}",1.4823425516174213e+18
