id,source,lang,reply_settings,context_annotations,conversation_id,referenced_tweets,text,in_reply_to_user_id,author_id,possibly_sensitive,created_at,public_metrics,entities,geo,attachments
1521132406450892802,Twitter for Android,en,everyone,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '950394966307586048', 'name': 'Jake Tapper', 'description': 'Jake Tapper'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '94', 'name': 'Journalist', 'description': ""A journalist like 'Anderson Cooper'""}, 'entity': {'id': '950394966307586048', 'name': 'Jake Tapper', 'description': 'Jake Tapper'}}]",1521128168102445057,"[{'type': 'replied_to', 'id': '1521128168102445057'}]","@jaketapper Wordle 317 3/6

🟩⬜⬜⬜⬜
⬜🟨⬜⬜🟨
🟩🟩🟩🟩🟩",14529929,1332175866,False,2022-05-02T14:20:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 0, 'end': 11, 'username': 'jaketapper', 'id': '14529929'}]}",,
1521132405276483585,Twitter for Android,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521132405276483585,,"Yeah
Wordle (ES)  #116 3/6

🟨⬜⬜⬜⬜
⬜🟩⬜🟩🟨
🟩🟩🟩🟩🟩
 https://t.co/HW6zIqimwm",,1938768529,False,2022-05-02T14:20:01.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/HW6zIqimwm', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,
1521132396967432192,Twitter for iPhone,ja,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521132396967432192,,"Wordle 317 3/6

🟩⬜⬜⬜⬜
🟩⬜⬜⬜🟨
🟩🟩🟩🟩🟩

簡単",,1422211306921226240,False,2022-05-02T14:19:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,
1521132394320994306,Twitter for iPhone,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521132394320994306,,"Wordle 317 4/6

🟨🟨⬛🟨⬛
🟨🟨🟩⬛⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩🟩",,365982507,False,2022-05-02T14:19:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,,
1521132387354427393,Twitter for Android,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521132387354427393,"[{'type': 'retweeted', 'id': '1520782539442511873'}]","RT @bluesanctuary1: Wordle 316 6/6 😳🤦‍♀️

⬜🟩⬜⬜⬜
⬜🟩🟨🟨⬜
🟨🟩⬜🟨⬜
⬜🟩⬜🟨🟨
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩",,1357209174736687104,False,2022-05-02T14:19:57.000Z,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'mentions': [{'start': 3, 'end': 18, 'username': 'bluesanctuary1', 'id': '729317578766749696'}]}",,
1521132385764581376,Twitter for iPhone,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521132385764581376,,"Wordle 317 4/6

🟨⬜⬜⬜🟨
⬜⬜🟨🟨🟩
🟩⬜⬜🟩🟩
🟩🟩🟩🟩🟩",,83272702,False,2022-05-02T14:19:56.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,
1521132381586878464,Twitter for iPhone,ja,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521132381586878464,,"ひぇーんもったいないー
Wordle 317 4/6

⬛🟨⬛🟨⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",,349428652,False,2022-05-02T14:19:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,
1521132381327003648,Twitter for iPhone,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521132381327003648,,"Wordle 317 6/6

READ IT TO ME!

⬛🟨⬛🟨⬛
🟨🟨🟩⬛⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",,26761409,False,2022-05-02T14:19:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,,
1521132368794247168,Twitter for Android,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521132368794247168,,"So goddam pissed off about my 3rd and 4th guesses! That damn first letter!

Wordle 318 5/6

⬛🟩⬛⬛🟨
🟨🟩⬛⬛🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",,19107306,False,2022-05-02T14:19:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,,
1521132366005157894,Twitter for Android,en,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1521132366005157894,,"Wordle (ES)  #116 5/6

🟩🟨⬛⬛⬛
🟩⬛🟨⬛🟨
🟩🟩⬛🟩⬛
🟩🟩⬛🟩⬛
🟩🟩🟩🟩🟩
 https://t.co/moNQcontlM",,2161877939,False,2022-05-02T14:19:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/moNQcontlM', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",{'place_id': '3f5102bbac88f700'},
