id,created_at,reply_settings,conversation_id,possibly_sensitive,text,entities,source,public_metrics,context_annotations,author_id,lang,referenced_tweets,in_reply_to_user_id,geo,attachments
1521808186327678981,2022-05-04T11:05:20.000Z,everyone,1521808186327678981,False,"Wordle Científico #52 6/6

🟨⬜⬜⬜🟩
⬜🟨⬜⬜🟩
⬜🟩🟨⬜🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/vDEyjTF0bz","{'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/vDEyjTF0bz', 'expanded_url': 'https://wordle.danielfrg.com/ciencia/index.html', 'display_url': 'wordle.danielfrg.com/ciencia/index.…'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1465661110103818244,es,,,,
1521808176873713664,2022-05-04T11:05:17.000Z,everyone,1482645493293461514,False,"@dewordle Le Mot (@WordleFR) #115 4/6

⬛⬛⬛🟨⬛
⬛🟩⬛⬛⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩

https://t.co/Z18yFNuKmj","{'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/Z18yFNuKmj', 'expanded_url': 'https://wordle.louan.me', 'display_url': 'wordle.louan.me'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'dewordle', 'id': '1482411529152741376'}, {'start': 18, 'end': 27, 'username': 'WordleFR', 'id': '1480029602105995267'}]}",Twitter Web App,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",205859593,fr,"[{'type': 'replied_to', 'id': '1521807899521167361'}]",205859593,,
1521808175917371394,2022-05-04T11:05:17.000Z,everyone,1521806512016003072,False,"@CaseyMattox_ Wordle 319 3/6

⬛🟨⬛⬛🟨
🟨🟨⬛🟩⬛
🟩🟩🟩🟩🟩","{'mentions': [{'start': 0, 'end': 13, 'username': 'CaseyMattox_', 'id': '461759120'}]}",Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",214952528,en,"[{'type': 'replied_to', 'id': '1521806512016003072'}]",461759120,,
1521808175665659909,2022-05-04T11:05:17.000Z,everyone,1521808175665659909,False,"Wordle 319 4/6

⬜⬜⬜🟨🟨
🟩⬜🟩🟨⬜
🟩⬜🟩🟩🟩
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",324383290,en,,,,
1521808174147260416,2022-05-04T11:05:17.000Z,everyone,1521808174147260416,False,"Wordle 319 2/6

⬛🟩⬛🟨⬛                                         Good start to the day
🟩🟩🟩🟩🟩",,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",3247402315,en,,,,
1521808171328622592,2022-05-04T11:05:16.000Z,everyone,1521808171328622592,True,"Wordle (ES)  #118 6/6

🟨⬜⬜⬜⬜
⬜🟨🟨⬜🟩
⬜🟩⬜⬜🟩
⬜🟩🟨⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/iab9YIchHi","{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/iab9YIchHi', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1092823260453134336,en,,,,
1521808170846457856,2022-05-04T11:05:16.000Z,everyone,1521808170846457856,False,"Wordle Türkçe 319 5/6

⬜⬜🟨⬜⬜
🟨🟨⬜⬜⬜
⬜🟨⬜⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩

https://t.co/WPnPKWPiey","{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/WPnPKWPiey', 'expanded_url': 'https://www.bundle.app/wordle-tr/', 'display_url': 'bundle.app/wordle-tr/'}]}",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",378512744,tr,,,,
1521808154572595200,2022-05-04T11:05:12.000Z,everyone,1483853556100874248,False,"Wordle 318 5/6

⬛⬛🟨🟩⬛
🟨⬛⬛🟩⬛
⬛🟨🟨🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",37197394,en,"[{'type': 'replied_to', 'id': '1521114104420868102'}]",37197394,,
1521808150239850496,2022-05-04T11:05:11.000Z,everyone,1521808150239850496,False,"Attempted my first wordle today!
Wordle 319 2/6

⬛⬛⬛⬛🟩
🟩🟩🟩🟩🟩",,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1423317848198369288,en,,,,
1521808143956725760,2022-05-04T11:05:10.000Z,everyone,1521806538469425152,False,"Wordle 319 4/6

🟨⬛🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2995701014,en,"[{'type': 'replied_to', 'id': '1521808070971699202'}]",2995701014,{'place_id': '06168d1feda43857'},
