id,created_at,source,possibly_sensitive,lang,public_metrics,text,conversation_id,reply_settings,author_id,context_annotations,entities,geo,in_reply_to_user_id,referenced_tweets,attachments
1520235221190275072,2022-04-30T02:54:55.000Z,Twitter for iPhone,False,ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 315 6/6

⬛🟩⬛⬛⬛
🟨🟩⬛⬛⬛
⬛🟩⬛🟨⬛
⬛🟩🟨⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩

きびしか 最後はほぼ総当たり",1520235221190275072,everyone,2889621636,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235219911069697,2022-04-30T02:54:55.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","Wordle 314 2/6

⬛🟩⬛⬛🟨
🟩🟩🟩🟩🟩",1520235219911069697,everyone,596017394,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235209601728512,2022-04-30T02:54:53.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 315 6/6

⬜⬜⬜⬜⬜
⬜🟨🟨⬜⬜
🟩⬜⬜⬜⬜
⬜⬜⬜⬜🟨
🟩🟩⬜🟨🟩
🟩🟩🟩🟩🟩",1520235209601728512,everyone,4365921018,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235198901891074,2022-04-30T02:54:50.000Z,Twitter Web App,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 314 3/6

🟨⬛⬛⬛⬛
⬛🟩⬛🟩⬛
🟩🟩🟩🟩🟩",1520235198901891074,everyone,3155081201,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235175547838464,2022-04-30T02:54:45.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 315 6/6

⬜🟨⬜⬜⬜
🟩⬜⬜⬜⬜
🟩⬜🟨⬜⬜
🟩🟩⬜⬜🟨
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",1520235175547838464,everyone,448903601,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235166882738176,2022-04-30T02:54:43.000Z,Twitter Web App,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 315 4/6

🟨⬜⬜⬜⬜
⬜⬜🟨⬜⬜
⬜🟩⬜🟨🟨
🟩🟩🟩🟩🟩",1520235166882738176,everyone,3031852397,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520235161203314688,2022-04-30T02:54:41.000Z,Twitter for iPhone,True,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES)  #113 6/6

⬜⬜⬜⬜⬜
⬜🟨⬜⬜⬜
🟨⬜🟨🟨⬜
🟨🟨🟨⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/vssaxuor3R",1520235161203314688,everyone,1305229731823005698,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/vssaxuor3R', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1520235156157607936,2022-04-30T02:54:40.000Z,Twitter for iPhone,False,ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","ポケモンWordle 9/10

⬛🟨⬛⬛⬛  ⬛🟨⬛⬛⬛
⬛⬛⬛⬛🟨  ⬛⬛⬛⬛⬛
⬛⬛⬛🟩🟨  ⬛⬛🟨⬛⬛
⬛⬛⬛🟨⬛  🟩🟩🟩🟩🟩
⬛⬛⬛⬛⬛

あぶねー
https://t.co/bhBVBrzjPe
 #ポケモンWordle",1520235156157607936,everyone,1218196210193846272,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]","{'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/bhBVBrzjPe', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}], 'hashtags': [{'start': 106, 'end': 117, 'tag': 'ポケモンWordle'}]}",,,,
1520235154979291140,2022-04-30T02:54:40.000Z,Twitter for iPhone,False,ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Kotobade Asobou 言葉で遊ぼう 97 4/12?
https://t.co/iXM6tDmbtH
⬜⬜↔️⬜
⬜⬜🟩⬜
⬜⬜🟩↕️
🟩🟩🟩🟩

日本語のWordle（ローマ字）
#108
6/6
https://t.co/7MxlLA2LfT
⬜ ⬜ ⬜ ⬜ 🟩
⬜ ⬜ ⬜ ⬜ 🟩
⬜ ⬜ ⬜ ⬜ 🟩
⬜ 🟥 🟩 ⬜ 🟩
🟩 ⬜ ⬜ 🟥 🟩
🟩 🟩 🟩 🟩 🟩",1520235154979291140,everyone,1125330818551828480,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 32, 'end': 55, 'url': 'https://t.co/iXM6tDmbtH', 'expanded_url': 'https://taximanli.github.io/kotobade-asobou', 'display_url': 'taximanli.github.io/kotobade-asobou'}, {'start': 105, 'end': 128, 'url': 'https://t.co/7MxlLA2LfT', 'expanded_url': 'https://wordle-jp.netlify.app/', 'display_url': 'wordle-jp.netlify.app'}]}",,,,
1520235133130842112,2022-04-30T02:54:34.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 315 6/6

🟨⬜⬜⬜⬜
⬜🟨🟨⬜🟨
🟩⬜🟨🟨⬜
🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",1520235133130842112,everyone,399436618,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
