id,text,author_id,source,possibly_sensitive,context_annotations,lang,created_at,conversation_id,public_metrics,reply_settings,in_reply_to_user_id,entities,referenced_tweets,geo,attachments
1521856458694041602,"Wordle 319 5/6

⬛🟩⬛🟨🟨
🟩🟩⬛🟨⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",800053919640653824,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T14:17:09.000Z,1521856458694041602,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521856451160981504,"Wordle 319 4/6

⬛⬛🟩⬛🟨
🟩🟩🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",516035676,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T14:17:07.000Z,1521856451160981504,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521856432219598848,"Wordle 319 5/6

⬜⬜🟩⬜⬜
⬜🟨🟨🟨⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩booooo",892909731794358273,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T14:17:02.000Z,1521856432219598848,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",everyone,,,,,
1521856431967784962,"@MclaytonA Wordle 319 3/6

⬛🟨🟨🟩⬛
🟨🟨⬛🟩⬛
🟩🟩🟩🟩🟩",1072698135628017664,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T14:17:02.000Z,1521841307265552384,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,2206538876,"{'mentions': [{'start': 0, 'end': 10, 'username': 'MclaytonA', 'id': '2206538876'}]}","[{'type': 'replied_to', 'id': '1521841307265552384'}]",,
1521856430692876290,"Wordle 319 5/6

🟨⬛⬛🟩⬛
⬛⬛🟩🟩🟩
⬛⬛🟩🟨⬛
🟨🟨⬛🟩⬛
🟩🟩🟩🟩🟩",1220367204660776960,Twitter Web App,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T14:17:02.000Z,1521856430692876290,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521856427324846080,"Hoy regular 🤔 Wordle (ES)  #118 6/6

⬜⬜🟨🟩🟩
⬜🟩⬜🟩🟩
⬜🟩🟨🟩🟩
🟩🟩⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/aIZ7yz8b7h",2203155447,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T14:17:01.000Z,1521856427324846080,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,"{'urls': [{'start': 74, 'end': 97, 'url': 'https://t.co/aIZ7yz8b7h', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,
1521856405300719616,"Wordle 319 3/6

🟨⬜🟩⬜⬜
⬜⬜🟨🟨🟨
🟩🟩🟩🟩🟩",1289189127078912000,Twitter for iPhone,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T14:16:56.000Z,1521856405300719616,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521856405258579969,"Wordle 319 3/6

🟨⬜⬜🟩⬜
⬜🟨🟩🟩🟩
🟩🟩🟩🟩🟩",1431979346017804292,Twitter Web App,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T14:16:56.000Z,1521856405258579969,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521856403182428161,"Wordle 319 2/6*
BALLER BALLER BALLER BALLER

🟩⬜⬜🟩🟨
🟩🟩🟩🟩🟩",1315335961233027072,Twitter Web App,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",no,2022-05-04T14:16:55.000Z,1521856403182428161,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0}",everyone,,,,,
1521856397511905280,"Wordle 319 4/6

⬜🟨⬜⬜🟨
🟩⬜🟨🟨⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",2172235086,Twitter for Android,False,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-04T14:16:54.000Z,1521856397511905280,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
