id,verified,description,protected,url,public_metrics,entities,location,profile_image_url,pinned_tweet_id,name,username
32962459.0,False,'We'll never know our full potential until we push ourselves to find it.' -@travrice,False,https://t.co/jQkMcjEXKY,"{'followers_count': 135, 'following_count': 248, 'tweet_count': 3874, 'listed_count': 1}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jQkMcjEXKY', 'expanded_url': 'http://facebook.com/mashdpotatos', 'display_url': 'facebook.com/mashdpotatos'}]}, 'description': {'mentions': [{'start': 75, 'end': 84, 'username': 'travrice'}]}}",Massachusetts ,https://pbs.twimg.com/profile_images/1206744560011030530/GFCicStB_normal.jpg,1.392226116501336e+18,Lindsey Marabello,mashdpotatos
292900197.0,False,ケニーです。最近はFGO民。FF14のウマッテ 踊ってみてた/大道芸/演劇/beatbox/イラストetc,False,https://t.co/lpSblTJgsC,"{'followers_count': 1240, 'following_count': 990, 'tweet_count': 38901, 'listed_count': 40}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/lpSblTJgsC', 'expanded_url': 'http://www.nicovideo.jp/mylist/7427988', 'display_url': 'nicovideo.jp/mylist/7427988'}]}}",gifu,https://pbs.twimg.com/profile_images/1203020217443446784/gvHIOu3T_normal.jpg,9.329564653666714e+17,ケニー,KeNyeeee
7.539053559066255e+17,False,yer average gago | 60% water 10% caffeine | https://t.co/LZyiMFdfRZ,False,,"{'followers_count': 292, 'following_count': 1129, 'tweet_count': 1527, 'listed_count': 0}","{'description': {'urls': [{'start': 44, 'end': 67, 'url': 'https://t.co/LZyiMFdfRZ', 'expanded_url': 'http://letterboxd.com/Kur0n3k0', 'display_url': 'letterboxd.com/Kur0n3k0'}]}}",Dunder Mifflin Paper Company,https://pbs.twimg.com/profile_images/1514177006023626756/u7gE1X_0_normal.jpg,,🗝ko ♉️,fglmedalya
249996070.0,False,"ただのオタク。
pixiv：2898534（主に告知用）
ポイピク：107134（らくがき用）
※現在漫画制作のご依頼はお断りしております※",False,https://t.co/ndL6yPEjjr,"{'followers_count': 60, 'following_count': 149, 'tweet_count': 10454, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ndL6yPEjjr', 'expanded_url': 'http://knkyi.web.fc2.com/', 'display_url': 'knkyi.web.fc2.com'}]}}",神奈川,https://pbs.twimg.com/profile_images/875963339083350016/x98PuiXF_normal.jpg,1.4950176154958643e+18,💉か💉ねこ💉,nk_knk
1414706894.0,False,Chartered Accountant. Dreamer. Cricket & Manchester United follower.,False,,"{'followers_count': 102, 'following_count': 364, 'tweet_count': 829, 'listed_count': 1}",,Mumbai,https://pbs.twimg.com/profile_images/1444639977296392198/txppMFsw_normal.jpg,,Chinmay Shah,chinrshah
2956780274.0,False,しはだよ 雑多垢！ジャンル変異が激しい / WJ本誌他ネタバレ配慮しないよ自衛してね / お別れはブロ解で✋ / 同僚リストツイフィ内あります / 患者三人衆,False,https://t.co/8nTORut8SG,"{'followers_count': 657, 'following_count': 505, 'tweet_count': 94226, 'listed_count': 43}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8nTORut8SG', 'expanded_url': 'https://twpf.jp/sh_425', 'display_url': 'twpf.jp/sh_425'}]}}",壊胎/傀逅霊園,https://pbs.twimg.com/profile_images/1475687409795104768/qygTjeKj_normal.png,,しは,sh_425
1.427896197214212e+18,False,Just a small voice.,False,,"{'followers_count': 38, 'following_count': 154, 'tweet_count': 538, 'listed_count': 0}",,,https://pbs.twimg.com/profile_images/1439159152245239813/D1hyT0Eu_normal.jpg,,SVFAV,SVFAV1
2588235482.0,False,"Vivir en un libro.                                                                          
ig: renoborb   /   pixbyreno",False,https://t.co/lq4KUKb4SF,"{'followers_count': 93, 'following_count': 420, 'tweet_count': 917, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/lq4KUKb4SF', 'expanded_url': 'https://www.goodreads.com/srbooks', 'display_url': 'goodreads.com/srbooks'}]}}",,https://pbs.twimg.com/profile_images/1476347632838746114/X6zscMni_normal.jpg,1.0322523588840448e+18,Sr.Bo,RenoBorb
20057042.0,False,,False,,"{'followers_count': 12, 'following_count': 59, 'tweet_count': 723, 'listed_count': 0}",,leicester,https://pbs.twimg.com/profile_images/752475425830567936/85LsISxW_normal.jpg,,sharynn mackay,shazmac
124309063.0,False,"Public Digital Librarian. Don't join dangerous cults. Practice safe sects.
He/Him/His",False,http://t.co/CSAYC31VXB,"{'followers_count': 1884, 'following_count': 2106, 'tweet_count': 62055, 'listed_count': 158}","{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/CSAYC31VXB', 'expanded_url': 'http://frankskornia.com', 'display_url': 'frankskornia.com'}]}}","Arrakis, Dune, Desert Planet",https://pbs.twimg.com/profile_images/1241043481583398914/8gLiyi3q_normal.png,,Frank Skornia,FSkornia
