id,possibly_sensitive,public_metrics,context_annotations,lang,created_at,text,source,conversation_id,reply_settings,author_id,referenced_tweets,in_reply_to_user_id,entities,geo,attachments
1521640084537180160,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-03T23:57:21.000Z,"Wordle 319 2/6

🟨⬛⬛🟩⬛
🟩🟩🟩🟩🟩

LMAO",Twitter for Android,1521640084537180160,everyone,1370816707602702338,,,,,
1521640071069573120,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-03T23:57:18.000Z,"Katla 104 4/6
⬜️⬜️⬜️🟨🟨
🟩🟨⬜️🟩⬜️
🟩⬜️🟩🟩🟩
🟩🟩🟩🟩🟩

Wordle 319 5/6
⬛⬛🟩🟨⬛
⬛⬛🟩🟩🟨
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for Android,1521640071069573120,everyone,379840909,,,,,
1521640049334489088,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-03T23:57:13.000Z,"Wordle 319 3/6

⬜⬜🟩⬜🟨
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",Twitter for iPad,1521640049334489088,everyone,93067053,,,,,
1521640014324674560,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-03T23:57:04.000Z,"Wordle 318 5/6

⬛⬛🟨🟩⬛
🟨⬛⬛⬛🟨
⬛⬛⬛🟩🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,1521640014324674560,everyone,552079740,,,,,
1521640012990849026,False,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",fr,2022-05-03T23:57:04.000Z,"Le Mot (@WordleFR) #115 💀/6

⬛⬛⬛⬛⬛
⬛⬛⬛🟨🟩
⬛🟩⬛⬛🟩
⬛🟩🟨⬛🟩
🟩🟩⬛⬛🟩
🟩🟩⬛⬛🟩

https://t.co/ybLDPlYmdN

💀💀💀💀💀💀💀💀💀",Twitter for Android,1504794619527286786,everyone,2751766370,"[{'type': 'replied_to', 'id': '1521638367410204683'}]",2751766370,"{'urls': [{'start': 66, 'end': 89, 'url': 'https://t.co/ybLDPlYmdN', 'expanded_url': 'https://wordle.louan.me', 'display_url': 'wordle.louan.me'}], 'mentions': [{'start': 8, 'end': 17, 'username': 'WordleFR', 'id': '1480029602105995267'}]}",,
1521640012588195840,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-03T23:57:04.000Z,"Wordle 318 6/6

⬜🟨🟨⬜⬜
⬜🟩🟨⬜🟩
🟨🟩⬜⬜🟩
⬜⬜🟨🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,1521640012588195840,everyone,556390609,,,,,
1521640008158875649,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",ja,2022-05-03T23:57:03.000Z,"Magnificentって言われた😆
Wordle 319 2/6

🟨⬜⬜🟩⬜
🟩🟩🟩🟩🟩",Twitter for Android,1521640008158875649,everyone,1102540241364119552,,,,,
1521639984016539649,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-03T23:56:57.000Z,"Wordle 318 4/6

⬛⬛⬛🟩⬛
🟨⬛⬛🟨⬛
⬛🟨⬛⬛🟨
🟩🟩🟩🟩🟩",Twitter for iPhone,1521639984016539649,everyone,822706978237677570,,,,,
1521639982905110529,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-03T23:56:57.000Z,"Wordle 319 4/6

🟨🟨🟨⬜⬜
🟩⬜⬜⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",Twitter for iPhone,1521639982905110529,everyone,34911430,,,,,
1521639977632681984,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-03T23:56:56.000Z,"Wordle 319 4/6

⬛⬛🟩⬛⬛
⬛⬛🟨🟨⬛
⬛🟨🟩🟨🟨
🟩🟩🟩🟩🟩",Twitter for iPhone,1521639977632681984,everyone,109620496,,,,,
