id,possibly_sensitive,public_metrics,context_annotations,lang,created_at,text,source,conversation_id,reply_settings,entities,author_id,attachments,referenced_tweets,in_reply_to_user_id,geo
1520795585279709185,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",ja,2022-05-01T16:01:37.000Z,"Wordle 317 3/6*

⬛⬛🟨⬛⬛
🟩⬛⬛🟨🟩
🟩🟩🟩🟩🟩 久々の3手",Twitter for iPhone,1520795585279709185,everyone,,446278061,,,,
1520795581748195329,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",es,2022-05-01T16:01:36.000Z,"Wordle Científico #49 4/6

⬜🟨⬜⬜⬜⬜🟨
⬜🟨🟨⬜🟨🟨⬜
🟩⬜🟩⬜⬜🟩⬜
🟩🟩🟩🟩🟩🟩🟩",Twitter for iPhone,1520795581748195329,everyone,,47195651,,,,
1520795581274529792,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:36.000Z,"Wordle 317 4/6

⬜🟨🟨⬜⬜
⬜⬜⬜⬜🟨
🟩⬜⬜⬜🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,1520795581274529792,everyone,,1439851263403823104,,,,
1520795574861246466,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:34.000Z,"Wordle 316 5/6

⬜⬜🟩⬜⬜
⬜⬜🟨🟨⬜
⬜🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",Twitter for Android,1520795574861246466,everyone,,18268217,,,,
1520795574441627648,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:34.000Z,"So random. 

Wordle 316 4/6

⬜⬜⬜⬜⬜
🟨🟨🟨⬜⬜
🟨🟩⬜🟩⬜
🟩🟩🟩🟩🟩",Twitter for iPad,1520795574441627648,everyone,,2193343664,,,,
1520795573619675141,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:34.000Z,"@UncleT62 @thevictorpuente @Jefflanderson @kristenontv @JimWKYT Wordle 316 6/6

⬜⬜⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩🟩⬜
🟩🟩🟩🟩🟩",Twitter for iPhone,1520746182770839552,everyone,"{'mentions': [{'start': 0, 'end': 9, 'username': 'UncleT62', 'id': '248836655'}, {'start': 10, 'end': 26, 'username': 'thevictorpuente', 'id': '81072019'}, {'start': 27, 'end': 41, 'username': 'Jefflanderson', 'id': '16809369'}, {'start': 42, 'end': 54, 'username': 'kristenontv', 'id': '154885463'}, {'start': 55, 'end': 63, 'username': 'JimWKYT', 'id': '19655789'}]}",172874796,,"[{'type': 'replied_to', 'id': '1520746182770839552'}]",248836655,
1520795568477331456,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:33.000Z,"Wordle 316 5/6

⬛⬛⬛⬛⬛
⬛🟨⬛⬛⬛
⬛🟩⬛⬛⬛
⬛🟩🟨⬛⬛
🟩🟩🟩🟩🟩",Twitter for Android,1520795568477331456,everyone,,1286772073226883072,,,,
1520795564488634368,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:32.000Z,"A wee bit tired of splendid...Wordle 316 4/6

⬜⬜🟨⬜⬜
⬜🟩⬜🟩⬜
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩",Twitter Web App,1520795564488634368,everyone,,16910133,,,,
1520795563729457152,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:32.000Z,"@LidaJames22 Oh i pissed myself on this one

Wordle 316 6/6*

⬛⬛🟨⬛⬛
⬛⬛🟨⬛⬛
🟨⬛⬛🟨⬛
⬛🟩🟩⬛🟩
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",Twitter for Android,1520794143743651840,everyone,"{'mentions': [{'start': 0, 'end': 12, 'username': 'LidaJames22', 'id': '2374210064'}]}",1284449432210006016,,"[{'type': 'replied_to', 'id': '1520794143743651840'}]",2374210064,
1520795562437713921,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",en,2022-05-01T16:01:31.000Z,"Wordle 316 5/6

⬛🟩⬛⬛⬛
🟩🟩⬛⬛⬛
🟩🟩⬛⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩😏",Twitter for iPhone,1520795562437713921,everyone,,23396023,,,,
