id,source,reply_settings,entities,conversation_id,text,lang,public_metrics,possibly_sensitive,referenced_tweets,author_id,context_annotations,created_at,geo,in_reply_to_user_id,attachments
1520940653458300928,Twitter for Android,everyone,"{'mentions': [{'start': 3, 'end': 12, 'username': 'artizzzz', 'id': '31090218'}]}",1520940653458300928,"RT @artizzzz: Wordle 317 3/6

⬛⬛⬛🟩🟩
⬛⬛🟩⬛🟨
🟩🟩🟩🟩🟩",en,"{'retweet_count': 35, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,"[{'type': 'retweeted', 'id': '1520928852523900928'}]",1487804249715412996,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T01:38:04.000Z,,,
1520940645153931264,Twitter Web App,everyone,"{'urls': [{'start': 69, 'end': 92, 'url': 'https://t.co/boopjOyv35', 'expanded_url': 'https://wordle.mega-yadoran.jp/', 'display_url': 'wordle.mega-yadoran.jp'}], 'hashtags': [{'start': 94, 'end': 105, 'tag': 'ポケモンWordle'}]}",1520940645153931264,"ポケモンWordle 8/10

⬛⬛⬛⬛⬛  ⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛  ⬛⬛⬛⬛🟨
⬛⬛⬛⬛⬛  🟩🟩🟩🟩🟩
⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛

https://t.co/boopjOyv35
 #ポケモンWordle",ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,,187922276,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}, {'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]",2022-05-02T01:38:02.000Z,,,
1520940631320776704,Twitter Web App,everyone,,1520940631320776704,"やったぁ。
Wordle 317 3/6

🟩⬛🟩⬛🟨
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",ja,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",False,,5660302,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T01:37:58.000Z,,,
1520940609963540482,Twitter for Android,everyone,,1520940609963540482,"Wordle 317 5/6

⬜⬜⬜⬜⬜
⬜🟨🟨🟨🟨
⬜⬜🟩⬜⬜
⬜⬜⬜⬜🟨
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,,107153074,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T01:37:53.000Z,,,
1520940595858264065,Twitter for Android,everyone,,1520940595858264065,"Wordle 317 5/6

⬜🟨⬜⬜⬜
⬜⬜⬜⬜🟨
⬜⬜🟨⬜⬜
🟩⬜🟩🟩🟨
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,,108305919,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T01:37:50.000Z,,,
1520940590586040320,Twitter for iPhone,everyone,,1520940590586040320,"Wordle 317 2/6

⬜⬜⬜⬜⬜
🟩🟩🟩🟩🟩

わお👏",ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,,113369568,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T01:37:49.000Z,,,
1520940571077996544,Twitter Web App,everyone,,1520940571077996544,"Wordle 317 4/6

⬜⬜🟩🟨🟨
🟨⬜🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,,976572160004128768,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T01:37:44.000Z,,,
1520940562966142976,Twitter for Android,everyone,,1520940562966142976,"I thought I was going to get it on the second one for a moment there! 😝

Wordle 317 3/6

🟩⬜⬜⬜🟨
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",False,,996923869607878657,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T01:37:42.000Z,,,
1520940562429497344,Twitter for iPhone,everyone,,1520940562429497344,"Wordle 316 3/6

⬛🟩⬛🟨⬛
⬛🟩🟩⬛🟨
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",False,,24829156,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T01:37:42.000Z,,,
1520940559782711296,Twitter for Android,everyone,,1520940559782711296,"Wordle 316 5/6

⬛⬛⬛⬛🟩
⬛⬛🟩⬛⬛
⬛⬛🟨⬛⬛
⬛⬛🟩🟩🟩
🟩🟩🟩🟩🟩",en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",False,,264491921,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2022-05-02T01:37:41.000Z,{'place_id': '52445186970bafb3'},,
