id,name,url,protected,pinned_tweet_id,profile_image_url,username,public_metrics,description,verified,location,entities
8.291263670065562e+17,Rosemary Ferreri,,False,,https://pbs.twimg.com/profile_images/1441470466196189184/uUTZ__U6_normal.jpg,RosemaryFerreri,"{'followers_count': 187, 'following_count': 817, 'tweet_count': 37663, 'listed_count': 1}",Retired Executive Film Producer and former Co- Owner of a commercial film company in the U.S. I’ve fought for women’s rights and human rights my entire life.,False,"St Petersburg, FL",
65798219.0,Sai Yamanoor,http://t.co/L9yCNQ26qf,False,,https://pbs.twimg.com/profile_images/656852649313046528/C_edi69o_normal.jpg,yamanoorsai,"{'followers_count': 260, 'following_count': 565, 'tweet_count': 2343, 'listed_count': 21}",Engineer who loves DIY culture,False,"Newark, CA","{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/L9yCNQ26qf', 'expanded_url': 'http://www.mechatronicscraze.wordpress.com', 'display_url': 'mechatronicscraze.wordpress.com'}]}}"
314700550.0,Mubina Rauf,,False,1.3264644921637847e+18,https://pbs.twimg.com/profile_images/897707207646728197/QFddDhau_normal.jpg,mubina7,"{'followers_count': 414, 'following_count': 898, 'tweet_count': 7591, 'listed_count': 0}",In three words I can sum up everything I know about life: it goes on. Frost,False,,
24625592.0,Paul J Stevens,,False,,https://pbs.twimg.com/profile_images/1078833192378028032/cie_j2hv_normal.jpg,pauljstevens,"{'followers_count': 121, 'following_count': 783, 'tweet_count': 154, 'listed_count': 4}","Husband/Father/Lawyer/Sports/Politics enthusiast: ""Embrace the pandemonium, find happiness in the unique insanity of being here, now.""",False,"Charlotte, NC",
9.78610504741544e+17,விடியலை தேடி...,,False,,https://pbs.twimg.com/profile_images/1431407376305778690/S54gDul__normal.jpg,gunasekar_tm,"{'followers_count': 400, 'following_count': 380, 'tweet_count': 8057, 'listed_count': 1}",Average IT guy,False,"South Borneo, Indonesia",
1.252825377111597e+18,nicole,https://t.co/pRobsUTRns,False,1.4050005728734208e+18,https://pbs.twimg.com/profile_images/1493001173619650560/7cqVCn7W_normal.jpg,iLOVGOJO,"{'followers_count': 403, 'following_count': 287, 'tweet_count': 40700, 'listed_count': 20}",yuuta ♡ | match w: @absentsatoru,False,ella | 19 | vnitass ⡱,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/pRobsUTRns', 'expanded_url': 'https://harry.xn--pdi', 'display_url': 'harry.❀'}]}, 'description': {'mentions': [{'start': 19, 'end': 32, 'username': 'absentsatoru'}]}}"
1.3128874144243098e+18,lyn is jays #1 supporter,https://t.co/fPEQ3ASVCW,False,1.514049698465788e+18,https://pbs.twimg.com/profile_images/1518345174870601729/js9bN7vc_normal.jpg,Iynlovesyou,"{'followers_count': 106, 'following_count': 169, 'tweet_count': 4034, 'listed_count': 2}",@Iynhatesyou // mitski tarot cards linked !!,False,they/them,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fPEQ3ASVCW', 'expanded_url': 'https://www.artpal.com/pearldiever', 'display_url': 'artpal.com/pearldiever'}]}, 'description': {'mentions': [{'start': 0, 'end': 12, 'username': 'Iynhatesyou'}]}}"
134154917.0,Becky Miller,,False,,https://pbs.twimg.com/profile_images/1479538906299346949/IpQ5jcVl_normal.jpg,asstprinmiller,"{'followers_count': 476, 'following_count': 446, 'tweet_count': 3857, 'listed_count': 48}","child of God, retired educator, lifelong learner, proud union member #aft and grandmother of 5",False,"Leitchfield, KY","{'description': {'hashtags': [{'start': 69, 'end': 73, 'tag': 'aft'}]}}"
109624974.0,Ann O'D,https://t.co/R2NATTTh5M,False,1.446754311590097e+18,https://pbs.twimg.com/profile_images/905401048566824960/yJq73c-L_normal.jpg,annodo2010,"{'followers_count': 182, 'following_count': 479, 'tweet_count': 10292, 'listed_count': 0}",,False,Devon UK,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/R2NATTTh5M', 'expanded_url': 'http://www.annsadventuresinpunchingland.blogspot.com/', 'display_url': '…adventuresinpunchingland.blogspot.com'}]}}"
832452116.0,Alex Becigneul,,False,1.249517079654355e+18,https://pbs.twimg.com/profile_images/1516072838851006464/KZIAQc1x_normal.jpg,mrbecigneul,"{'followers_count': 417, 'following_count': 236, 'tweet_count': 6033, 'listed_count': 14}","Father of two boys, Husband, Son, Brother, Coach, Referee, Gamer, Hockey Fan and High School Teacher, he/him.",False,Edmonton,
123068593.0,Gene Doucette is working on Sorrow Falls Book 3,https://t.co/oQTRzmTVVK,False,1.1569345215578685e+18,https://pbs.twimg.com/profile_images/2043087747/Image_normal.jpg,GeneDoucette,"{'followers_count': 1675, 'following_count': 1560, 'tweet_count': 48152, 'listed_count': 192}","Author of over 20 novels and short works, I'm also a screenwriter. Check out THE SPACESHIP NEXT DOOR and THE APOCALYPSE SEVEN. https://t.co/WhnNZgyLKR",False,Massachusetts,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/oQTRzmTVVK', 'expanded_url': 'http://genedoucette.me/', 'display_url': 'genedoucette.me'}]}, 'description': {'urls': [{'start': 127, 'end': 150, 'url': 'https://t.co/WhnNZgyLKR', 'expanded_url': 'http://patreon.com/GeneDoucette', 'display_url': 'patreon.com/GeneDoucette'}]}}"
1457846046.0,Cal,,False,8.976875326027858e+17,https://pbs.twimg.com/profile_images/1331660548883308545/D9AUl6xq_normal.jpg,Cal_Rob22,"{'followers_count': 316, 'following_count': 570, 'tweet_count': 9545, 'listed_count': 6}","Lover of life, indie books and films, music and sport. Supporter of Rob Pattinson well I'm allowed a guilty pleasure. NHS worker.",False,Birmingham,
165774375.0,Memengineer 🐸,,False,8.497403403367096e+17,https://pbs.twimg.com/profile_images/780521769463607300/crJfk9eX_normal.jpg,LoreBane_,"{'followers_count': 483, 'following_count': 298, 'tweet_count': 158016, 'listed_count': 15}","1D own my ass and I'm fucking proud of it
🖤🤍💜",False,,
1731785977.0,うまとんつー,,False,1.294626860928602e+18,https://pbs.twimg.com/profile_images/612936507255488513/FaV58_95_normal.jpg,osawamisao,"{'followers_count': 895, 'following_count': 472, 'tweet_count': 212833, 'listed_count': 45}",人工知能 U.M.T.T.,False,ｻｲｺﾝの中,
1.4489155437638083e+18,Kon🐰 @ARR Replay!,,False,1.4939001172622868e+18,https://pbs.twimg.com/profile_images/1448932467830771717/IyU5A1ZK_normal.jpg,chiisakon,"{'followers_count': 20, 'following_count': 33, 'tweet_count': 494, 'listed_count': 0}",《 Gaming twitter 》Pink plush rabbit that likes to game!! (ㅇㅅㅇυ) ♡ Currently: FFXIV,False,,
329486924.0,Tara Stillions Whitehead,https://t.co/UnrQnZ9cQX,False,1.4772610036291707e+18,https://pbs.twimg.com/profile_images/1208870024401870849/OeGMsiMy_normal.jpg,MrsWhitehouse74,"{'followers_count': 5156, 'following_count': 4291, 'tweet_count': 20820, 'listed_count': 26}",🎬 & 📚| THE YEAR OF THE MONSTER (@UnsolicitedP 2022) | BLOOD HISTORIES (Galileo Press 2021) | Filmmaker and Professor | @Wigleaf Top 50 ’21| she/her/hers,False,"Mechanicsburg, PA","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UnrQnZ9cQX', 'expanded_url': 'http://tarastillionswhitehead.net', 'display_url': 'tarastillionswhitehead.net'}]}, 'description': {'mentions': [{'start': 32, 'end': 45, 'username': 'UnsolicitedP'}, {'start': 119, 'end': 127, 'username': 'Wigleaf'}]}}"
2848596074.0,畜生@クマゴロウ&しとら,,False,,https://pbs.twimg.com/profile_images/1425045228323414020/OkFKLNsw_normal.jpg,tyairokedama,"{'followers_count': 223, 'following_count': 364, 'tweet_count': 35213, 'listed_count': 2}",PHキャラアカウントです。メタ割合過多です。株式会社トミーウォーカーのＰＢＷ『サイキックハーツ』用のイラストとして、PLが作成を依頼したものです 使用イラストの使用権はPLに、著作権は各絵師様に、全ての権利は株式会社トミーウォーカーが所有します。,False,,
160588940.0,Hussain Gilani,,False,,https://pbs.twimg.com/profile_images/1474559907466657794/M7Ak2H8Y_normal.jpg,hagilani,"{'followers_count': 282, 'following_count': 672, 'tweet_count': 14025, 'listed_count': 4}",Nephrologist,False,"Oakland, CA",
120620851.0,RICO ⛅️,https://t.co/mpqw7hMA4b,False,,https://pbs.twimg.com/profile_images/1505361379103895554/PGskS54P_normal.jpg,Kikko_Mang,"{'followers_count': 753, 'following_count': 1601, 'tweet_count': 102206, 'listed_count': 28}","He/Him - Lazy writer, social media monkey, low-budget streamer and dumbass. Life finds a way. 🦕 18+",False,"California, USA","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/mpqw7hMA4b', 'expanded_url': 'http://twitch.tv/kikko_mang', 'display_url': 'twitch.tv/kikko_mang'}]}}"
52838835.0,Woman seeking 12ft skeleton,,False,1.4172902222792663e+18,https://pbs.twimg.com/profile_images/1174842676103045120/BZHiLY6i_normal.jpg,urbansuburbia,"{'followers_count': 134, 'following_count': 357, 'tweet_count': 5791, 'listed_count': 11}","Nerd, mom, feminist, SJW; trans rights are human rights; Black lives matter; she/her

(My banner art by Art Baltazar in Itty Bitty Hellboy)",False,"Raleigh, NC",
1.4983159827245998e+18,Zakiya Carter,,False,,https://pbs.twimg.com/profile_images/1498316377853243399/aZXFm_Yg_normal.jpg,sheisKikiCarter,"{'followers_count': 3, 'following_count': 208, 'tweet_count': 139, 'listed_count': 0}",,False,,
7.43315193967448e+17,DM,,False,,https://pbs.twimg.com/profile_images/865053359933239297/uloo315R_normal.jpg,dmundo29,"{'followers_count': 2, 'following_count': 129, 'tweet_count': 145, 'listed_count': 0}",,False,,
293796312.0,"(Duh-Moan) Quad God, HomeWreckingDick",,False,1.5110295418457498e+18,https://pbs.twimg.com/profile_images/1522226378934034433/S6k9FFXy_normal.jpg,ogthegawd,"{'followers_count': 2188, 'following_count': 1104, 'tweet_count': 212730, 'listed_count': 13}",28 | Celtics🍀| 🇯🇲| I’m just here for the jokes|,False,732 to 954,
2230143949.0,Jeffrey Burnison,,False,,https://pbs.twimg.com/profile_images/842758565295198208/YcssQziL_normal.jpg,OGBurny_TA,"{'followers_count': 89, 'following_count': 210, 'tweet_count': 1618, 'listed_count': 2}",Our flaws are what make us perfect,False,,
1.1114190225563238e+18,Allo,,False,,https://pbs.twimg.com/profile_images/1111419876558528514/YW3xJQxz_normal.png,Allo82574917,"{'followers_count': 15, 'following_count': 62, 'tweet_count': 1026, 'listed_count': 0}","Mom&Kid.We like...dinosaurs, insects, drawing, handicraft,Pokemon, Keroro and Dragon and so on.
親子。すきなものは、恐竜、虫、描くこと、ドラゴン、作ること、ポケモン、ケロロ軍曹などなど。",False,Pekopon,
277145363.0,Adrián 💢,,False,,https://pbs.twimg.com/profile_images/544521510380392449/lH-vYhkq_normal.jpeg,adrhibesoy26,"{'followers_count': 452, 'following_count': 483, 'tweet_count': 9886, 'listed_count': 0}",cfg.,False,Potes-Tanarrio,
420810611.0,Mike Dunn,https://t.co/Spak4YjzHe,False,1.3553418311190733e+18,https://pbs.twimg.com/profile_images/1428741453853851658/354dUgyP_normal.jpg,bymichaeldunn,"{'followers_count': 2865, 'following_count': 2075, 'tweet_count': 45699, 'listed_count': 21}","a dude on the basketball court asked me, “hey, you the ZigZag guy?” Not radical, just dope. (he/him)",False,Mohkinstis/Treaty Six/Calgary,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Spak4YjzHe', 'expanded_url': 'https://bymichaeldunn.wordpress.com/', 'display_url': 'bymichaeldunn.wordpress.com'}]}}"
17810191.0,indigoiis 🌊,,False,,https://pbs.twimg.com/profile_images/1090319888894255104/zbjpZkua_normal.jpg,indigoiis,"{'followers_count': 775, 'following_count': 2142, 'tweet_count': 12309, 'listed_count': 2}","Just a gull. She/Her/Squawk! Cynical optimist, born lucky",False,Sonoran Desert,
1.4141947607897743e+18,🃏,,False,1.4687024643125002e+18,https://pbs.twimg.com/profile_images/1520872177494642689/0FLSuH5L_normal.jpg,erapiquenbauer,"{'followers_count': 606, 'following_count': 559, 'tweet_count': 7759, 'listed_count': 2}",subido en la Xavineta camino a la gloria,False,Camp Nou,
