,entities,verified,description,profile_image_url,public_metrics,url,username,id,name,protected,location,pinned_tweet_id
988059746392473600,,False,"INFP
•Not all those who wander are lost.
•I hope tomorrow will be different from today. I'm just wishing.
~Forever rain ~지나가~ Young forever~
산 넘어 산~
아. 포. 방. 포.",https://pbs.twimg.com/profile_images/1183050296135766018/NlOQJwm6_normal.jpg,"{'followers_count': 73, 'following_count': 124, 'tweet_count': 21196, 'listed_count': 1}",,inbangtanW,,약속 181016 190601 190602,False,,1135335228262760449
437020356,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nCncraiwBf', 'expanded_url': 'http://twitch.tv/vak333_', 'display_url': 'twitch.tv/vak333_'}]}}",False,"marketing digital, hago memes y joseo a veces, edito pero no me pagan y estoy en twitch🟣",https://pbs.twimg.com/profile_images/1520542463705890820/7Fyd-WT3_normal.jpg,"{'followers_count': 359, 'following_count': 191, 'tweet_count': 24308, 'listed_count': 0}",https://t.co/nCncraiwBf,vaqu333,,mario,False,Madrid,1518637709635506188
298020186,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/4lpD8OgxH2', 'expanded_url': 'http://www.paulcuddeford.com', 'display_url': 'paulcuddeford.com'}]}, 'description': {'mentions': [{'start': 17, 'end': 28, 'username': 'tonuspomus'}, {'start': 29, 'end': 45, 'username': 'WoodyWoodmansey'}, {'start': 46, 'end': 60, 'username': 'BobGeldofFans'}, {'start': 61, 'end': 75, 'username': 'TheRealDaphne'}, {'start': 76, 'end': 92, 'username': 'SteveNormanReal'}, {'start': 93, 'end': 109, 'username': 'IanHunterDotCom'}]}}",False,Guitarist off of @tonuspomus @WoodyWoodmansey @BobGeldofFans @TheRealDaphne @SteveNormanReal @IanHunterDotCom,https://pbs.twimg.com/profile_images/1501228523163463685/0Ankc1R-_normal.jpg,"{'followers_count': 1446, 'following_count': 2819, 'tweet_count': 4613, 'listed_count': 11}",https://t.co/4lpD8OgxH2,Blindlemoncurd,,Paul Cuddeford,False,London City,
1290921798146514945,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/CBhENHTK0K', 'expanded_url': 'https://bit.ly/GradyTodayFM', 'display_url': 'bit.ly/GradyTodayFM'}]}, 'description': {'mentions': [{'start': 102, 'end': 113, 'username': 'TodayFM_nz'}, {'start': 118, 'end': 128, 'username': 'NewshubNZ'}]}}",False,"Transport & infrastructure ramblings, Views expressed are my own. They/Them. Digital Content Producer @TodayFM_nz. Ex @NewshubNZ",https://pbs.twimg.com/profile_images/1516949413553344513/ClX_Yqp2_normal.jpg,"{'followers_count': 355, 'following_count': 332, 'tweet_count': 3547, 'listed_count': 4}",https://t.co/CBhENHTK0K,TheGradyConnell,,Grady Connell,False,Tāmaki Makaurau ,1487870899067895811
1402920497545834500,"{'description': {'mentions': [{'start': 34, 'end': 44, 'username': 'hyou_same'}]}}",False,つぶやきすぎたらどうしようというときにつぶやくかもしれないFB× 本@hyou_same,https://pbs.twimg.com/profile_images/1496423621572841472/5Okgy24L_normal.jpg,"{'followers_count': 36, 'following_count': 1, 'tweet_count': 355, 'listed_count': 0}",,hyouno_s,,ひょうnoさぶ,False,,1402999272933449734
724437200,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Obkimjn7DC', 'expanded_url': 'http://athanatoi.carrd.co', 'display_url': 'athanatoi.carrd.co'}]}}",False,hard to imagine the neighbourhood ever changing,https://pbs.twimg.com/profile_images/1519796671231799296/0BV1Zksy_normal.jpg,"{'followers_count': 1907, 'following_count': 248, 'tweet_count': 175039, 'listed_count': 31}",https://t.co/Obkimjn7DC,weekndjoji,,hanna,False,film acc @kurtkunkIe,1515302958598025216
26462750,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/tIdurdCKgK', 'expanded_url': 'http://www.instagram.com/elena_llofer', 'display_url': 'instagram.com/elena_llofer'}]}}",False,Don't waste your time or time will waste you. Always ascending 💗🎼,https://pbs.twimg.com/profile_images/972171478119714816/ZLSF5MPV_normal.jpg,"{'followers_count': 206, 'following_count': 933, 'tweet_count': 11215, 'listed_count': 19}",https://t.co/tIdurdCKgK,elena_soria,,Elena,False,Spain,
887158600719663104,,False,"🇸🇽 27 | Probably nocturnal, 24/7 trash about anime & kpop; learning how to be an Official Adult™ (she/they pronouns ok 👍🏽 ) ❤️🧡💛💚💙💜💕",https://pbs.twimg.com/profile_images/1334035442384027649/CJb25PPt_normal.jpg,"{'followers_count': 46, 'following_count': 147, 'tweet_count': 23267, 'listed_count': 1}",,dayna_coco,,🍊Dayna🍊,False,"California, USA",
1214558961321381895,,False,Chill,https://pbs.twimg.com/profile_images/1229968642609053701/yty9A2i9_normal.jpg,"{'followers_count': 5, 'following_count': 123, 'tweet_count': 159, 'listed_count': 0}",,Artsyfartsybleh,,Artsyfartsy,False,,
55291309,,False,hasta el coño 🌻,https://pbs.twimg.com/profile_images/1441693537913884673/PBGoWrrG_normal.jpg,"{'followers_count': 5942, 'following_count': 793, 'tweet_count': 38338, 'listed_count': 22}",,roluart,,R ✨,False,de la terreta,1216129340318142470
1520432490053259265,,False,"39 year old Bear 🐻. Sober. Recovery. Partnered 👨🏽‍🤝‍👨🏼.Sometimes I doodle and paint 🎨.From London, living in Plymouth ❤️ 🏳️‍🌈",https://pbs.twimg.com/profile_images/1520440512750178306/6bBZsPKw_normal.jpg,"{'followers_count': 25, 'following_count': 259, 'tweet_count': 41, 'listed_count': 0}",,Munkyboi82,,Matt tudor,False,"Plymouth, England",
1501882246260793347,,False,,https://pbs.twimg.com/profile_images/1504740701820669963/cWAT3Ycl_normal.jpg,"{'followers_count': 3, 'following_count': 29, 'tweet_count': 61, 'listed_count': 0}",,SoloBTSot7,,SoloBTS,False,,
1475180423974162438,,False,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"{'followers_count': 0, 'following_count': 30, 'tweet_count': 75, 'listed_count': 0}",,Nadia67426086,,Nadia,False,,
716919599070060544,,False,"Real Murcia C.F.
Una forma de vida",https://pbs.twimg.com/profile_images/1082707035425308672/khk_srgf_normal.jpg,"{'followers_count': 565, 'following_count': 524, 'tweet_count': 12064, 'listed_count': 1}",,GranaMurcia,,MurciaGRANA,False,"Murcia, Spain",
