id,description,url,name,profile_image_url,public_metrics,location,verified,username,entities,pinned_tweet_id,protected,withheld
1333065610905882624,猫と絵と歌と後は何だろう,,駒,https://pbs.twimg.com/profile_images/1484104973051117568/k11XTR4B_normal.jpg,"{'followers_count': 169, 'following_count': 177, 'tweet_count': 8097, 'listed_count': 0}",山,False,kmmktrm,,1.4512001135319695e+18,False,
44196437,Tweets are my own opinion,,Janine Powell,https://pbs.twimg.com/profile_images/847421616699064322/DrLE6YfK_normal.jpg,"{'followers_count': 164, 'following_count': 1422, 'tweet_count': 10277, 'listed_count': 9}",,False,J9Powell,,,False,
3112504155,grade1/2 teacher,,diana lung,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"{'followers_count': 20, 'following_count': 28, 'tweet_count': 239, 'listed_count': 0}",TDSB,False,dianadswlung,,,False,
20677736,"Wife, mom, Roman Catholic, lawyer, friend, Nittany Lion, lacrosse and field hockey fan",,NittanyLawyer,https://pbs.twimg.com/profile_images/1418924377643667460/nIKMlXIi_normal.jpg,"{'followers_count': 123, 'following_count': 508, 'tweet_count': 3723, 'listed_count': 4}","New Jersey, USA",False,IrishMomJD,,,False,
1030984973791256576,"All tweets are an expression of my own personal views/opinions. Don't do followbacks, so no offence intended. He/him #GTTO #RejoinEU 🇪🇺 #StandWithUkraine 🇺🇦",,LV 1970,https://pbs.twimg.com/profile_images/1497566968685154305/e6WZTUjH_normal.jpg,"{'followers_count': 48, 'following_count': 63, 'tweet_count': 5090, 'listed_count': 2}",,False,LordVernon1970,"{'description': {'hashtags': [{'start': 117, 'end': 122, 'tag': 'GTTO'}, {'start': 123, 'end': 132, 'tag': 'RejoinEU'}, {'start': 136, 'end': 153, 'tag': 'StandWithUkraine'}]}}",1.508810009395839e+18,False,
1086060718452019200,Former Course Hero literature guy. My opinions are my own and reflect me and me alone. Dad👨‍👩‍👧ELA Department Head📚artist🎨MMA obsessed🤛,,RUSSELL,https://pbs.twimg.com/profile_images/1474598351769415692/N0yCZMgY_normal.jpg,"{'followers_count': 355, 'following_count': 2478, 'tweet_count': 10009, 'listed_count': 0}",,False,RussellJaffeETC,,,False,
746252040,"Si por más alta que sea la pared, yo sé que la voy a saltar!",,Ale Chamorro ♡ ‏,https://pbs.twimg.com/profile_images/1487943861271810048/In1HyFwe_normal.jpg,"{'followers_count': 361, 'following_count': 398, 'tweet_count': 21951, 'listed_count': 1}",,False,AleChaamorro,,,False,
1319839388491223040,"Perdiendo seguidores desde 1.988
 🖤🖤Star Wars 🖤🖤",,💚Mónica,https://pbs.twimg.com/profile_images/1514367956452577283/S-KrXLYL_normal.jpg,"{'followers_count': 84, 'following_count': 425, 'tweet_count': 2853, 'listed_count': 0}",,False,moniparriagat,,,False,
772827993769119744,"El valiente, es valiente hasta que el cobarde quiere.
2️⃣8️⃣.

¡EXTREMEÑO 100%!
#Extremadura
💚⚪🖤",,ℙ𝔸ℝℝ𝔸,https://pbs.twimg.com/profile_images/1401455134106869762/ZIOC_AOP_normal.jpg,"{'followers_count': 606, 'following_count': 925, 'tweet_count': 8846, 'listed_count': 2}","Extremadura, España 💚🤍🖤",False,MPARRA_13,"{'description': {'hashtags': [{'start': 80, 'end': 92, 'tag': 'Extremadura'}]}}",1.261912302258991e+18,False,
1149146594,"Globetrotter, Photographer, Xbox Gamer, LEGO Builder.
Passionate about UX, Cybersecurity, APIs, SaaS, FinTech, Blockchain, AI, IoT, Disruption, Startups.",https://t.co/5qAuXgFjd1,Nitin,https://pbs.twimg.com/profile_images/811410468132835328/t_77geL7_normal.jpg,"{'followers_count': 1907, 'following_count': 3275, 'tweet_count': 10970, 'listed_count': 573}",43°36′N 79°39′W - Toronto,False,Thukral_Nitin,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5qAuXgFjd1', 'expanded_url': 'http://linkedin.com/in/nitinthukral', 'display_url': 'linkedin.com/in/nitinthukral'}]}}",,False,
1336445963221798912,,,Amy M,https://pbs.twimg.com/profile_images/1375619203659673603/7-gy6wRj_normal.jpg,"{'followers_count': 0, 'following_count': 32, 'tweet_count': 38, 'listed_count': 0}","Fargo, ND",False,AmyM9195,,,False,
14607094,"Existing, that's about as complex as it gets.",,Robert Lemmer,https://pbs.twimg.com/profile_images/801124846105202689/VNPV9_Go_normal.jpg,"{'followers_count': 285, 'following_count': 749, 'tweet_count': 21929, 'listed_count': 10}",Cape Town,False,noclarityhere,,,False,
1943316110,"香川に隔離されてるIIDXおじさん。IIDXID: 4559-6170。SP:皆伝-A3、DP:皆伝-A5。SPのFC,EXH埋めメインでしたが、今作から☆12鳥埋め始めました。",,ゆ〜やん@引退厨,https://pbs.twimg.com/profile_images/378800000563064382/ef48be0fae2b99b3d16407df555296b5_normal.jpeg,"{'followers_count': 130, 'following_count': 164, 'tweet_count': 27791, 'listed_count': 0}","Sakaide-shi, Kagawa",False,yu_yan123,,1.4942914781261455e+18,False,
