id,context_annotations,source,author_id,lang,possibly_sensitive,text,conversation_id,created_at,public_metrics,reply_settings,entities,referenced_tweets,in_reply_to_user_id,geo,attachments
1521675269563637760,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,175028096,en,False,"Wordle 319 4/6

⬜⬜⬜🟨🟩
🟨⬜🟨⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1521675269563637760,2022-05-04T02:17:10.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521675263532175360,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,46570763,ja,False,"Wordle 319 3/6

🟨🟨🟨⬛⬛
⬛⬛⬛⬛⬛
🟩🟩🟩🟩🟩
やったー",1521675263532175360,2022-05-04T02:17:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521675261187661824,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,37468075,en,False,"Wordle 318 3/6

⬛🟨⬛⬛⬛
🟩🟩🟨⬛🟩
🟩🟩🟩🟩🟩",1521675261187661824,2022-05-04T02:17:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521675255382945792,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,1497151672153686016,ja,False,"三手以内に決めるべきだった

Wordle 319 4/6

⬛🟨🟨🟨⬛
⬛🟨🟨🟨🟨
🟨🟨⬛⬛🟨
🟩🟩🟩🟩🟩",1521675255382945792,2022-05-04T02:17:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521675225347284997,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,43256478,en,False,"Wordle 318 4/6

⬛⬛🟨⬛🟨
🟩🟩⬛⬛⬛
🟩🟩⬛⬛🟩
🟩🟩🟩🟩🟩",1521675225347284997,2022-05-04T02:16:59.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521675205923463168,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,19596403,en,False,"Wordle 318 3/6

🟩🟩⬛⬛🟩
🟩🟩🟨⬛🟩
🟩🟩🟩🟩🟩",1521675205923463168,2022-05-04T02:16:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521675205923401729,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",TweetDeck,48683716,ko,False,"Wordle 319 4/6

⬜🟩🟨⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩

두번째에 맞춘 줄 알고 개설렜는데",1521675205923401729,2022-05-04T02:16:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521675192359178242,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,20383177,en,False,"Wordle 318 4/6

⬛🟨🟨⬛⬛
🟨⬛⬛🟩⬛
⬛🟩🟨⬛🟨
🟩🟩🟩🟩🟩

Scarred",1521675192359178242,2022-05-04T02:16:51.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521675186382254081,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,139914401,en,False,"Wordle 318 5/6

🟨⬛🟩⬛⬛
⬛🟨⬛⬛⬛
⬛⬛🟩⬛⬛
⬛🟨🟨⬛🟩
🟩🟩🟩🟩🟩",1521675186382254081,2022-05-04T02:16:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,,,,,
1521675183660183555,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,867421561371930624,en,False,"Wordle 318 4/6

⬛⬛⬛🟨⬛
⬛⬛🟨🟨⬛
🟩⬛🟨⬛⬛
🟩🟩🟩🟩🟩",1521675183660183555,2022-05-04T02:16:49.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",everyone,,,,,
