id,reply_settings,context_annotations,text,source,public_metrics,lang,author_id,possibly_sensitive,created_at,conversation_id,entities,in_reply_to_user_id,referenced_tweets,attachments,geo
1521588124081704964,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle (ES)  #117 5/6

⬜⬜⬜⬜🟩
⬜⬜⬜🟨🟩
🟨🟨⬜⬜🟩
⬜⬜🟨🟨🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,155785634,False,2022-05-03T20:30:53.000Z,1521588124081704964,,,,,
1521588112446885888,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 319 4/6

🟨⬜⬜⬜⬜
⬜🟨⬜⬜🟨
🟩🟨⬜⬜🟩
🟩🟩🟩🟩🟩楽しいな！",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",ja,3007738146,False,2022-05-03T20:30:50.000Z,1521588112446885888,,,,,
1521588111960072194,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle (ES)  #117 6/6

⬜⬜⬜⬜🟩
🟨🟩⬜⬜🟩
⬜🟩⬜🟨🟩
⬜🟩🟩⬜🟩
🟨🟩🟩⬜🟩
🟩🟩🟩🟩🟩

Esta si es una mierda de palabra
 https://t.co/afrsynvgsd",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",es,905158877066518529,True,2022-05-03T20:30:50.000Z,1521588111960072194,"{'urls': [{'start': 94, 'end': 117, 'url': 'https://t.co/afrsynvgsd', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521588085628321792,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 3/6

⬛🟨⬛⬛⬛
🟩⬛🟨🟩⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",en,976448915561119744,False,2022-05-03T20:30:44.000Z,1521588085628321792,,,,,
1521588072835690496,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 4/6

⬛🟨🟩⬛⬛
⬛⬛⬛⬛⬛
⬛🟨🟨⬛🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,84306136,False,2022-05-03T20:30:40.000Z,1521588072835690496,,,,,
1521588059011108864,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Игра Wordle (RU) День #117 5/6

⬜⬜🟨⬜⬜
🟩⬜⬜⬜🟩
🟩⬜⬜⬜🟩
🟩⬜⬜⬜🟩
🟩🟩🟩🟩🟩

#вордли 

Отгадайте слово на  https://t.co/liFTnE1ZUp",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",ru,1148670625,False,2022-05-03T20:30:37.000Z,1521588059011108864,"{'hashtags': [{'start': 63, 'end': 70, 'tag': 'вордли'}], 'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/liFTnE1ZUp', 'expanded_url': 'https://wordle.belousov.one', 'display_url': 'wordle.belousov.one', 'status': 200, 'title': 'Игра Wordle (Вордли) на русском - Отгадайте слово дня онлайн!', 'description': 'Wordle (russian) #1 на русском языке. Более 100 000 человек играют каждый день. Отгадайте слово за 6 попыток в игре Вордли. Новые слова появляются ежедневно (сегодня)! Ответы и правила игры вордль.', 'unwound_url': 'https://wordle.belousov.one'}]}",,,,
1521588043412836352,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 319 4/6

🟨⬛⬛🟩⬛
🟨⬛⬛⬛⬛
🟩🟨⬛⬛⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,385826891,False,2022-05-03T20:30:33.000Z,1521588043412836352,,,,,
1521588041092984833,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 4/6

🟩⬜⬜⬜⬜
🟩🟩⬜⬜⬜
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,166257535,False,2022-05-03T20:30:33.000Z,1521588041092984833,,,,,
1521588015252258816,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 319 3/6

⬛⬛🟩🟨⬛
⬛⬛⬛🟩⬛
🟩🟩🟩🟩🟩    
Got used to it! 
My tactics works well",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,2386574275,False,2022-05-03T20:30:27.000Z,1521588015252258816,,,,,
1521588009912745984,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 4/6

🟨⬛⬛⬛⬛
⬛⬛🟨⬛⬛
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩 #dailywordleclub #wordle #wordle318",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",en,140922619,False,2022-05-03T20:30:25.000Z,1485967494011629579,"{'hashtags': [{'start': 40, 'end': 56, 'tag': 'dailywordleclub'}, {'start': 57, 'end': 64, 'tag': 'wordle'}, {'start': 65, 'end': 75, 'tag': 'wordle318'}]}",140922619,"[{'type': 'replied_to', 'id': '1521122321980928001'}]",,
1521588002962685952,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 6/6

⬛🟨⬛⬛⬛
⬛⬛⬛🟩⬛
⬛🟨⬛🟩⬛
⬛🟨🟨⬛⬛
⬛🟨🟩⬛⬛
🟩🟩🟩🟩🟩",TweetDeck,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,73971651,False,2022-05-03T20:30:24.000Z,1521588002962685952,,,,,
1521587977583013890,everyone,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 318 4/6

⬜🟨🟨⬜⬜
⬜🟩🟩⬜⬜
⬜🟨⬜🟩⬜
🟩🟩🟩🟩🟩styles",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,820386079933140993,False,2022-05-03T20:30:18.000Z,1521587977583013890,,,,,
