id,name,url,protected,profile_image_url,username,public_metrics,description,verified,location,pinned_tweet_id,entities
28023213.0,Mari Cordes RN she/they #revolutionaryLove,,False,https://pbs.twimg.com/profile_images/1470247381207822337/LT-vGIR1_normal.jpg,momdogz,"{'followers_count': 1737, 'following_count': 3480, 'tweet_count': 8887, 'listed_count': 15}","🏳️‍🌈🏳️‍⚧️ #blacklivesmatter, Proud Union Cardiology RN UVMMC, State Representative, #TeamKesha",False,"Vermont, USA",,"{'description': {'hashtags': [{'start': 10, 'end': 27, 'tag': 'blacklivesmatter'}, {'start': 84, 'end': 94, 'tag': 'TeamKesha'}]}}"
1.2780530091136123e+18,Saeed,,False,https://pbs.twimg.com/profile_images/1424092393574477827/YXbHUjWK_normal.jpg,SaeedSuleiman24,"{'followers_count': 210, 'following_count': 235, 'tweet_count': 6078, 'listed_count': 0}",I couldn't fit the whole Bio syllabus here,False,,1.347925309249749e+18,
33283289.0,Kevin Kuebler,,False,https://pbs.twimg.com/profile_images/1172325646/Online_Profile_Pic_normal.jpg,kevinkuebler,"{'followers_count': 478, 'following_count': 252, 'tweet_count': 6101, 'listed_count': 20}","Christian, husband, father, and stepfather. @Pluralsight author. Software engineer at Matrix Pointe Software.",False,"Cleveland, OH",,"{'description': {'mentions': [{'start': 44, 'end': 56, 'username': 'Pluralsight'}]}}"
527801110.0,lakankan,,False,https://pbs.twimg.com/profile_images/1477356967077187588/thYhfFVK_normal.jpg,la_kan_kan,"{'followers_count': 83, 'following_count': 282, 'tweet_count': 13442, 'listed_count': 2}",la-kandy-kan can because she mixes it with love and makes the world taste good!,False,In a world of plexi glass,,
1.1426250177018184e+18,mediocre soup🍲,,False,https://pbs.twimg.com/profile_images/1283995366073999361/3P7A6_dZ_normal.jpg,Kat15856629,"{'followers_count': 15, 'following_count': 37, 'tweet_count': 1085, 'listed_count': 0}","any pronouns
cringe compilation",False,,,
176524568.0,Márcio Miranda,,False,https://pbs.twimg.com/profile_images/1346085677897822208/1juvwx2a_normal.jpg,Marcio_MX,"{'followers_count': 14, 'following_count': 139, 'tweet_count': 16955, 'listed_count': 1}","Carioca de 1970, Tricolor, Engenheiro Mecânico e casado com mulher mais linda do mundo @Ane_Daiuto!",False,Brasil,,"{'description': {'mentions': [{'start': 87, 'end': 98, 'username': 'Ane_Daiuto'}]}}"
26968742.0,Kymberly,,False,https://pbs.twimg.com/profile_images/1450770103931441153/zWiSHQ6r_normal.jpg,kymberlyh,"{'followers_count': 228, 'following_count': 401, 'tweet_count': 5407, 'listed_count': 13}",,False,"Austin, TX",,
2411350332.0,Allie @ h :^) 🍓,,False,https://pbs.twimg.com/profile_images/1405531449541857286/fPDl8LWA_normal.jpg,allieelly,"{'followers_count': 220, 'following_count': 332, 'tweet_count': 83904, 'listed_count': 4}",allie ☆ she/her ☆ 20+ ☆ lesbian ☆ Chicago area ☆ private: @alliesbian ☆ side @allieyaoi ☆ nsfw: @alliechrommies ☆ icon by @fozfens,False,"hell, but now it's 2020 pt 2",1.0687447636361093e+18,"{'description': {'mentions': [{'start': 58, 'end': 69, 'username': 'alliesbian'}, {'start': 77, 'end': 87, 'username': 'allieyaoi'}, {'start': 96, 'end': 111, 'username': 'alliechrommies'}, {'start': 122, 'end': 130, 'username': 'fozfens'}]}}"
417928221.0,🕊acidwashed.eth 🧪☔️,https://t.co/QwottE6yrT,False,https://pbs.twimg.com/profile_images/1521990204919365639/KV_eU-tg_normal.jpg,acidwashedd,"{'followers_count': 5833, 'following_count': 2927, 'tweet_count': 15808, 'listed_count': 13}",🌎 🌿 🏕 ☮️ 🍄 💻 📚 🎧 🧬,False,Nirvana,1.5154702774713467e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/QwottE6yrT', 'expanded_url': 'https://xn--s5h1079nxvau7m.y.at', 'display_url': '🦁👁🍄♎.y.at'}]}}"
295734822.0,stey,https://t.co/BwxnH7qSGm,False,https://pbs.twimg.com/profile_images/1447986550357254151/DYgZxNVV_normal.jpg,giawbliss,"{'followers_count': 2739, 'following_count': 724, 'tweet_count': 46199, 'listed_count': 30}",fan account / not impersonating | she/her 21,False,,1.448435169325691e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BwxnH7qSGm', 'expanded_url': 'http://shefollows.com', 'display_url': 'shefollows.com'}]}}"
1.4124299416192778e+18,DrummerBoy 🥁🥁🥁,,False,https://pbs.twimg.com/profile_images/1420123654420144131/mrUE2kAi_normal.jpg,OldDrummerBoy7,"{'followers_count': 34, 'following_count': 228, 'tweet_count': 1724, 'listed_count': 0}",,False,,,
179261736.0,lancey dancey,https://t.co/8RiCYy5XF7,False,https://pbs.twimg.com/profile_images/1515139959497404417/DbUMyh9E_normal.jpg,__lancey,"{'followers_count': 3476, 'following_count': 915, 'tweet_count': 65150, 'listed_count': 7}","GOOGLE ME, CHUCK",False,"Sussame Street, AR",1.3149369087457608e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8RiCYy5XF7', 'expanded_url': 'https://open.spotify.com/playlist/4M81fQcuc9Ws83tWNM5Drd?si=mDP5CKBhR06xOqAFAYRYvg', 'display_url': 'open.spotify.com/playlist/4M81f…'}]}}"
1325934324.0,Devon Hoyt,,False,https://pbs.twimg.com/profile_images/1227043125589352449/eZ280HpY_normal.jpg,devonelise34,"{'followers_count': 72, 'following_count': 82, 'tweet_count': 513, 'listed_count': 0}","RN, baker, bibliophile.",False,,,
8.71569118092075e+17,frans,,False,https://pbs.twimg.com/profile_images/1522074265352237056/MD1YcT8l_normal.jpg,franceskamaj,"{'followers_count': 141, 'following_count': 365, 'tweet_count': 5063, 'listed_count': 0}",don't wanna become the person I once hated,False,"City of Tagum, Davao Region",1.3541263616909476e+18,
30237884.0,Covid's Not Done With Us Yet 💉😷,,False,https://pbs.twimg.com/profile_images/1519830501397307393/MQUkW4qc_normal.jpg,Jennymd1,"{'followers_count': 554, 'following_count': 450, 'tweet_count': 17850, 'listed_count': 10}","Mask up, vaxx up and be a decent human being. Easy peasy.",False,,9.725979331356385e+17,
