id,context_annotations,source,author_id,lang,possibly_sensitive,text,conversation_id,created_at,public_metrics,reply_settings,geo,referenced_tweets,in_reply_to_user_id,entities,attachments
1521665039043903488,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,1481268561083568130,en,False,"Wordle 318 5/6 😑

⬛🟨⬛🟨⬛
⬛🟩🟨⬛🟩
🟨🟩⬛⬛🟩
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",1521665039043903488,2022-05-04T01:36:31.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521664969900584960,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,603674717,en,False,"Wordle 319 4/6

⬛⬛⬛🟨🟨
🟨⬛🟩⬛⬛
⬛🟩🟩🟨⬛
🟩🟩🟩🟩🟩

#WordleDailyHints Not a bike, Not a car, not a plane..

#Wordle #Wordle319 #WordleApp #Wordlees #HaveANiceDay",1521664969900584960,2022-05-04T01:36:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,"{'hashtags': [{'start': 41, 'end': 58, 'tag': 'WordleDailyHints'}, {'start': 97, 'end': 104, 'tag': 'Wordle'}, {'start': 105, 'end': 115, 'tag': 'Wordle319'}, {'start': 116, 'end': 126, 'tag': 'WordleApp'}, {'start': 127, 'end': 136, 'tag': 'Wordlees'}, {'start': 137, 'end': 150, 'tag': 'HaveANiceDay'}]}",
1521664967723814912,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,136481168,en,False,"Wordle (ES)  #117 2/6

⬜⬜⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/2NawCYXPXb",1521664967723814912,2022-05-04T01:36:14.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,"{'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/2NawCYXPXb', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",
1521664963630309377,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,1483766538456944640,en,False,"Wordle (ES)  #117 5/6

⬜🟩🟩🟨⬜
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/ogMGE07PTZ",1521664963630309377,2022-05-04T01:36:13.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/ogMGE07PTZ', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",
1521664956759871488,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,379307333,en,False,"Wordle 318 5/6*
This gave me enormous difficulty. And naturally I picked the wrong one (#4) first.

⬛🟨⬛🟨⬛
⬛🟩⬛⬛🟨
🟨🟩⬛🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",1521664956759871488,2022-05-04T01:36:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521664945255075842,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,3224636743,en,False,"Wordle 318 5/6

⬛🟩⬛⬛⬛
⬛🟩🟨⬛🟩
🟨🟩⬛⬛🟩
⬛🟨⬛🟨⬛
🟩🟩🟩🟩🟩",1508809744785580043,2022-05-04T01:36:08.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,,"[{'type': 'replied_to', 'id': '1521175703575793664'}]",3224636743,,
1521664930276986880,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter Web App,2383936962,en,False,"Wordle 318 5/6

🟨⬜🟩⬜⬜
⬜⬜🟨⬜⬜
🟨🟩🟩⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩",1521664930276986880,2022-05-04T01:36:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,,,,,
1521664909012275205,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,94689939,en,False,"Wordle 319 3/6

🟩⬛⬛⬛⬛
🟩🟩🟨🟨⬛
🟩🟩🟩🟩🟩",1521664909012275205,2022-05-04T01:36:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,,
1521664908592525312,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for Android,2727880132,es,False,"Wordle Científico #51 5/6

🟨⬜⬜⬜⬜⬜🟩
⬜⬜⬜⬜⬜⬜🟩
⬜🟨⬜⬜⬜🟨⬜
🟨⬜⬜🟨🟨🟩⬜
🟩🟩🟩🟩🟩🟩🟩
 https://t.co/WqGqeIpxD6",1521664908592525312,2022-05-04T01:36:00.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,,,"{'urls': [{'start': 68, 'end': 91, 'url': 'https://t.co/WqGqeIpxD6', 'expanded_url': 'https://wordle.danielfrg.com/ciencia/index.html', 'display_url': 'wordle.danielfrg.com/ciencia/index.…'}]}",
1521664884827738112,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",Twitter for iPhone,263417923,en,False,"Wordle (ES)  #117 3/6

⬜⬜⬜⬜🟩
🟨🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/pKbBzLmJnM",1521664884827738112,2022-05-04T01:35:54.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,,,,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/pKbBzLmJnM', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",
