id,conversation_id,reply_settings,lang,possibly_sensitive,source,public_metrics,text,context_annotations,author_id,created_at,entities,referenced_tweets,in_reply_to_user_id,attachments,geo
1521894018954579970,1508480257166573570,everyone,en,False,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 5/6

⬜🟨⬜⬜🟨
⬜🟩⬜⬜⬜
⬜🟩🟨⬜🟨
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1160840888,2022-05-04T16:46:24.000Z,,"[{'type': 'replied_to', 'id': '1521749924500557825'}]",1160840888,,
1521894016379408385,1521894016379408385,everyone,en,False,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle Tildes #65 4/6

⬜⬜⬜🟩⬜⬜⬜
⬜🟨⬜🟩⬜⬜⬜
🟨⬜🟨⬜⬜🟨🟨
🟩🟩🟩🟩🟩🟩🟩

https://t.co/bGabqaHTV3","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",494332596,2022-05-04T16:46:23.000Z,"{'urls': [{'start': 56, 'end': 79, 'url': 'https://t.co/bGabqaHTV3', 'expanded_url': 'https://wordle.danielfrg.com/tildes/index.html', 'display_url': 'wordle.danielfrg.com/tildes/index.h…'}]}",,,,
1521893992912371717,1521893992912371717,everyone,en,False,Twitter Web App,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}","Wordle 319 3/6

⬛🟨⬛🟨⬛
🟩⬛🟩🟨⬛
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1256362172831215617,2022-05-04T16:46:17.000Z,,,,,
1521893991502991360,1521341747695173632,everyone,en,False,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@mlamiroy Wordle 319 4/6

⬜🟩⬜🟨⬜
🟨🟨⬜⬜⬜
⬜🟨🟩🟨⬜
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",318387276,2022-05-04T16:46:17.000Z,"{'mentions': [{'start': 0, 'end': 9, 'username': 'mlamiroy', 'id': '283055797'}]}","[{'type': 'replied_to', 'id': '1521341747695173632'}]",283055797,,
1521893986281361410,1521893986281361410,everyone,en,False,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 4/6

🟨🟩⬜⬜🟨
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",127542119,2022-05-04T16:46:16.000Z,,,,,
1521893965493981185,1521893965493981185,everyone,en,False,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES)  #118 3/6

⬛🟨🟨⬛🟩
🟩⬛🟨🟨🟩
🟩🟩🟩🟩🟩
 https://t.co/86vTz8HMsW","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",33971807,2022-05-04T16:46:11.000Z,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/86vTz8HMsW', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521893957063802882,1521893957063802882,everyone,en,False,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 X/6

⬛🟨⬛⬛⬛
🟨🟨⬛⬛🟨
🟨⬛⬛🟨🟩
🟨⬛⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",126354556,2022-05-04T16:46:09.000Z,,,,,
1521893951967576065,1521893951967576065,everyone,es,False,Twitter for iPad,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle Científico #52 6/6

⬜⬜⬜🟨🟨
🟨🟨⬜🟩⬜
⬜🟨🟨🟩⬜
⬜⬜🟨🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩
 https://t.co/thb4hjO2Su","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",3891352343,2022-05-04T16:46:08.000Z,"{'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/thb4hjO2Su', 'expanded_url': 'https://wordle.danielfrg.com/ciencia/index.html', 'display_url': 'wordle.danielfrg.com/ciencia/index.…'}]}",,,,
1521893940299014150,1521815201024200707,everyone,en,False,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@DrBradleyWill Yup. No guessing involved here! 😉 Wordle 319 2/6

🟩⬜⬜🟨⬜
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",77545302,2022-05-04T16:46:05.000Z,"{'mentions': [{'start': 0, 'end': 14, 'username': 'DrBradleyWill', 'id': '25910917'}]}","[{'type': 'replied_to', 'id': '1521815201024200707'}]",25910917,,
1521893933751881728,1521893933751881728,everyone,en,False,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 320 6/6

⬛⬛⬛⬛🟨
⬛⬛🟨🟨🟨
⬛🟩⬛🟩🟩
⬛⬛🟨⬛⬛
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",283388299,2022-05-04T16:46:03.000Z,,,,,
1521893921604861954,1521893921604861954,everyone,en,False,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","era re facil  q down
Wordle (ES)  #118 5/6

🟩🟩⬜⬜🟩
🟩🟩⬜🟨🟩
🟩🟩🟩⬜⬜
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/MXWhVeNetG","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1266203181555597312,2022-05-04T16:46:00.000Z,"{'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/MXWhVeNetG', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1521893920929726464,1521893920929726464,everyone,en,False,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","I'm back babey
Wordle 319 3/6

⬛⬛🟩⬛⬛
⬛⬛🟩⬛⬛
🟩🟩🟩🟩🟩","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",864907765755633664,2022-05-04T16:46:00.000Z,,,,,
