id,profile_image_url,entities,url,public_metrics,username,protected,name,description,pinned_tweet_id,verified,location
19475677.0,https://pbs.twimg.com/profile_images/1520553464471998466/Ft3wMU3N_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZcBQRHx9XE', 'expanded_url': 'http://vaibhav.co', 'display_url': 'vaibhav.co'}]}, 'description': {'hashtags': [{'start': 40, 'end': 55, 'tag': 'FintechFridays'}], 'mentions': [{'start': 4, 'end': 13, 'username': 'avencard'}, {'start': 60, 'end': 69, 'username': 'cartainc'}, {'start': 70, 'end': 81, 'username': 'Aspiration'}, {'start': 82, 'end': 97, 'username': 'crossriverbank'}, {'start': 98, 'end': 102, 'username': 'bcg'}, {'start': 142, 'end': 151, 'username': 'beondeck'}]}}",https://t.co/ZcBQRHx9XE,"{'followers_count': 2242, 'following_count': 2190, 'tweet_count': 14556, 'listed_count': 128}",i_vp,False,Vaibhav Puranik 🔺👁🔺,CoS @avencard; Builder & investor; Host #FintechFridays; Ex @cartainc @Aspiration @crossriverbank @bcg; Cofounder AlmondBank; Founding fellow @beondeck,1.519402231824593e+18,False,"New Jersey, USA"
141956097.0,https://pbs.twimg.com/profile_images/1403864692473348096/33KJZg2u_normal.jpg,,,"{'followers_count': 420, 'following_count': 933, 'tweet_count': 21016, 'listed_count': 12}",Faiiry90,False,Ana 🏃🏻‍♀️💜🏃🏼,Orgullo del aborigen q antes de sumirse esclavo libero su alma al barranco increpandole Achaman 🤍💙💛-feminista💜 🧚🏻‍♀️2005🧚🏼‍♂️-vegana🥑- trailrunner 🐐 Ⓐ,3.433233760996598e+17,False,Anaga-Islas Canarias 🇮🇨
386480718.0,https://pbs.twimg.com/profile_images/1518607619446898688/pH6ndzav_normal.jpg,,,"{'followers_count': 1059, 'following_count': 1102, 'tweet_count': 86971, 'listed_count': 36}",yuuhi1315,False,ゾウさん,増産,1.385588935196246e+18,False,ディスコビートが生まれて130年 先輩達の意志を受け継いで
15732735.0,https://pbs.twimg.com/profile_images/1166446967205060608/vRFZAmsY_normal.jpg,"{'description': {'mentions': [{'start': 46, 'end': 53, 'username': 'indeed'}]}}",,"{'followers_count': 157, 'following_count': 319, 'tweet_count': 4152, 'listed_count': 11}",fabrimyr,False,Fabricio Longhi,"From 🇦🇷, living in 🇬🇧
Staff Software Engineer @indeed",,False,Edinburgh
1058831.0,https://pbs.twimg.com/profile_images/1493020014273720320/rKlq7YYU_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/B2zo5ZbvVf', 'expanded_url': 'http://lewtonbus.net', 'display_url': 'lewtonbus.net'}]}, 'description': {'hashtags': [{'start': 139, 'end': 156, 'tag': 'BlackLivesMatter'}], 'mentions': [{'start': 19, 'end': 29, 'username': 'lewtonbus'}, {'start': 42, 'end': 58, 'username': 'CinemaChancePod'}, {'start': 76, 'end': 84, 'username': 'theMADE'}, {'start': 99, 'end': 113, 'username': 'elleryhubbell'}, {'start': 118, 'end': 129, 'username': 'muffuletta'}]}}",https://t.co/B2zo5ZbvVf,"{'followers_count': 2094, 'following_count': 2868, 'tweet_count': 72928, 'listed_count': 125}",brundlefly,False,Shannon Ellery Hubbell,"Editor-in-chief of @lewtonbus, co-host of @CinemaChancePod, social media at @theMADE, proud son of @elleryhubbell and @muffuletta, he/him, #BlackLivesMatter",4.675088651105075e+17,False,"Oakland, CA"
1.4192999790013071e+18,https://pbs.twimg.com/profile_images/1520917546555293697/wGFS1x37_normal.jpg,,,"{'followers_count': 738, 'following_count': 625, 'tweet_count': 33535, 'listed_count': 3}",MdmeTempestad,False,Pame,"Volviendo con todo, gracias trolls de 💩💩",,False,
21480788.0,https://pbs.twimg.com/profile_images/1488865265429458950/EBDnLYff_normal.jpg,"{'description': {'hashtags': [{'start': 10, 'end': 16, 'tag': 'KS4PM'}, {'start': 41, 'end': 47, 'tag': 'LGBGT'}, {'start': 95, 'end': 109, 'tag': 'myelofibrosis'}]}}",,"{'followers_count': 11365, 'following_count': 10909, 'tweet_count': 51811, 'listed_count': 18}",patanna,False,anne juliff,"🇪🇺🏴󠁧󠁢󠁷󠁬󠁳󠁿 #KS4PM pianoteacher,anti Tory, #LGBGT ,anti racism,#Spanishlanguage#refugees welcome #myelofibrosis",1.4994461786766828e+18,False,"London, England"
20903958.0,https://pbs.twimg.com/profile_images/1409582488696115203/DjKnMtjo_normal.jpg,,,"{'followers_count': 1291, 'following_count': 2094, 'tweet_count': 69860, 'listed_count': 32}",molltrot,False,Mary Anderson,"married, 3 kids, slightly warped sense of humour but not the nasty kind",,False,kilkenny
310436702.0,https://pbs.twimg.com/profile_images/1146182591147626497/1ZrBAatb_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/MgVeMphLLs', 'expanded_url': 'https://www.instagram.com/sulfon/', 'display_url': 'instagram.com/sulfon/'}]}, 'description': {'hashtags': [{'start': 89, 'end': 96, 'tag': 'merman'}, {'start': 117, 'end': 151, 'tag': 'Lifeistooshorttowearboringclothes'}]}}",https://t.co/MgVeMphLLs,"{'followers_count': 423, 'following_count': 832, 'tweet_count': 40189, 'listed_count': 0}",Sulfon,False,Furrochuga,Marmota a tiempo parcial. Friki. GaYmer. Diseñador de moda XXL. Interiorista. Intento de #merman. 6/12. All pronoums #Lifeistooshorttowearboringclothes,1.4776760167305216e+18,False,Error 404: Place not found 
318921423.0,https://pbs.twimg.com/profile_images/1399850965/Dibujo4_5_normal.JPG,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/kcXodNb19J', 'expanded_url': 'http://supervivenciaconysinarte.blogspot.com.es/', 'display_url': '…ervivenciaconysinarte.blogspot.com.es'}]}}",http://t.co/kcXodNb19J,"{'followers_count': 1996, 'following_count': 2151, 'tweet_count': 109165, 'listed_count': 30}",Mou_h_Art,False,Montse H Aguilar,"Artista, Escultora.

No importa que se utilicen las obras y palabras,siempre que figuren el origen y la autoría,sé respetuos@,gracias",7.018045016369275e+17,False,Barcelona
9.037354751558697e+17,https://pbs.twimg.com/profile_images/1470286893975674884/0yCR1OVi_normal.jpg,,,"{'followers_count': 1024, 'following_count': 1023, 'tweet_count': 29881, 'listed_count': 7}",ewolf411sped,False,🇺🇦KeepClimbing💙💛🌻,"Academia (SpEducator), et cetera",,False,"NM, USA"
