id,created_at,reply_settings,conversation_id,possibly_sensitive,text,source,public_metrics,context_annotations,author_id,lang,entities,referenced_tweets,in_reply_to_user_id,attachments,geo
1522208636600160264,2022-05-05T13:36:34.000Z,everyone,1522208636600160264,False,"Wordle 320 X/6

🟨🟩⬜⬜🟨
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩

･ﾟ･(ﾉд`)･ﾟ･｡",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",198853531,ja,,,,,
1522208624512278528,2022-05-05T13:36:32.000Z,everyone,1522208624512278528,False,"Wordle 320 3/6

🟩🟨⬛🟨⬛
🟩⬛🟨🟩⬛
🟩🟩🟩🟩🟩",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",73811170,en,,,,,
1522208622759063558,2022-05-05T13:36:31.000Z,everyone,1522208622759063558,False,"Wordle 320 X/6

⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩

Today was just not meant for me.",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2283019473,en,,,,,
1522208618472484864,2022-05-05T13:36:30.000Z,everyone,1522208618472484864,False,"Wordle (ES)  #119 6/6
Al borde del abismo he estado

🟨⬜⬜⬜🟨
⬜⬜⬜⬜🟩
⬜🟩🟩⬜⬜
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/cPyLHjmpwX",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1281168253096730624,es,"{'urls': [{'start': 90, 'end': 113, 'url': 'https://t.co/cPyLHjmpwX', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1522208615754387456,2022-05-05T13:36:29.000Z,everyone,1522208615754387456,False,"#WordleCAT 125 6/6

🟨⬜⬜⬜⬜
⬜🟨🟨⬜🟨
⬜🟩🟨🟩⬜
⬜🟩⬜🟩🟩
⬜🟩🟨🟩🟩
🟩🟩🟩🟩🟩

https://t.co/2y8dY4L7Zh",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",,2766577349,und,"{'hashtags': [{'start': 0, 'end': 10, 'tag': 'WordleCAT'}], 'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/2y8dY4L7Zh', 'expanded_url': 'http://wordle.gelozp.com', 'display_url': 'wordle.gelozp.com'}]}",,,,
1522208614391369728,2022-05-05T13:36:29.000Z,everyone,1522208614391369728,False,"Wordle (ES)  #119 5/6

🟨⬜🟩⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/8jaia7DX3a",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",859745810954760192,en,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/8jaia7DX3a', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1522208609635082246,2022-05-05T13:36:28.000Z,everyone,1522208609635082246,False,"Wordle 320 X/6*

⬛🟨⬛⬛🟨
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩⬛🟩🟩 For reasons that those who know me, I’m ashamed at missing this one. Brutal.",Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 1}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",3308434153,en,,,,,
1522208604828356610,2022-05-05T13:36:27.000Z,everyone,1522208604828356610,False,"Wordle (ES)  #119 4/6

🟨⬜⬜⬜🟩
⬜🟩⬜🟨🟩
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/ehVfZeyp2D",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1292855095,en,"{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/ehVfZeyp2D', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",,,,
1522208603070943233,2022-05-05T13:36:26.000Z,everyone,1522208603070943233,False,"Wordle 320 5/6

⬛🟨⬛⬛⬛
⬛🟨⬛⬛🟩
⬛⬛⬛🟩🟩
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩",TweetDeck,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",1203394997527158784,en,,,,,
1522208600206233600,2022-05-05T13:36:26.000Z,everyone,1522208600206233600,True,"Wordle (ES)  #119 3/6

⬜⬜🟩⬜🟩
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/YIlvM1lzqV",Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",881953137850015745,en,"{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/YIlvM1lzqV', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com', 'images': [{'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Un juego de palabras diario', 'description': 'Adivina la palabra oculta en 6 intentos. Un nuevo puzzle cada día.', 'unwound_url': 'https://wordle.danielfrg.com/'}]}",,,,
