id,source,reply_settings,created_at,lang,possibly_sensitive,public_metrics,text,entities,conversation_id,author_id,context_annotations,geo,in_reply_to_user_id,referenced_tweets,attachments
1521228537055055872,Twitter for iPhone,everyone,2022-05-02T20:42:00.000Z,en,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Wordle 318 6/6

⬜⬜🟩⬜⬜
⬜🟨🟩⬜⬜
⬜⬜🟩🟩⬜
⬜⬜🟩🟩⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩",,1521228537055055872,34397164,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521228532877336577,Twitter for Android,everyone,2022-05-02T20:41:59.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","How dare you 😤😤😤

Wordle 317 6/6

⬛⬛🟨🟨⬛
🟨🟨🟩⬛⬛
🟩⬛🟩🟩🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",,1521228532877336577,19997877,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521228526933872640,Twitter Web App,everyone,2022-05-02T20:41:58.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 317 5/6

🟩⬛⬛⬛⬛
🟩⬛⬛⬛⬛
🟩⬛⬛⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩
🧍‍♀️🧍‍♀️🧍‍♀️",,1521228526933872640,1043975871931904000,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521228498899197953,Twitter Web App,everyone,2022-05-02T20:41:51.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES)  #116 4/6

⬜⬜🟨🟨⬜
🟩🟩⬜🟩⬜
🟩🟩⬜🟩🟨
🟩🟩🟩🟩🟩
 https://t.co/B0cDQjOlcu","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/B0cDQjOlcu', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",1521228498899197953,335524288,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521228498160996353,Twitter for Android,everyone,2022-05-02T20:41:51.000Z,es,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle Tildes #63 5/6
Como rulo de estatua🤣😂
⬜🟨⬜⬜⬜🟩
🟨⬜⬜⬜⬜🟩
⬜⬜⬜🟨⬜🟩
🟩🟩🟩⬜⬜⬜
🟩🟩🟩🟩🟩🟩
 https://t.co/dZZz5MRH4b","{'urls': [{'start': 81, 'end': 104, 'url': 'https://t.co/dZZz5MRH4b', 'expanded_url': 'https://wordle.danielfrg.com/tildes/index.html', 'display_url': 'wordle.danielfrg.com/tildes/index.h…'}]}",1521228498160996353,207018019,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",{'place_id': '206c436ce43a43a3'},,,
1521228494038249472,Twitter Web App,everyone,2022-05-02T20:41:50.000Z,en,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","@TooheyMatthew I was happy with mine (still haven't cracked the 2/6 let alone the 1/6!
Wordle 318 3/6

🟨⬛🟩⬛⬛
🟨🟩🟩⬛🟩
🟩🟩🟩🟩🟩","{'mentions': [{'start': 0, 'end': 14, 'username': 'TooheyMatthew', 'id': '2579554963'}]}",1521132058554548225,11901782,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,2579554963,"[{'type': 'replied_to', 'id': '1521132058554548225'}]",
1521228472626122759,Twitter for iPhone,everyone,2022-05-02T20:41:45.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 317 4/6

⬛⬛⬛🟨⬛
⬛⬛🟩⬛🟨
🟩⬛🟩🟩🟨
🟩🟩🟩🟩🟩",,1521228472626122759,218152346,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521228446558416896,Twitter for iPhone,everyone,2022-05-02T20:41:39.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 317 5/6

🟨🟨⬛⬛⬛
⬛🟨⬛🟩🟨
⬛⬛⬛🟩⬛
⬛⬛🟩🟩🟨
🟩🟩🟩🟩🟩",,1521228446558416896,1381645757170688004,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521228413713133568,Twitter Web App,everyone,2022-05-02T20:41:31.000Z,en,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 318 4/6

⬛⬛🟨⬛🟨
🟩⬛🟨🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",,1521228413713133568,42361253,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521228397371928578,Twitter for iPhone,everyone,2022-05-02T20:41:27.000Z,en,False,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Wordle 318 4/6

⬜🟨🟩⬜⬜
🟨🟩🟩⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩

💇🏻",,1497580199466221580,130409435,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",{'place_id': '001907e868d06e24'},130409435,"[{'type': 'replied_to', 'id': '1520953379463307264'}]",
