id,created_at,source,possibly_sensitive,lang,public_metrics,text,entities,conversation_id,reply_settings,author_id,context_annotations,in_reply_to_user_id,referenced_tweets,attachments,geo
1521703944673767424,2022-05-04T04:11:06.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 2/6
😎

⬛⬛🟩⬛⬛
🟩🟩🟩🟩🟩",,1521703944673767424,everyone,19628469,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521703943847526401,2022-05-04T04:11:06.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","I didn’t actually miss the last couple, I just didn’t post them. 🤷🏻‍♀️ Been a bit busy.

#Wordle319 3/6 || #Wordle

⬛🟨⬛🟨⬛
🟩⬛🟩🟨⬛
🟩🟩🟩🟩🟩","{'hashtags': [{'start': 89, 'end': 99, 'tag': 'Wordle319'}, {'start': 107, 'end': 114, 'tag': 'Wordle'}]}",1481409699383631872,everyone,2806509404,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",2806509404,"[{'type': 'replied_to', 'id': '1520984184990404611'}]",,
1521703942756962310,2022-05-04T04:11:06.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 2/6

🟩⬜🟩🟨⬜
🟩🟩🟩🟩🟩",,1521703942756962310,everyone,1079532266215391232,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521703941091868674,2022-05-04T04:11:06.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6

⬛⬛🟩⬛⬛
⬛⬛🟩🟨⬛
⬛🟩🟩🟨⬛
🟩🟩🟩🟩🟩",,1501435779855306752,everyone,949154283022200834,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",949154283022200834,"[{'type': 'replied_to', 'id': '1521341240540864514'}]",,
1521703940462682113,2022-05-04T04:11:05.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}","Wordle 319 3/6

⬛🟩⬛⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",,1521703940462682113,everyone,1412880660507856897,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521703937010769920,2022-05-04T04:11:05.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Wordle 316 5/6

🟨⬛🟨⬛⬛
⬛🟩⬛🟩⬛
⬛🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",,1483239975848230916,everyone,781901474523643904,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",781901474523643904,"[{'type': 'replied_to', 'id': '1521703936222285826'}]",,
1521703936222285826,2022-05-04T04:11:04.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Wordle 315 5/6

⬛⬛⬛⬛⬛
⬛🟩⬛🟨⬛
⬛🟩🟩⬛⬛
⬛🟨⬛⬛⬛
🟩🟩🟩🟩🟩",,1483239975848230916,everyone,781901474523643904,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",781901474523643904,"[{'type': 'replied_to', 'id': '1521703935412776963'}]",,
1521703928785735687,2022-05-04T04:11:03.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle Tildes #65 5/6

🟨⬜⬜🟨⬜⬜⬜
🟨⬜⬜🟨🟨⬜⬜
🟩🟨🟨⬜🟨⬜⬜
🟩⬜⬜🟨🟨⬜⬜
🟩🟩🟩🟩🟩🟩🟩
 https://t.co/Kw2jqrtoBs","{'urls': [{'start': 64, 'end': 87, 'url': 'https://t.co/Kw2jqrtoBs', 'expanded_url': 'https://wordle.danielfrg.com/tildes/index.html', 'display_url': 'wordle.danielfrg.com/tildes/index.h…'}]}",1521703928785735687,everyone,1480634511591460872,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521703922066415618,2022-05-04T04:11:01.000Z,Twitter for iPhone,False,es,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle Científico #52 4/6

⬜🟨🟨⬜⬜
🟨⬜🟨⬜🟩
⬜🟩⬜🟨🟩
🟩🟩🟩🟩🟩
 https://t.co/zBpfhMxdTf","{'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/zBpfhMxdTf', 'expanded_url': 'https://wordle.danielfrg.com/ciencia/index.html', 'display_url': 'wordle.danielfrg.com/ciencia/index.…'}]}",1521703922066415618,everyone,240139809,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521703920665518081,2022-05-04T04:11:01.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES)  #118 3/6

🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/tD1EMraZ10","{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/tD1EMraZ10', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",1521703920665518081,everyone,515648735,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521703902952968193,2022-05-04T04:10:57.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 2/6

⬛⬛🟩⬛⬛
🟩🟩🟩🟩🟩

LET'S FUCKING GOOOOO",,1521703902952968193,everyone,1067561416075476998,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521703901220814849,2022-05-04T04:10:56.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 319 4/6

⬛⬛⬛⬛🟨
🟨⬛⬛🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",,1521703901220814849,everyone,1007596467706580993,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
1521703900042211328,2022-05-04T04:10:56.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",":) 

Wordle (ES)  #118 4/6

🟩🟩⬜🟨⬜
🟩🟩⬜⬜🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩
 https://t.co/CI4FtlywuO","{'urls': [{'start': 53, 'end': 76, 'url': 'https://t.co/CI4FtlywuO', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",1521703900042211328,everyone,743144076,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,
