id,location,profile_image_url,description,name,public_metrics,url,pinned_tweet_id,protected,verified,username,entities
32233110.0,"Pittsburgh, PA",https://pbs.twimg.com/profile_images/1426684609690013701/BKbtX7vu_normal.jpg,SRU Graduate. Coffee. Video Games. Golf. I laugh at everything and spend most of my time trying to make other people laugh. Life is good.,Steve Rickard,"{'followers_count': 897, 'following_count': 862, 'tweet_count': 25349, 'listed_count': 7}",https://t.co/MAfdPUWvrW,9.659873031298294e+17,False,False,RickardRant,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/MAfdPUWvrW', 'expanded_url': 'https://www.twitch.tv/shuckzy', 'display_url': 'twitch.tv/shuckzy'}]}}"
42548239.0,"Winnipeg, MB, Canada",https://pbs.twimg.com/profile_images/881722837005893632/zyI5b1UB_normal.jpg,"1 BEER, 2 BEERS, 3 BEERS, 4 BEERS!",JustJonny5,"{'followers_count': 131, 'following_count': 513, 'tweet_count': 15018, 'listed_count': 3}",,1.4550146580126802e+18,False,False,JustJonny5,
446348414.0,,https://pbs.twimg.com/profile_images/1435300113069584392/UwtuTmVm_normal.jpg,,Haley Baker,"{'followers_count': 579, 'following_count': 321, 'tweet_count': 22545, 'listed_count': 1}",,1.4730004493012255e+18,False,False,HaleyBaker1010,
1.3656222239277302e+18,,https://pbs.twimg.com/profile_images/1413561061119234052/tgf8LaLm_normal.jpg,"El 2, el 3 y el 7 son números primos, mis números primos.
2, 3 i 7 są liczbami pierwszymi, moimi liczbami pierwszymi.",3eran3 𓅢𓅔 📚📈👨‍🏫 🇪🇸 🇵🇱,"{'followers_count': 52, 'following_count': 216, 'tweet_count': 4919, 'listed_count': 0}",,1.5186741482051543e+18,False,False,3eran32,
1.0705414169238282e+18,la cama de tu madre,https://pbs.twimg.com/profile_images/1521049069245931521/9aaKFSCf_normal.jpg,@celeryresort,cielo ✘,"{'followers_count': 2047, 'following_count': 875, 'tweet_count': 62240, 'listed_count': 28}",https://t.co/oUOjAH2pSH,1.521633311571034e+18,False,False,umcelery,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/oUOjAH2pSH', 'expanded_url': 'https://en.pronouns.page/@umcelery', 'display_url': 'en.pronouns.page/@umcelery'}]}, 'description': {'mentions': [{'start': 0, 'end': 13, 'username': 'celeryresort'}]}}"
7.035323442302239e+17,,https://pbs.twimg.com/profile_images/940528002823327744/dORfdzoq_normal.jpg,,Emma Brown,"{'followers_count': 34, 'following_count': 255, 'tweet_count': 498, 'listed_count': 1}",,,False,False,emmylou1972,
45482887.0,NC,https://pbs.twimg.com/profile_images/1498336113232166918/sjhW0Bz4_normal.jpg,Wife & fur baby mom to three big baby dogs and a bunch of rescued cats. 😹,Stephanie S,"{'followers_count': 432, 'following_count': 801, 'tweet_count': 10149, 'listed_count': 8}",,,False,False,stephanies_531,
1141165350.0,"London, England",https://pbs.twimg.com/profile_images/1490419934337323012/Jl-upR9p_normal.jpg,A Galwegian in London 🏳️‍🌈 He/Him,Gary Finnerty ☘️🇺🇦❤️,"{'followers_count': 282, 'following_count': 1471, 'tweet_count': 7202, 'listed_count': 2}",,,False,False,gazfinnerty,
801729943.0,,https://pbs.twimg.com/profile_images/743666231576649730/bqm4UKyo_normal.jpg,,Erin McDonald,"{'followers_count': 17, 'following_count': 374, 'tweet_count': 347, 'listed_count': 0}",,,False,False,erin_mcdonald2,
9.059639144034673e+17,"Tunja, Colombia",https://pbs.twimg.com/profile_images/1398114232911212546/IwDgjOPT_normal.jpg,La historia es nuestra y la hacen los pueblos,Alex Jiménez,"{'followers_count': 280, 'following_count': 1555, 'tweet_count': 2727, 'listed_count': 0}",,,False,False,JavierMJ26,
27957336.0,Metry,https://pbs.twimg.com/profile_images/1498011109038731265/ZaYANr8q_normal.jpg,"Happily Married to @redheadedchaos and Proud Father of Margeaux. Sports Fan, Geek Aficionado, TTRPG since 96. AEW is my bag",3rd and 17 is playing Chrono Cross,"{'followers_count': 239, 'following_count': 686, 'tweet_count': 10087, 'listed_count': 3}",,,False,False,vestan,"{'description': {'mentions': [{'start': 19, 'end': 34, 'username': 'redheadedchaos'}]}}"
