id,source,reply_settings,entities,context_annotations,text,conversation_id,lang,possibly_sensitive,created_at,public_metrics,author_id,referenced_tweets,in_reply_to_user_id,geo,attachments
1520206917636870145,Twitter for Android,everyone,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/faF8qAG5XU', 'expanded_url': 'https://www.wordleturkce.com/', 'display_url': 'wordleturkce.com'}]}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle Türkçe 315 5/6

⬜🟨⬜⬜⬜
⬜🟨⬜🟨⬜
🟩⬜⬜🟨⬜
🟩⬜🟩⬜⬜
🟩🟩🟩🟩🟩

https://t.co/faF8qAG5XU",1520206917636870145,tr,False,2022-04-30T01:02:27.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3413135699,,,,
1520206903070109696,Twitter for iPhone,everyone,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 314 2/6

⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩",1520206903070109696,en,False,2022-04-30T01:02:24.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",71900978,,,,
1520206892118986752,Twitter for iPhone,everyone,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 315 5/6

⬛🟨🟨⬛⬛
⬛🟩⬛⬛🟨
🟨🟩🟨⬛⬛
🟨🟩⬛🟨⬛
🟩🟩🟩🟩🟩",1520206892118986752,en,False,2022-04-30T01:02:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",421729298,,,,
1520206890684362753,Twitter for iPhone,everyone,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 314 4/6

⬜⬜🟩⬜⬜
🟩⬜⬜🟨🟨
🟩🟩🟩⬜🟨
🟩🟩🟩🟩🟩",1520206890684362753,en,False,2022-04-30T01:02:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1423459270134272002,,,,
1520206868119011331,Twitter Web App,everyone,"{'mentions': [{'start': 0, 'end': 10, 'username': 'Dday91617', 'id': '888894163709681668'}]}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","@Dday91617 Wordle 314 5/6

⬜⬜🟩⬜⬜
⬜⬜🟩⬜⬜
⬜🟩🟩⬜🟨
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",1520203140242366464,en,False,2022-04-30T01:02:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",989801221,"[{'type': 'replied_to', 'id': '1520203140242366464'}]",888894163709681668,,
1520206853334245376,Twitter Web App,everyone,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 315 5/6

⬛🟩⬛⬛⬛
⬛🟩⬛⬛🟨
🟨🟩⬛⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",1487602234649051136,en,False,2022-04-30T01:02:12.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",5519312,"[{'type': 'replied_to', 'id': '1519926160112910336'}]",5519312,,
1520206851962454017,Twitter for iPhone,everyone,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 314 3/6
捨てましょう🗑
⬜⬜⬜🟨🟨
⬜⬜🟩🟨🟩
🟩🟩🟩🟩🟩",1520206851962454017,ja,False,2022-04-30T01:02:12.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",1202321489724366855,,,,
1520206848539906050,Twitter for iPhone,everyone,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 314 3/6

⬜⬜🟨🟨🟩
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩",1520206848539906050,en,False,2022-04-30T01:02:11.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",18485856,,,,
1520206835806097408,Twitter for Android,everyone,,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 314 2/6

🟨⬜⬜🟩⬜
🟩🟩🟩🟩🟩",1520206835806097408,en,False,2022-04-30T01:02:08.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3162028531,,,,
1520206811873357825,Twitter for Android,everyone,"{'hashtags': [{'start': 40, 'end': 49, 'tag': 'Thwordle'}]}","[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","Wordle 315 4/6
⬛🟨🟨⬛⬛
⬛⬛⬛⬛⬛
🟨🟩⬛🟨⬛
🟩🟩🟩🟩🟩

#Thwordle 102 2/6
⬜🟩⬜⬜⬜
🟩🟩🟩🟩🟩",1520206811873357825,en,False,2022-04-30T01:02:02.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",20125754,,,,
