id,profile_image_url,entities,url,public_metrics,username,protected,name,description,location,verified,pinned_tweet_id
55834676,https://pbs.twimg.com/profile_images/308438276/RenaPearl_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nIO8nFOYKM', 'expanded_url': 'http://www.renapearl.com', 'display_url': 'renapearl.com'}]}}",https://t.co/nIO8nFOYKM,"{'followers_count': 416, 'following_count': 560, 'tweet_count': 7981, 'listed_count': 24}",renapearl,False,Rena Pearl,"Photographer and educator. PR, Portraits, Photojournalism. Leica M photographer. A lover of Billingham Bags, 85% dark chocolate and Mini cars",Behind a camera carrying a Billingham bag.,False,
1279730080193736704,https://pbs.twimg.com/profile_images/1343104170354569216/75FHIBro_normal.jpg,,,"{'followers_count': 20, 'following_count': 131, 'tweet_count': 781, 'listed_count': 0}",ImstriNcmoQUj5B,False,アイノウ,,,False,
24411319,https://pbs.twimg.com/profile_images/884792808665739264/eeOeJi5j_normal.jpg,,,"{'followers_count': 545, 'following_count': 574, 'tweet_count': 17686, 'listed_count': 5}",DJhoosierslut,False,Voodoo Mama Juju 💘,devil in the form of a whore. she/her,,False,
366067854,https://pbs.twimg.com/profile_images/1488211365672022018/S-a2zQhE_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DecjX73o2E', 'expanded_url': 'https://www.instagram.com/nahulezcano', 'display_url': 'instagram.com/nahulezcano'}]}}",https://t.co/DecjX73o2E,"{'followers_count': 237, 'following_count': 263, 'tweet_count': 28108, 'listed_count': 2}",Nahue1998,False,Nahu!,landing in a very common crisis,"Laferrere, Buenos Aires",False,1.5060287990869197e+18
22155316,https://pbs.twimg.com/profile_images/1032794895365361664/ou6FNs5f_normal.jpg,,,"{'followers_count': 92, 'following_count': 1111, 'tweet_count': 3216, 'listed_count': 1}",Mudfish1982,False,Willie Davis,"Vickie's husband, TX native, Prairie View A&M grad, retired Army, loves BBQ grilling.  Go Nats!",Northern Virginia,False,
1385584267627950080,https://pbs.twimg.com/profile_images/1399269556560924674/ILsUZPVf_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/6flHtHvRFZ', 'expanded_url': 'https://www.youtube.com/channel/UCdJAmlb-lxhPIcSVukR4-FQ', 'display_url': 'youtube.com/channel/UCdJAm…'}]}}",https://t.co/6flHtHvRFZ,"{'followers_count': 51, 'following_count': 55, 'tweet_count': 170, 'listed_count': 0}",TuusinCable,False,通信ケーブルって何ですか？@ゲーム実況投稿中,"2021/4/24～　Youtubeでゲーム実況の投稿を開始しました！
ジェネレーションギャップのある兄弟でゲームの実況動画を投稿していきます!",,False,1.457671241289007e+18
339690830,https://pbs.twimg.com/profile_images/1323272030242934785/AsPZj3tb_normal.jpg,,,"{'followers_count': 149, 'following_count': 216, 'tweet_count': 2226, 'listed_count': 2}",lii_herr,False,Lidia,Namasté✨,"Cantabria, España",False,
887802521485328384,https://pbs.twimg.com/profile_images/1446289845995724802/xvx91H2C_normal.jpg,,,"{'followers_count': 298, 'following_count': 2500, 'tweet_count': 4837, 'listed_count': 0}",ColinShaw21,False,Colin Shaw,"WVU, Colts, LFC, Pacers and Maple Leafs. Radically Moderate Democrat. Mayor Pete 2024.","Lakewood, CO",False,
3019766571,https://pbs.twimg.com/profile_images/568390458624053249/KOWkSYap_normal.jpeg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/wCnGciH3S9', 'expanded_url': 'https://www.youtube.com/channel/UCnYszOhEIIdIMYyNx2yjwfg', 'display_url': 'youtube.com/channel/UCnYsz…'}]}}",https://t.co/wCnGciH3S9,"{'followers_count': 1170, 'following_count': 209, 'tweet_count': 1695, 'listed_count': 10}",pippinsboss,False,Jim Simons,"Mathematician, tutor of A level maths, bridge player, father, grandfather and dog lover. I am not the American billionaire with the same name.",,False,
282889184,https://pbs.twimg.com/profile_images/668536929521156096/O5fF79pX_normal.jpg,,,"{'followers_count': 97, 'following_count': 259, 'tweet_count': 2666, 'listed_count': 1}",ninamizzi,False,Nina,instagram ➡️ nmizzi13,,False,
235600361,https://pbs.twimg.com/profile_images/1454825306875785216/d7xhpty0_normal.jpg,,,"{'followers_count': 610, 'following_count': 936, 'tweet_count': 71296, 'listed_count': 2}",MatyResino,False,MR,Futbolero. Messista. L A. Clippers. Denver Broncos. Periodista deportivo. Campeón Fantasy NBA 2021-22,"Buenos Aires, Argentina",False,1.496143636349739e+18
1193748578,https://pbs.twimg.com/profile_images/1126898963058233344/fI7NiqrC_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/rPeBzZHM1W', 'expanded_url': 'https://www.gofundme.com/f/help-arthur-recover-from-brain-injury', 'display_url': 'gofundme.com/f/help-arthur-…'}]}, 'description': {'hashtags': [{'start': 36, 'end': 44, 'tag': 'BBCAN10'}, {'start': 45, 'end': 58, 'tag': 'BBtwitterfam'}, {'start': 61, 'end': 70, 'tag': 'survivor'}, {'start': 73, 'end': 83, 'tag': 'TheCircle'}]}}",https://t.co/rPeBzZHM1W,"{'followers_count': 3567, 'following_count': 4001, 'tweet_count': 19915, 'listed_count': 29}",ralyssa11,False,Alyssa,Huge Big Brother fan & live-feeder! #BBCAN10 #BBtwitterfam | #survivor | #TheCircle | she/her | Spread Kindness 💕,"Toronto, Canada 🇨🇦 ",False,1.128130074040066e+18
29087965,https://pbs.twimg.com/profile_images/1444477181405634561/ZcY99i5Z_normal.jpg,"{'description': {'hashtags': [{'start': 102, 'end': 123, 'tag': 'abortionishealthcare'}, {'start': 124, 'end': 134, 'tag': 'bababooey'}, {'start': 135, 'end': 139, 'tag': 'blm'}, {'start': 140, 'end': 150, 'tag': 'proudally'}]}}",,"{'followers_count': 449, 'following_count': 2697, 'tweet_count': 8140, 'listed_count': 14}",ATXCeleste,False,ATXCeleste,"If you're easily offended, don't follow me. My tweets are my views alone and RTs aren't endorsements. #abortionishealthcare
#bababooey #blm #proudally🏳️‍🌈","Texas, USA",False,
1295509333371887616,https://pbs.twimg.com/profile_images/1519350780217618434/Z6fW9aa7_normal.jpg,"{'description': {'hashtags': [{'start': 26, 'end': 42, 'tag': 'crazydog1435twt'}, {'start': 43, 'end': 55, 'tag': 'emilynation'}], 'mentions': [{'start': 85, 'end': 101, 'username': 'EmilyIsJustABit'}]}}",,"{'followers_count': 246, 'following_count': 840, 'tweet_count': 34128, 'listed_count': 4}",CptLeo_Sparda,False,Captain Fiasco,"lN DMC 5 HELL‼
pfp
banner
#crazydog1435twt #emilynation
⚠️BEST RTs FROM THE WEST⚠️
❤️@EmilyIsJustABit❤️","any/all, 16, bi, PST",False,1.4733848734233682e+18
1099044472225185792,https://pbs.twimg.com/profile_images/1502002098686279689/55zmhnSi_normal.jpg,,,"{'followers_count': 4, 'following_count': 28, 'tweet_count': 93, 'listed_count': 0}",Vivicarracedo1,False,Vivicarracedo,y nos sentimos en BUENAS MANOS,"Buenos Aires, Argentina",False,
224889916,https://pbs.twimg.com/profile_images/1595150025/image_normal.jpg,,,"{'followers_count': 2, 'following_count': 188, 'tweet_count': 3081, 'listed_count': 1}",_Pohl,False,Michael Hayes,nothing to speak of so far...,"Plano, TX",False,1.5147328339356017e+18
82138360,https://pbs.twimg.com/profile_images/1101642399/imagesobama-20arch2_normal.jpg,,,"{'followers_count': 34, 'following_count': 152, 'tweet_count': 1900, 'listed_count': 1}",Emmamcvey,False,Mary Kay McVey 🌻,,"St. Louis, MO",False,
505292971,https://pbs.twimg.com/profile_images/1375073595467182095/2RJNmZ3c_normal.jpg,,,"{'followers_count': 49, 'following_count': 196, 'tweet_count': 852, 'listed_count': 0}",WesDedmon,False,Wesley Dedmon,,,False,
1325832477009612800,https://pbs.twimg.com/profile_images/1516243967494565892/ZpyIiXWd_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2xeFqAzLKf', 'expanded_url': 'http://hoseokscumsock.carrd.co', 'display_url': 'hoseokscumsock.carrd.co'}]}, 'description': {'hashtags': [{'start': 1, 'end': 8, 'tag': 'HOSEOK'}]}}",https://t.co/2xeFqAzLKf,"{'followers_count': 746, 'following_count': 775, 'tweet_count': 31768, 'listed_count': 36}",HOSEOKSCUMSOCK,False,Ana🥸🤥- going to combust,"⌜#HOSEOK: in my own lane, you aint in my category⌝",6teen!/any prns but he/him,False,1.4997924717226557e+18
1286248206,https://pbs.twimg.com/profile_images/477635314739998721/LojdM_C0_normal.jpeg,,,"{'followers_count': 12, 'following_count': 143, 'tweet_count': 81, 'listed_count': 0}",SavvyRosie,False,Julie Hathaway,,,False,
928041308,https://pbs.twimg.com/profile_images/2813002375/ee50bd992691b6a7167cb9ff0ca265c9_normal.png,,,"{'followers_count': 173, 'following_count': 677, 'tweet_count': 3560, 'listed_count': 3}",RADoran42,False,Richard A. Doran,"crying won't help you praying won't do you no good
all re/tweets my own","Philadelphia, PA",False,
38287317,https://pbs.twimg.com/profile_images/1643844185/IMG000003_normal.jpg,,,"{'followers_count': 137, 'following_count': 145, 'tweet_count': 17706, 'listed_count': 11}",mikewilson2424,False,Mike Wilson,29 years in the Tax Preparation business - USPS Sub Rural Carrier - Numbers Tech - loving husband and father - and a racing fan!!,"Alexandria, Indiana",False,
293011132,https://pbs.twimg.com/profile_images/1387417349666574340/4gyBPtxf_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/K9XE9arnCb', 'expanded_url': 'https://vm.tiktok.com/TkR4cR/', 'display_url': 'vm.tiktok.com/TkR4cR/'}]}}",https://t.co/K9XE9arnCb,"{'followers_count': 815, 'following_count': 732, 'tweet_count': 14459, 'listed_count': 5}",BigBootyJooDee,False,Big Booty Joo Dee,"BLACK LIVES MATTER! He/Him. Apparently, I’m a TikTok clout chaser 🙃 📷: @ Jaydeeare93","Cleveland, OH",False,1.4062994841670533e+18
123045603,https://pbs.twimg.com/profile_images/2699400251/bee7d6591a9cbbed79f17c1bd2e484fe_normal.jpeg,,,"{'followers_count': 219, 'following_count': 233, 'tweet_count': 2080, 'listed_count': 7}",maryrdrow,False,Mary Ramsay-Drow,"Exec Asst,  knitter, reader, life long learner, Democrat,
 political, energetic","Oak Creek, WI",False,
127731658,https://pbs.twimg.com/profile_images/1497222994040602628/RcU2Eti__normal.jpg,,,"{'followers_count': 293, 'following_count': 636, 'tweet_count': 15167, 'listed_count': 7}",debjeans,False,Debbie Reid 🇨🇦🇺🇦🌻✂️📚,"Retired Library Technician. Former Library Mgr. at The Chronicle Herald. Lover of books, music, wine & chocolate. A maker, a paper crafter & full of malarkey.",Halifax Nova Scotia Canada,False,
1006881847211589632,https://pbs.twimg.com/profile_images/1506197566270148608/N77GpUrG_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/vbj2BcWY7K', 'expanded_url': 'https://www.meganhurleyfoundation.org.uk/', 'display_url': 'meganhurleyfoundation.org.uk'}]}}",https://t.co/vbj2BcWY7K,"{'followers_count': 22, 'following_count': 109, 'tweet_count': 688, 'listed_count': 0}",ErinJessicaHart,False,Erin Hart,"25, Liverpool UK. 🌞♊️ 🌝♊️ ⬆️♋️. 🧡🐝",,False,
324439016,https://pbs.twimg.com/profile_images/1520543205451837442/poH9BRVK_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1P1wM4g5zL', 'expanded_url': 'http://www.nicholastroehler.com', 'display_url': 'nicholastroehler.com'}]}}",https://t.co/1P1wM4g5zL,"{'followers_count': 84, 'following_count': 221, 'tweet_count': 14276, 'listed_count': 1}",NickTroehler,False,Nick,"Watching sports, eating food, drinking craft beer. Up and coming data analyst.","Illinois, USA",False,1.5089867460585472e+18
1086060718452019200,https://pbs.twimg.com/profile_images/1474598351769415692/N0yCZMgY_normal.jpg,,,"{'followers_count': 356, 'following_count': 2480, 'tweet_count': 10083, 'listed_count': 0}",RussellJaffeETC,False,RUSSELL,Former Course Hero literature guy. My opinions are my own and reflect me and me alone. Dad👨‍👩‍👧ELA Department Head📚artist🎨MMA obsessed🤛,,False,
2376382104,https://pbs.twimg.com/profile_images/1508233386992848901/oWnlZxQ9_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/O662OwlisO', 'expanded_url': 'http://www.murielvieux.com', 'display_url': 'murielvieux.com'}]}, 'description': {'urls': [{'start': 26, 'end': 49, 'url': 'https://t.co/U0Oluv4xDS', 'expanded_url': 'http://paypal.me/murielvieux', 'display_url': 'paypal.me/murielvieux'}], 'mentions': [{'start': 115, 'end': 127, 'username': 'vieuxmuriel'}]}}",https://t.co/O662OwlisO,"{'followers_count': 15586, 'following_count': 14392, 'tweet_count': 73396, 'listed_count': 26}",MurielVieux,False,Muriel Vieux - 🇺🇦 🇭🇹 🇺🇸 - Down but not Out,"Haitian-American - Writer https://t.co/U0Oluv4xDS
If you can help me out please help - I need some help
Poems page @vieuxmuriel",Haiti - My heart lives there,False,1.3498508494602363e+18
950206051210571776,https://pbs.twimg.com/profile_images/1290789118394408960/Uob54qlj_normal.jpg,,,"{'followers_count': 16, 'following_count': 363, 'tweet_count': 254, 'listed_count': 0}",MathewB51132005,False,M@ 🔔,Everyday Regular Normal Dad/Husband-Working Man,"Ottawa, Ontario",False,
2204396346,https://pbs.twimg.com/profile_images/1508633571854290946/Ts0GIiLe_normal.jpg,,,"{'followers_count': 5012, 'following_count': 4045, 'tweet_count': 40699, 'listed_count': 12}",LexRegina72,False,Ⓐⓛⓘⓒⓔ ⓣⓗⓡⓞⓤⓖⓗ ⓣⓗⓔ Ⓛⓞⓞⓚⓘⓝⓖ Ⓖⓛⓐⓢⓢ 🇳🇴🇳🇿🇩🇰🇮🇲,"Imagine her surprise, when the White Rabbit read out, at the top of his shrill little voice, the name `Alice!' “Ageist misandrist” according to Sean Plunket.",New Zealand,False,1.4928080534643057e+18
22355744,https://pbs.twimg.com/profile_images/1452512545340678152/WT539G-__normal.jpg,,,"{'followers_count': 98, 'following_count': 475, 'tweet_count': 3242, 'listed_count': 0}",MichelleFury70,False,Michelle W 🌺,"Domestic Goddess who loves cats, travelling, fast cars (esp the Mustang) trivia, puns, Dad jokes and photography! A Chase Australia Tragic & Eels Fan 💙💛💙","Hunter Valley, NSW, Australia",False,1.3561381794477752e+18
25374356,https://pbs.twimg.com/profile_images/1085591032157347840/S0AZJIZt_normal.jpg,,,"{'followers_count': 25, 'following_count': 215, 'tweet_count': 997, 'listed_count': 0}",niovesdo,False,ACHG,,Madrid. España,False,
329960082,https://pbs.twimg.com/profile_images/378800000863936641/GRRzFFiF_normal.jpeg,,,"{'followers_count': 111, 'following_count': 189, 'tweet_count': 3346, 'listed_count': 8}",GoMikeShull,False,Mike Shull,"I'm an accountant with the Steve Landers Auto Group. I like to cook & eat. I enjoy fine dining, fried bologna sandwiches, jazz & southern rock.",Little Rock,False,
1439562397421907968,https://pbs.twimg.com/profile_images/1439581369634594819/nMBBzOwF_normal.jpg,,,"{'followers_count': 133, 'following_count': 156, 'tweet_count': 667, 'listed_count': 0}",just_one_thing9,False,Just one thing,Just one thing...Renew Anne with an E,,False,
29588821,https://pbs.twimg.com/profile_images/746417820536299520/JbEkAV1E_normal.jpg,,,"{'followers_count': 300, 'following_count': 1217, 'tweet_count': 12473, 'listed_count': 18}",AngelaJWallace,False,Angela Wallace,The best time to plant a tree is 20 years ago. The second best time is now | She/her,Belfast,False,
142492169,https://pbs.twimg.com/profile_images/1465346230859534337/iBlYbRR4_normal.jpg,,,"{'followers_count': 142, 'following_count': 228, 'tweet_count': 10055, 'listed_count': 3}",aegswimmer,False,Arturo Granados,"Hoosier Raised, Chicago Based. Christus vincit, regnat et imperat!",Wabash College 16',False,
