,name,protected,url,verified,public_metrics,description,profile_image_url,username,id,location,pinned_tweet_id,entities
1865768690,け〜ちゃん⊿,False,,False,"{'followers_count': 677, 'following_count': 649, 'tweet_count': 2960, 'listed_count': 2}","Perfume P.T.A. ずとまよ
futsal/soccer たまにスプラとOW",https://pbs.twimg.com/profile_images/976332343534219266/ZVOEMcUi_normal.jpg,perfume_ka,,栃木→神奈川→神戸→東京,,
999151101176877057,Alison Abbott,False,,False,"{'followers_count': 98, 'following_count': 11, 'tweet_count': 2554, 'listed_count': 0}","Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.",https://pbs.twimg.com/profile_images/999509273729159168/J7Xu2K7O_normal.jpg,adquotebot,,"North Berwick, United Kingdom 🇬🇧",,
1276431966791856128,rawr🐯,False,,False,"{'followers_count': 43, 'following_count': 74, 'tweet_count': 3322, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1477887648802893827/RNCVJFCF_normal.jpg,ch1ckentikka,,she/her,,
1400643110,Jonathan Udoka,False,https://t.co/omWLtOx3W7,False,"{'followers_count': 149, 'following_count': 683, 'tweet_count': 1278, 'listed_count': 6}","I basically don’t use this. I do Strategy, Development, and Legal. IG: @jonudoka  FB: @UdokaLawOK SC & TT: @jonathanudoka",https://pbs.twimg.com/profile_images/1359342855567859717/HmMQt7JC_normal.jpg,UdokaLawOK,,"Stillwater, OK",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/omWLtOx3W7', 'expanded_url': 'http://jonathanudoka.com', 'display_url': 'jonathanudoka.com'}]}, 'description': {'mentions': [{'start': 71, 'end': 80, 'username': 'jonudoka'}, {'start': 86, 'end': 97, 'username': 'UdokaLawOK'}, {'start': 107, 'end': 121, 'username': 'jonathanudoka'}]}}"
958423447675301888,🌉 QA/QC 🌉 🔥🚶🏻w/me..,False,,False,"{'followers_count': 225, 'following_count': 592, 'tweet_count': 7596, 'listed_count': 0}","Georgia's husband & Astrid's dad.🌁👷🏼‍♂️none+anti-GOP & I can’t mute myself, so others do🥲:$TSLA SpaceX🚀 $RKLB $CRSP 🐂 personal rants, NFA💎🙌 🌲m3 owner",https://pbs.twimg.com/profile_images/1504852207224688646/QIDqcVGv_normal.jpg,fungineer43,,Corpus / Chicagoland ,,"{'description': {'cashtags': [{'start': 104, 'end': 109, 'tag': 'RKLB'}, {'start': 110, 'end': 115, 'tag': 'CRSP'}]}}"
152521376,Randy Golden,False,https://t.co/SWLq74pOPY,False,"{'followers_count': 298, 'following_count': 330, 'tweet_count': 17767, 'listed_count': 12}","Quiet blogger of road trips, geek/post-geek stuff. Dislikes aging, self-promotion. Views do not necessarily reflect other companies, hiveminds or bandwagons.",https://pbs.twimg.com/profile_images/1354092507244748801/dsoYIs9f_normal.jpg,RandallGolden,,Indianapolis,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/SWLq74pOPY', 'expanded_url': 'http://midlifecrisiscrossover.com/', 'display_url': 'midlifecrisiscrossover.com'}]}}"
1505874815344906245,mähz,False,,False,"{'followers_count': 57, 'following_count': 177, 'tweet_count': 8344, 'listed_count': 0}",seventeen and on the run / cw: degrassi tng (x2) cr: the hidden oracle 😜,https://pbs.twimg.com/profile_images/1510755540258930709/w4ZEsHZa_normal.jpg,notmars22b,,i tweet too much sorry,1520895098296414214,
924346675199537152,zoë louise,False,,False,"{'followers_count': 15, 'following_count': 27, 'tweet_count': 188, 'listed_count': 0}",she/her,https://pbs.twimg.com/profile_images/1519128362706472961/1LKaX3ra_normal.jpg,zoew1ththedots,,new york,,
918291738703171584,🩺 Sassenach 👩🏽‍🦱🇺🇸🤝🇺🇦,False,,False,"{'followers_count': 3663, 'following_count': 3894, 'tweet_count': 79119, 'listed_count': 11}",Obama-Biden-Harris-Clyburn-HRC Democrat. 🐶#GetVaccinated #GetBoosted #MaskUp||TYPOS! #Outlander,https://pbs.twimg.com/profile_images/1479445475845627907/COBRqI2C_normal.jpg,sass3366,,,1506778460865368066,"{'description': {'hashtags': [{'start': 42, 'end': 56, 'tag': 'GetVaccinated'}, {'start': 57, 'end': 68, 'tag': 'GetBoosted'}, {'start': 69, 'end': 76, 'tag': 'MaskUp'}, {'start': 85, 'end': 95, 'tag': 'Outlander'}]}}"
2958480725,Lisa Deeley,False,,True,"{'followers_count': 2026, 'following_count': 469, 'tweet_count': 2364, 'listed_count': 38}",Rhawnhurst-born consensus-builder serving the citizens of Philadelphia as Chair of the City Commissioners.,https://pbs.twimg.com/profile_images/1250627609647550470/rxWCAS3u_normal.jpg,DeeleyforPhilly,,"Philadelphia, PA",,
1330936994126569473,Kajtimir Vojsk,False,,False,"{'followers_count': 180, 'following_count': 385, 'tweet_count': 4451, 'listed_count': 11}",,https://pbs.twimg.com/profile_images/1332006277476651009/e3BMjD8N_normal.png,DuplekD,,,1408197502411673601,
255968545,Ilze-Marie Le Roux,False,,False,"{'followers_count': 5175, 'following_count': 3046, 'tweet_count': 15772, 'listed_count': 42}",Journalist. Economics. Business.Broadcaster.Facts fanatic.Rock music lover.Avid Crossfitter. @knverslag,https://pbs.twimg.com/profile_images/1467750554705268739/cah9KO-L_normal.jpg,ilzemarie1,,,,"{'description': {'mentions': [{'start': 93, 'end': 103, 'username': 'knverslag'}]}}"
48703112,BrhokenSilence,False,,False,"{'followers_count': 51, 'following_count': 347, 'tweet_count': 2356, 'listed_count': 1}",✨life is the best party I've been invited to ✨,https://pbs.twimg.com/profile_images/1508847368992612356/T2zXMP7j_normal.jpg,brhokensilence,,Louisiana,,
794176470,Fede Casamayor,False,,False,"{'followers_count': 69, 'following_count': 266, 'tweet_count': 5688, 'listed_count': 1}","Técnico Superior en Prevención de Riesgos Profesionales, 4° de RRLL y RRHH en la @UV_EG @FacSocialsUVEG ...sin protección para mi.",https://pbs.twimg.com/profile_images/378800000537366990/27dbc2d1e0c8a3541dd55f6bcbbc0c41_normal.jpeg,Fedriquet_CR,,Grau de Gandia,766339272345526273,"{'description': {'mentions': [{'start': 81, 'end': 87, 'username': 'UV_EG'}, {'start': 88, 'end': 103, 'username': 'FacSocialsUVEG'}]}}"
249390199,🌵,False,,False,"{'followers_count': 205, 'following_count': 247, 'tweet_count': 6928, 'listed_count': 0}",خلطة ما بين أمال بكرا، على أماني عودة امبارح،  على محاولات انك تعدي من النهاردة سليم,https://pbs.twimg.com/profile_images/1511141282810322944/D7c6KP9h_normal.jpg,Radwazzzzzz,,,1426549892886016003,
229642530,Raymond Benfante,False,,False,"{'followers_count': 38, 'following_count': 517, 'tweet_count': 160, 'listed_count': 1}",Jet and Met fan :-( Chillin in Tampa,https://pbs.twimg.com/profile_images/685832774964670464/JQgy0Tzn_normal.jpg,rayb9361,,Tampa Florida,,
38932634,Women’s Rights are Human Rights Alexandra,False,,False,"{'followers_count': 896, 'following_count': 1695, 'tweet_count': 73013, 'listed_count': 35}","We're adults. When did that happen? And, how do we make it stop? #riseup #feminist #hufflepuff #Natitude #BidenHarris Views my own.",https://pbs.twimg.com/profile_images/1230322027514515462/YpMVXJyu_normal.jpg,snazzzyredhead,,DTSS/DC ,1077073451939229696,"{'description': {'hashtags': [{'start': 65, 'end': 72, 'tag': 'riseup'}, {'start': 73, 'end': 82, 'tag': 'feminist'}, {'start': 83, 'end': 94, 'tag': 'hufflepuff'}, {'start': 95, 'end': 104, 'tag': 'Natitude'}, {'start': 105, 'end': 117, 'tag': 'BidenHarris'}]}}"
1289918540,"Corey Yanofsky, α-stable statistician",False,,False,"{'followers_count': 1671, 'following_count': 2826, 'tweet_count': 21888, 'listed_count': 0}","Have you heard the Good News of Bayes' Theorem? #rstats, he/him",https://pbs.twimg.com/profile_images/1008526309612445696/5k6GJ_HS_normal.jpg,Corey_Yanofsky,,"Ottawa, Ontario",,"{'description': {'hashtags': [{'start': 48, 'end': 55, 'tag': 'rstats'}]}}"
526360001,Simon,False,https://t.co/fU0guyyVhT,False,"{'followers_count': 165, 'following_count': 144, 'tweet_count': 13249, 'listed_count': 1}","Audio Entropy’s Simon, regular on @teenswithtude and host of @jaffatakes. he/him.",https://pbs.twimg.com/profile_images/2904152673/2c1b1214742c8659a9bb3b7f730cb4ea_normal.png,TheRealSimBen,,Montreal,1220129601600610311,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fU0guyyVhT', 'expanded_url': 'http://www.audioentropy.com', 'display_url': 'audioentropy.com'}]}, 'description': {'mentions': [{'start': 34, 'end': 48, 'username': 'teenswithtude'}, {'start': 61, 'end': 72, 'username': 'jaffatakes'}]}}"
50504589,Helen Diana,False,,False,"{'followers_count': 58, 'following_count': 724, 'tweet_count': 1355, 'listed_count': 0}","mom of three wonderful sons, yaya of 2 wonderful grandsons xx and 1 wonderful granddaughter x designer & sometimes I play street hockey",https://pbs.twimg.com/profile_images/389933469/april_2006_helen_normal.jpg,30helendiana,,Canada,,
1399309114375823364,Genaro,False,,False,"{'followers_count': 85, 'following_count': 243, 'tweet_count': 1931, 'listed_count': 0}",pasando el rato por aquí y divertirme un poco,https://pbs.twimg.com/profile_images/1510180167796232194/Z1HP1ic1_normal.jpg,Genarocba,,"Córdoba, Argentina",,
1322552311336570882,Valerie B. Williams,False,https://t.co/VC7cSdmLQI,False,"{'followers_count': 79, 'following_count': 143, 'tweet_count': 366, 'listed_count': 1}","Writer, dog mom, tea drinker",https://pbs.twimg.com/profile_images/1516535448394506242/h6tFrFhH_normal.jpg,ValWillWrite,,"Charlottesville, VA ",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/VC7cSdmLQI', 'expanded_url': 'http://www.valeriebwilliams.com', 'display_url': 'valeriebwilliams.com'}]}}"
