id,protected,entities,verified,description,name,url,username,profile_image_url,public_metrics,location,pinned_tweet_id
1.466241081750827e+18,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/mfdtpv3XAz', 'expanded_url': 'http://www.uneasyweasel.com', 'display_url': 'uneasyweasel.com'}]}}",False,Cartoons and comics from Northern VA.,Uneasy Weasel,https://t.co/mfdtpv3XAz,uneasyweasel,https://pbs.twimg.com/profile_images/1466424440674308096/cViCBEXP_normal.jpg,"{'followers_count': 12, 'following_count': 81, 'tweet_count': 61, 'listed_count': 0}","Fairfax, VA",
1.4911038998427935e+18,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5oJ2d1ck3b', 'expanded_url': 'https://foundationinc.co/', 'display_url': 'foundationinc.co'}]}}",False,"Director of Content at Foundation. Geeking out on: content marketing, leadership, equality, and success frameworks.",Melissa Zehner,https://t.co/5oJ2d1ck3b,Lis_Zehner,https://pbs.twimg.com/profile_images/1501450798328266752/DQ95Zf5l_normal.jpg,"{'followers_count': 79, 'following_count': 277, 'tweet_count': 420, 'listed_count': 1}",Oregon,1.517341283408175e+18
426115682.0,False,,False,Me se nota enseguía de que tengo karrera.,JuanFra,,JuanFraHernande,https://pbs.twimg.com/profile_images/1444936078142627842/QVNTB0QO_normal.jpg,"{'followers_count': 1240, 'following_count': 794, 'tweet_count': 14550, 'listed_count': 6}",En la piña debajo del mar.,1.287304631001985e+18
215444072.0,False,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/occb7woPxY', 'expanded_url': 'http://bugsbikesbrains.blogspot.com', 'display_url': 'bugsbikesbrains.blogspot.com'}]}}",False,"Shauna MacKinnon: Drive announcer 100.5 Cruz FM, writer, explorer, cyclist, citizen scientist with MS, being dragged kicking + screaming into the 21st century.","Shauna MacKinnon - I'm a boomer, OK?",http://t.co/occb7woPxY,ShaunaMarieMack,https://pbs.twimg.com/profile_images/1494530291800547330/Yjm332x1_normal.png,"{'followers_count': 1144, 'following_count': 1270, 'tweet_count': 14844, 'listed_count': 11}","Fort McMurray, Alberta",
13366902.0,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/TgpwcMuvR9', 'expanded_url': 'https://linktr.ee/SultryListeners', 'display_url': 'linktr.ee/SultryListeners'}]}, 'description': {'hashtags': [{'start': 91, 'end': 104, 'tag': 'reallifegeek'}, {'start': 105, 'end': 115, 'tag': 'gamergirl'}, {'start': 116, 'end': 128, 'tag': 'craftybitch'}]}}",False,"I read/talk/tweet/blog about audiobooks/books (mostly romance/mystery), TV, and Politics   #reallifegeek #gamergirl #craftybitch she/her",TheGeekyBlogger #FullyVaccinatedAndBooster,https://t.co/TgpwcMuvR9,thegeekyblogger,https://pbs.twimg.com/profile_images/1499180867234770948/cnU1gAU3_normal.jpg,"{'followers_count': 3154, 'following_count': 997, 'tweet_count': 102417, 'listed_count': 261}",North Texas,
69491100.0,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/kZwQwhXvgi', 'expanded_url': 'https://www.facebook.com/7032jp', 'display_url': 'facebook.com/7032jp'}]}, 'description': {'urls': [{'start': 58, 'end': 81, 'url': 'https://t.co/jVaZd5zYOJ', 'expanded_url': 'https://www.linkedin.com/in/7032/', 'display_url': 'linkedin.com/in/7032/'}, {'start': 91, 'end': 114, 'url': 'https://t.co/jnYSYEwUu7', 'expanded_url': 'https://www.wantedly.com/id/naomitsu_tsugiiwa', 'display_url': 'wantedly.com/id/naomitsu_ts…'}]}}",False,PPM boosted／mensan／わんこ🐶着物👘車🚗メタル🎸／IT系お節介🖥／アプリ&ゲーム／LinkedIn https://t.co/jVaZd5zYOJ Wantedly https://t.co/jnYSYEwUu7,Naomitsu Tsugiiwa (7032),https://t.co/kZwQwhXvgi,7032,https://pbs.twimg.com/profile_images/1350030239674494977/csPjzm4A_normal.jpg,"{'followers_count': 340, 'following_count': 322, 'tweet_count': 21284, 'listed_count': 26}",東京都,
1.091537584017367e+18,False,,False,"💜♀️🤘🏼
20. uso Twitter básicamente para compartir mi resultado de Wordle y escribir boludeces de vez en cuando...",melina,,mmuchomistrust,https://pbs.twimg.com/profile_images/1514058868808105986/eX9mm-jJ_normal.jpg,"{'followers_count': 12, 'following_count': 54, 'tweet_count': 433, 'listed_count': 1}","Buenos Aires, Argentina",
16436500.0,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gAWVLUFFf8', 'expanded_url': 'http://letterboxd.com/littleRoom', 'display_url': 'letterboxd.com/littleRoom'}]}}",False,“I don't see playing politics with the truth.” ROBERT REDFORD - Henry Brubaker,Whit #RallyTheValley,https://t.co/gAWVLUFFf8,little_room,https://pbs.twimg.com/profile_images/1477860377736081409/jHQbJunk_normal.jpg,"{'followers_count': 357, 'following_count': 3361, 'tweet_count': 23019, 'listed_count': 17}",The Valley ☀️,1.0277850195975864e+18
348997145.0,False,,False,Once you go Uni you never go back!,Shawn McVay,,TheShawnMcVay,https://pbs.twimg.com/profile_images/1027183177478144000/0rQNDNJR_normal.jpg,"{'followers_count': 40, 'following_count': 156, 'tweet_count': 2161, 'listed_count': 2}",,
809236921.0,False,"{'description': {'urls': [{'start': 34, 'end': 57, 'url': 'https://t.co/R584NxAxCz', 'expanded_url': 'http://richmond-news.com', 'display_url': 'richmond-news.com'}]}}",False,no moon to keep my armour bright  https://t.co/R584NxAxCz,Maria Rantanen,,HaneyInkslinger,https://pbs.twimg.com/profile_images/1244347529216397312/zhLMFnaO_normal.jpg,"{'followers_count': 891, 'following_count': 1792, 'tweet_count': 23068, 'listed_count': 30}",Vancouver,
